Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
Simple_repeat	0.182	0.003	0.013	0.022	0.049	0.037	0.014	0.026	0.033	0.036	0.025	0.027	0.034	0.04	0.035	0.033	0.035	0.034	0.036	0.034	0.035	0.034	0.03	0.027	0.027	0.022	0.017	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.003	0.005	0.011	0.016	0.022	0.028	0.034	0.038	0.039	0.036	0.039	0.036	0.036	0.036	0.039	0.039	0.039	0.039	0.042	0.042	0.039	0.042	0.041	0.04	0.038	0.036	0.034	0.03	0.024	0.019	0.013	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.002	0.002	0.003	0.006	0.006	0.011	0.013	0.017	0.019	0.023	0.025	0.029	0.032	0.039	0.043	0.054	0.055	0.052	0.055	0.049	0.05	0.052	0.05	0.051	0.051	0.051	0.049	0.042	0.031	0.018	0.01	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.006	0.011	0.016	0.02	0.024	0.028	0.03	0.032	0.036	0.04	0.044	0.05	0.055	0.059	0.062	0.064	0.063	0.056	0.057	0.049	0.042	0.036	0.028	0.024	0.018	0.013	0.009	0.007	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.004	0.008	0.015	0.02	0.024	0.029	0.031	0.034	0.039	0.045	0.05	0.053	0.054	0.056	0.058	0.057	0.058	0.055	0.049	0.044	0.042	0.036	0.031	0.026	0.02	0.017	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.006	0.009	0.011	0.012	0.02	0.028	0.038	0.032	0.045	0.06	0.065	0.06	0.068	0.065	0.066	0.069	0.057	0.05	0.051	0.041	0.032	0.03	0.022	0.016	0.014	0.008	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0	0.0	0	0	0
ClassI:SINE	0.002	0.005	0.012	0.011	0.015	0.021	0.027	0.034	0.036	0.036	0.039	0.04	0.044	0.046	0.042	0.043	0.04	0.045	0.043	0.04	0.039	0.048	0.047	0.044	0.035	0.043	0.029	0.026	0.021	0.017	0.012	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.005	0.006	0.017	0.013	0.017	0.017	0.019	0.024	0.023	0.029	0.036	0.035	0.035	0.032	0.036	0.035	0.04	0.035	0.044	0.039	0.039	0.043	0.045	0.043	0.041	0.042	0.04	0.044	0.034	0.028	0.025	0.019	0.01	0.005	0.003	0.001	0.0	0	0	0.0	0	0	0	0	0	0
Retroposon/L1	0.002	0.005	0.017	0.042	0.098	0.069	0.027	0.034	0.012	0.01	0.012	0	0.005	0.002	0.007	0.005	0.01	0.007	0.029	0.037	0.042	0.042	0.084	0.076	0.074	0.081	0.066	0.037	0.022	0.029	0.005	0.005	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.029	0.033	0.058	0.097	0.117	0.092	0.075	0.057	0.029	0.027	0.023	0.04	0.057	0.069	0.042	0.026	0.012	0.014	0.014	0.015	0.015	0.007	0.011	0.011	0.006	0.007	0.005	0.001	0.002	0	0.001	0.003	0.002	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0.012	0	0.012	0.012	0.035	0.047	0.047	0.035	0.209	0.128	0.128	0.058	0.058	0.023	0.023	0.023	0.012	0.012	0.023	0.023	0.035	0.012	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0.005	0.021	0.005	0.005	0.005	0.036	0.016	0.036	0.057	0.031	0.068	0.068	0.083	0.12	0.062	0.125	0.083	0.078	0.047	0.016	0.01	0.016	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
