Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	49-50
ClassI:LTR	0.011	0.015	0.019	0.024	0.031	0.037	0.039	0.04	0.04	0.037	0.039	0.039	0.037	0.036	0.04	0.038	0.041	0.044	0.039	0.039	0.039	0.038	0.036	0.035	0.031	0.025	0.024	0.021	0.016	0.014	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.002	0.007	0.007	0.005	0.006	0.011	0.013	0.016	0.021	0.021	0.023	0.027	0.024	0.025	0.029	0.033	0.031	0.033	0.035	0.04	0.05	0.052	0.066	0.065	0.071	0.068	0.058	0.049	0.039	0.025	0.019	0.012	0.008	0.005	0.002	0.001	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.177	0.0	0.008	0.021	0.047	0.046	0.012	0.026	0.039	0.039	0.026	0.026	0.036	0.047	0.034	0.032	0.037	0.032	0.035	0.034	0.033	0.032	0.029	0.026	0.027	0.021	0.017	0.016	0.012	0.009	0.006	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Unknown	0.017	0.015	0.034	0.03	0.043	0.04	0.045	0.044	0.045	0.042	0.044	0.043	0.045	0.042	0.041	0.043	0.04	0.038	0.038	0.035	0.034	0.031	0.029	0.024	0.022	0.021	0.017	0.015	0.012	0.01	0.007	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Low_complexity	0.001	0	0.0	0.001	0.001	0.001	0.006	0.01	0.01	0.011	0.018	0.024	0.034	0.037	0.042	0.064	0.072	0.055	0.068	0.064	0.067	0.067	0.052	0.051	0.053	0.04	0.032	0.027	0.025	0.018	0.013	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.011	0.019	0.035	0.053	0.053	0.052	0.053	0.058	0.057	0.057	0.058	0.055	0.05	0.05	0.044	0.039	0.037	0.033	0.031	0.026	0.022	0.02	0.016	0.013	0.011	0.011	0.008	0.006	0.006	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.022	0.016	0.03	0.033	0.046	0.045	0.045	0.045	0.046	0.046	0.046	0.044	0.044	0.045	0.041	0.043	0.043	0.044	0.04	0.037	0.036	0.03	0.027	0.023	0.017	0.015	0.012	0.009	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.01	0.03	0.045	0.052	0.054	0.06	0.065	0.076	0.063	0.052	0.049	0.043	0.04	0.04	0.038	0.037	0.033	0.034	0.03	0.021	0.027	0.021	0.015	0.011	0.007	0.01	0.009	0.008	0.006	0.005	0.003	0.003	0.001	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0.002	0.003	0.002	0.002	0.02	0.015	0.033	0.034	0.044	0.055	0.078	0.089	0.094	0.062	0.047	0.068	0.047	0.067	0.062	0.046	0.034	0.034	0.026	0.011	0.005	0.008	0.003	0.005	0.002	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0.003	0	0	0	0.005	0.021	0.008	0.016	0.018	0.031	0.039	0.052	0.052	0.034	0.034	0.036	0.039	0.049	0.065	0.049	0.081	0.06	0.086	0.086	0.062	0.026	0.029	0.018	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0.006	0.013	0.013	0.013	0.019	0.025	0.062	0.094	0.037	0.113	0.081	0.056	0.094	0.125	0.05	0.094	0.05	0.044	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.017	0.004	0.01	0.013	0.033	0.032	0.046	0.076	0.061	0.05	0.04	0.033	0.024	0.013	0.016	0.012	0.017	0.02	0.023	0.044	0.056	0.071	0.107	0.082	0.057	0.027	0.005	0.004	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.056	0.019	0.009	0.056	0.037	0.047	0.028	0.056	0.056	0.103	0.028	0.065	0.065	0.047	0.084	0.019	0.047	0.019	0.056	0.019	0.009	0.009	0.019	0.009	0.019	0	0.009	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
