Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49
Simple_repeat	0.22	0.003	0.014	0.023	0.049	0.041	0.014	0.027	0.035	0.038	0.024	0.026	0.034	0.041	0.032	0.028	0.031	0.029	0.033	0.031	0.03	0.031	0.027	0.025	0.023	0.019	0.015	0.014	0.011	0.008	0.007	0.004	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0	0.0	0	0.003	0.0	0.001	0.005	0.009	0.009	0.012	0.018	0.028	0.034	0.033	0.044	0.062	0.07	0.059	0.067	0.063	0.066	0.063	0.055	0.05	0.05	0.038	0.032	0.033	0.024	0.017	0.014	0.013	0.008	0.006	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0	0	0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.026	0.03	0.05	0.039	0.039	0.048	0.053	0.05	0.056	0.055	0.053	0.052	0.055	0.052	0.052	0.044	0.041	0.033	0.027	0.024	0.023	0.02	0.017	0.013	0.011	0.009	0.007	0.006	0.005	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.011	0.012	0.021	0.034	0.04	0.043	0.044	0.046	0.047	0.042	0.038	0.031	0.028	0.031	0.034	0.032	0.031	0.035	0.036	0.036	0.036	0.035	0.035	0.033	0.03	0.027	0.025	0.022	0.021	0.019	0.016	0.011	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.007	0.018	0.03	0.039	0.038	0.036	0.04	0.039	0.04	0.035	0.036	0.035	0.037	0.038	0.044	0.044	0.05	0.049	0.047	0.045	0.042	0.037	0.033	0.028	0.024	0.022	0.016	0.014	0.011	0.009	0.007	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.009	0.013	0.023	0.026	0.031	0.035	0.035	0.036	0.04	0.043	0.047	0.046	0.045	0.046	0.046	0.044	0.043	0.038	0.042	0.039	0.039	0.036	0.036	0.03	0.027	0.023	0.02	0.016	0.013	0.011	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.336	0.064	0.04	0.04	0.008	0.024	0.008	0.008	0.016	0.04	0.016	0.024	0.008	0.056	0.048	0	0	0.016	0.048	0.024	0.016	0	0.016	0	0.032	0.024	0	0.04	0.024	0.008	0.008	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.006	0.01	0.02	0.047	0.06	0.09	0.065	0.054	0.053	0.056	0.047	0.049	0.04	0.049	0.041	0.034	0.033	0.033	0.023	0.031	0.03	0.023	0.017	0.018	0.014	0.015	0.006	0.013	0.006	0.005	0.003	0.002	0.002	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.002	0.003	0.005	0.011	0.013	0.015	0.022	0.024	0.022	0.025	0.026	0.027	0.023	0.027	0.029	0.032	0.034	0.038	0.041	0.05	0.05	0.058	0.069	0.064	0.066	0.058	0.051	0.036	0.031	0.02	0.013	0.007	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.033	0.053	0.033	0.056	0.043	0.066	0.056	0.046	0.017	0.036	0.03	0.04	0.033	0.03	0.063	0.053	0.036	0.036	0.033	0.03	0.023	0.023	0.02	0.007	0.023	0.007	0.02	0.003	0.007	0.007	0	0.01	0.007	0	0.01	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0.006	0.024	0.002	0.006	0.009	0.011	0.019	0.041	0.013	0.035	0.03	0.045	0.045	0.032	0.065	0.076	0.08	0.082	0.063	0.056	0.056	0.032	0.039	0.045	0.032	0.022	0.013	0.006	0.002	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0	0	0.006	0.003	0.012	0.015	0.026	0.044	0.032	0.021	0.026	0.035	0.041	0.05	0.059	0.047	0.053	0.07	0.059	0.065	0.073	0.047	0.059	0.041	0.032	0.038	0.023	0.018	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
