Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	49-50
Simple_repeat	0.249	0.002	0.013	0.027	0.053	0.042	0.015	0.026	0.036	0.039	0.026	0.026	0.034	0.042	0.032	0.028	0.03	0.028	0.029	0.027	0.028	0.027	0.023	0.021	0.021	0.016	0.013	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Unknown	0.006	0.007	0.015	0.021	0.031	0.041	0.047	0.049	0.049	0.048	0.048	0.047	0.046	0.047	0.045	0.045	0.044	0.043	0.042	0.038	0.037	0.034	0.031	0.028	0.023	0.021	0.017	0.014	0.01	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.009	0.011	0.013	0.02	0.024	0.034	0.033	0.042	0.064	0.072	0.061	0.07	0.064	0.064	0.065	0.057	0.05	0.047	0.04	0.033	0.03	0.024	0.018	0.013	0.011	0.008	0.005	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0
ClassI:LTR	0.002	0.002	0.005	0.01	0.019	0.027	0.038	0.048	0.054	0.052	0.049	0.045	0.043	0.042	0.043	0.042	0.043	0.04	0.039	0.038	0.039	0.038	0.036	0.034	0.03	0.03	0.027	0.022	0.019	0.014	0.01	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.002	0.003	0.005	0.007	0.009	0.011	0.012	0.012	0.017	0.019	0.018	0.021	0.024	0.029	0.035	0.043	0.048	0.049	0.057	0.059	0.063	0.063	0.064	0.067	0.065	0.061	0.049	0.034	0.023	0.013	0.007	0.004	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.007	0.009	0.013	0.02	0.024	0.03	0.036	0.042	0.044	0.046	0.047	0.049	0.049	0.05	0.051	0.051	0.049	0.046	0.046	0.046	0.042	0.038	0.033	0.028	0.024	0.019	0.014	0.011	0.009	0.007	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.006	0.008	0.016	0.029	0.046	0.054	0.059	0.067	0.065	0.057	0.056	0.055	0.05	0.051	0.047	0.048	0.043	0.038	0.032	0.027	0.023	0.019	0.016	0.013	0.012	0.012	0.01	0.009	0.008	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.009	0.008	0.017	0.015	0.019	0.023	0.027	0.031	0.029	0.031	0.036	0.035	0.033	0.036	0.051	0.038	0.038	0.051	0.047	0.058	0.064	0.061	0.052	0.038	0.035	0.033	0.022	0.017	0.014	0.012	0.008	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0.002	0.002	0.004	0.009	0.024	0.011	0.031	0.052	0.039	0.031	0.015	0.054	0.046	0.072	0.048	0.044	0.039	0.044	0.033	0.035	0.061	0.048	0.037	0.059	0.057	0.035	0.041	0.017	0.004	0	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.006	0.004	0.018	0.007	0.014	0.012	0.03	0.079	0.156	0.169	0.133	0.081	0.043	0.028	0.028	0.025	0.022	0.021	0.014	0.014	0.014	0.013	0.008	0.013	0.006	0.009	0.008	0.003	0.002	0.005	0.003	0.002	0.002	0.002	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0	0.007	0.007	0.012	0.019	0.057	0.024	0.045	0.026	0.031	0.028	0.05	0.083	0.083	0.108	0.068	0.061	0.038	0.033	0.033	0.042	0.054	0.047	0.028	0.014	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.016	0.016	0.016	0.016	0.008	0	0.008	0	0.008	0.008	0.008	0	0.016	0.008	0	0.008	0.016	0.016	0.048	0.04	0.04	0.016	0.032	0.056	0.024	0.079	0.079	0.056	0.063	0.079	0.04	0.056	0.048	0.048	0.024	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.016	0.071	0.032	0.024	0.048	0.024	0.008	0.032	0.016	0	0.024	0.024	0	0.016	0.016	0.04	0	0.024	0.016	0.024	0.024	0.056	0.04	0.032	0.008	0.063	0.103	0.032	0.048	0.032	0.048	0.008	0.032	0.008	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0
