Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	47-48
Simple_repeat	0.198	0.002	0.011	0.025	0.056	0.045	0.016	0.027	0.04	0.039	0.029	0.028	0.036	0.043	0.034	0.03	0.031	0.029	0.032	0.03	0.03	0.03	0.026	0.021	0.023	0.019	0.014	0.014	0.01	0.008	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.006	0.013	0.025	0.03	0.036	0.041	0.035	0.031	0.034	0.029	0.033	0.035	0.033	0.035	0.034	0.036	0.035	0.035	0.042	0.039	0.04	0.04	0.037	0.034	0.036	0.031	0.031	0.027	0.023	0.02	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0
Satellite	0.003	0.005	0.016	0.013	0.022	0.018	0.026	0.046	0.136	0.165	0.151	0.143	0.098	0.062	0.043	0.02	0.004	0.003	0.006	0.004	0.003	0.004	0.001	0.002	0.003	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.008	0.021	0.042	0.044	0.028	0.02	0.022	0.02	0.016	0.022	0.023	0.03	0.034	0.034	0.044	0.052	0.049	0.051	0.048	0.053	0.038	0.039	0.045	0.038	0.043	0.04	0.031	0.023	0.015	0.012	0.007	0.003	0.001	0.001	0.0	0.001	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.016	0.024	0.036	0.038	0.048	0.045	0.053	0.052	0.046	0.059	0.046	0.054	0.048	0.054	0.045	0.041	0.042	0.036	0.032	0.024	0.022	0.02	0.017	0.015	0.011	0.012	0.01	0.01	0.009	0.008	0.006	0.005	0.003	0.001	0.0	0.001	0	0.0	0	0	0	0	0	0
ClassII:TIR	0.005	0.01	0.018	0.029	0.03	0.03	0.036	0.042	0.044	0.043	0.05	0.051	0.046	0.042	0.045	0.047	0.044	0.041	0.042	0.041	0.041	0.038	0.033	0.028	0.025	0.024	0.018	0.013	0.012	0.009	0.007	0.006	0.004	0.002	0.002	0.001	0.0	0	0.0	0	0	0	0	0	0
Unknown	0.01	0.018	0.033	0.042	0.034	0.037	0.039	0.036	0.035	0.035	0.036	0.037	0.038	0.039	0.042	0.042	0.042	0.044	0.04	0.04	0.041	0.039	0.032	0.028	0.026	0.026	0.021	0.017	0.014	0.011	0.009	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.004	0.008	0.01	0.013	0.021	0.028	0.036	0.035	0.046	0.065	0.07	0.059	0.069	0.066	0.066	0.061	0.054	0.046	0.053	0.036	0.03	0.028	0.023	0.018	0.013	0.012	0.008	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0
ClassI:SINE	0.004	0.007	0.013	0.021	0.026	0.042	0.033	0.038	0.039	0.047	0.046	0.042	0.046	0.047	0.045	0.051	0.05	0.033	0.04	0.043	0.042	0.042	0.044	0.03	0.026	0.02	0.019	0.019	0.014	0.012	0.006	0.004	0.004	0.003	0.001	0.001	0.002	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0.015	0.008	0.023	0.023	0.077	0.085	0.131	0.138	0.077	0.046	0.023	0.031	0	0.015	0	0.031	0.008	0.046	0.062	0.031	0.023	0.023	0.023	0.008	0.015	0.023	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0	0.034	0.052	0.034	0.034	0.086	0.069	0.034	0.069	0.052	0.069	0.086	0.155	0.034	0.034	0.052	0.017	0.052	0	0	0.017	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0	0	0.037	0.037	0.037	0.037	0	0	0.037	0.074	0.185	0.111	0	0.037	0.037	0.148	0.037	0.074	0	0	0.037	0	0	0.037	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0	0	0.021	0	0	0	0	0	0.021	0.021	0	0.021	0.043	0	0.064	0.064	0.106	0.085	0.043	0.149	0.021	0.085	0.128	0.064	0	0.043	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0
