Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.219	0.001	0.01	0.023	0.052	0.044	0.014	0.027	0.04	0.041	0.026	0.028	0.038	0.044	0.033	0.029	0.032	0.029	0.029	0.029	0.03	0.028	0.025	0.023	0.023	0.017	0.013	0.013	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0.015	0.005	0.017	0.014	0.021	0.023	0.031	0.034	0.041	0.05	0.051	0.048	0.059	0.063	0.052	0.053	0.051	0.043	0.039	0.035	0.039	0.03	0.029	0.029	0.019	0.022	0.017	0.018	0.014	0.01	0.01	0.008	0.005	0.003	0.002	0.001	0	0.0	0	0	0	0	0	0	0
Unknown	0.023	0.005	0.028	0.019	0.025	0.039	0.035	0.043	0.048	0.046	0.05	0.051	0.05	0.052	0.052	0.051	0.048	0.047	0.044	0.039	0.038	0.032	0.027	0.024	0.019	0.017	0.012	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.022	0.005	0.026	0.019	0.026	0.037	0.033	0.041	0.043	0.043	0.051	0.05	0.05	0.054	0.054	0.052	0.052	0.049	0.047	0.043	0.04	0.034	0.026	0.023	0.018	0.015	0.012	0.009	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0
ClassI:LTR	0.01	0.003	0.013	0.013	0.018	0.027	0.027	0.034	0.035	0.039	0.042	0.043	0.044	0.049	0.051	0.05	0.049	0.052	0.049	0.043	0.046	0.04	0.036	0.032	0.03	0.027	0.023	0.02	0.015	0.013	0.009	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0
Low_complexity	0	0	0.0	0.002	0.001	0.003	0.005	0.01	0.011	0.012	0.021	0.026	0.036	0.03	0.041	0.063	0.074	0.065	0.071	0.065	0.062	0.063	0.052	0.048	0.052	0.039	0.031	0.03	0.024	0.018	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.002	0.001	0.005	0.005	0.009	0.014	0.013	0.021	0.021	0.023	0.027	0.03	0.031	0.033	0.04	0.041	0.043	0.051	0.053	0.05	0.054	0.049	0.051	0.051	0.049	0.043	0.045	0.041	0.033	0.026	0.02	0.012	0.007	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0	0.003	0.011	0.008	0	0.011	0.011	0.027	0.025	0.041	0.054	0.041	0.041	0.063	0.071	0.052	0.071	0.068	0.074	0.071	0.063	0.041	0.049	0.049	0.016	0.005	0.016	0.005	0.003	0.003	0.003	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.017	0.008	0.026	0.027	0.041	0.046	0.05	0.047	0.049	0.052	0.058	0.04	0.047	0.049	0.048	0.049	0.059	0.043	0.045	0.039	0.032	0.03	0.024	0.024	0.015	0.009	0.012	0.003	0.006	0.001	0.003	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.004	0.005	0.009	0.007	0.021	0.032	0.025	0.037	0.032	0.03	0.034	0.058	0.035	0.056	0.044	0.055	0.071	0.042	0.063	0.044	0.069	0.051	0.055	0.044	0.026	0.018	0.018	0.004	0.004	0.007	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.023	0.012	0.058	0.023	0.012	0.023	0.07	0.035	0.035	0.012	0.023	0.058	0.07	0.035	0.07	0.023	0.105	0.047	0.07	0.081	0.012	0.023	0.023	0.012	0.012	0.012	0	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.014	0	0.027	0.014	0.055	0.055	0.055	0.041	0.068	0.068	0.082	0.068	0.068	0.123	0.055	0.041	0.027	0.027	0.014	0.027	0.041	0	0.014	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0.021	0	0	0	0	0	0.021	0	0	0.062	0	0.083	0	0.083	0.042	0.062	0.167	0.104	0.062	0.062	0.021	0.021	0.021	0.062	0.062	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0.079	0.026	0.053	0.158	0	0.026	0.026	0.105	0.053	0.079	0.079	0.158	0.053	0	0.026	0	0.026	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
