Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49
ClassII:TIR	0.144	0.008	0.007	0.007	0.003	0.004	0.004	0.006	0.01	0.009	0.009	0.008	0.011	0.014	0.014	0.033	0.024	0.02	0.03	0.029	0.037	0.045	0.052	0.042	0.061	0.074	0.053	0.056	0.058	0.049	0.028	0.025	0.022	0.001	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0
Unknown	0.083	0.039	0.037	0.03	0.035	0.039	0.038	0.035	0.036	0.033	0.031	0.031	0.033	0.037	0.037	0.035	0.032	0.03	0.034	0.03	0.034	0.033	0.034	0.028	0.029	0.026	0.02	0.017	0.013	0.01	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Simple_repeat	0.187	0.007	0.022	0.033	0.045	0.038	0.022	0.031	0.037	0.034	0.028	0.029	0.034	0.038	0.033	0.033	0.033	0.031	0.032	0.029	0.03	0.029	0.027	0.024	0.023	0.018	0.014	0.014	0.011	0.009	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.029	0.021	0.019	0.018	0.016	0.016	0.013	0.014	0.015	0.013	0.017	0.017	0.016	0.021	0.023	0.025	0.031	0.032	0.041	0.044	0.053	0.055	0.062	0.065	0.066	0.064	0.057	0.047	0.035	0.024	0.015	0.008	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.001	0.001	0.001	0.001	0.002	0.004	0.007	0.007	0.01	0.014	0.021	0.017	0.022	0.059	0.062	0.055	0.072	0.064	0.061	0.063	0.055	0.055	0.051	0.044	0.039	0.034	0.03	0.025	0.021	0.023	0.017	0.015	0.013	0.009	0.006	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0	0.0	0
ClassI:LTR	0.085	0.029	0.029	0.011	0.016	0.021	0.023	0.024	0.019	0.013	0.019	0.025	0.021	0.034	0.029	0.027	0.036	0.033	0.041	0.046	0.048	0.04	0.036	0.048	0.036	0.043	0.031	0.026	0.022	0.018	0.011	0.016	0.016	0.006	0.007	0.002	0.005	0.003	0.002	0.002	0.001	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0	0	0	0.125	0.25	0	0	0	0.125	0	0	0	0	0.25	0.125	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.151	0.035	0.035	0.042	0.011	0.028	0.042	0.018	0.05	0.009	0.024	0.009	0.035	0.031	0.02	0.046	0.033	0.05	0.031	0.037	0.028	0.046	0.02	0.028	0.026	0.018	0.013	0.022	0.026	0.011	0.013	0.002	0.009	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0.003	0.011	0.003	0.006	0.011	0.022	0.008	0.017	0.019	0.03	0.072	0.074	0.028	0.072	0.105	0.085	0.085	0.047	0.055	0.069	0.063	0.05	0.033	0.014	0.006	0.011	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.172	0.127	0.038	0.035	0.016	0.022	0.025	0.029	0.041	0.016	0.045	0.022	0.025	0.019	0.025	0.041	0.013	0.045	0.022	0.016	0.057	0.022	0.048	0.013	0.025	0.01	0.01	0.01	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.025	0.117	0.083	0	0	0	0.008	0	0.017	0.008	0.025	0.092	0.1	0.008	0.05	0.058	0.033	0.033	0.083	0.017	0.017	0.008	0.017	0.033	0.042	0.075	0.025	0	0.017	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.227	0.045	0.057	0.011	0.011	0.057	0.023	0.023	0.023	0.045	0.011	0.023	0.057	0.023	0.034	0.011	0.023	0.023	0.034	0	0.011	0.034	0.011	0.011	0.011	0.023	0.023	0.011	0.023	0.011	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.006	0.004	0.006	0.002	0.015	0.015	0.002	0	0.006	0.002	0.004	0.019	0.009	0.011	0.013	0.026	0.026	0.038	0.024	0.043	0.062	0.071	0.083	0.096	0.068	0.102	0.075	0.06	0.047	0.032	0.019	0.011	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.003	0.031	0.003	0	0	0	0	0.031	0	0	0.007	0.038	0.031	0.007	0	0	0.003	0.003	0	0.034	0.041	0.038	0.038	0.11	0.086	0.075	0.051	0.014	0.045	0.075	0.082	0.051	0.062	0.003	0.017	0.003	0.017	0	0	0	0	0	0	0	0	0	0
