Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	45-46	47-48	48-49	53-54
Simple_repeat	0.196	0.003	0.011	0.021	0.049	0.043	0.013	0.027	0.035	0.039	0.027	0.028	0.038	0.044	0.034	0.031	0.034	0.029	0.035	0.03	0.033	0.031	0.026	0.024	0.025	0.02	0.016	0.015	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0	0	0.0	0.001	0.0	0.002	0.005	0.009	0.008	0.012	0.022	0.026	0.034	0.034	0.041	0.065	0.069	0.059	0.071	0.062	0.063	0.063	0.059	0.051	0.051	0.038	0.031	0.031	0.025	0.019	0.015	0.012	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0	0.0	0	0	0	0
Unknown	0.007	0.013	0.021	0.024	0.028	0.032	0.037	0.041	0.047	0.047	0.05	0.05	0.048	0.049	0.046	0.044	0.043	0.042	0.041	0.038	0.038	0.034	0.031	0.027	0.023	0.021	0.019	0.014	0.013	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.006	0.013	0.025	0.026	0.024	0.025	0.027	0.026	0.03	0.035	0.039	0.039	0.037	0.039	0.04	0.041	0.038	0.042	0.043	0.042	0.048	0.044	0.041	0.039	0.033	0.032	0.026	0.023	0.02	0.016	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.006	0.013	0.02	0.028	0.032	0.032	0.031	0.033	0.033	0.035	0.036	0.036	0.036	0.038	0.039	0.037	0.038	0.039	0.041	0.042	0.04	0.042	0.041	0.035	0.034	0.032	0.031	0.023	0.019	0.017	0.014	0.009	0.006	0.003	0.002	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.003	0.005	0.005	0.012	0.013	0.018	0.02	0.025	0.03	0.042	0.041	0.032	0.047	0.054	0.052	0.078	0.083	0.069	0.052	0.05	0.047	0.038	0.035	0.026	0.026	0.021	0.022	0.017	0.012	0.005	0.007	0.005	0.007	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.073	0.068	0.006	0.006	0.023	0.062	0.017	0.028	0.068	0.045	0.045	0.085	0.073	0.062	0.045	0.056	0.04	0.051	0.045	0.006	0.028	0.017	0.023	0.023	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.006	0.003	0.006	0.007	0.009	0.011	0.013	0.018	0.024	0.021	0.022	0.026	0.028	0.027	0.026	0.029	0.031	0.032	0.037	0.05	0.05	0.05	0.05	0.049	0.054	0.061	0.057	0.052	0.049	0.031	0.029	0.02	0.008	0.006	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.008	0.019	0.015	0.017	0.019	0.019	0.019	0.019	0.037	0.042	0.049	0.057	0.059	0.059	0.068	0.067	0.05	0.041	0.041	0.027	0.028	0.037	0.023	0.021	0.026	0.024	0.019	0.021	0.015	0.015	0.013	0.014	0.005	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.011	0.013	0.031	0.039	0.065	0.073	0.051	0.051	0.028	0.022	0.021	0.022	0.026	0.021	0.019	0.016	0.024	0.037	0.025	0.044	0.057	0.055	0.046	0.028	0.031	0.031	0.031	0.029	0.011	0.015	0.012	0.008	0.004	0.001	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.127	0.049	0.028	0.044	0.055	0.028	0.019	0.012	0.016	0.021	0.027	0.071	0.18	0.114	0.068	0.013	0.022	0.004	0.016	0.012	0.012	0.016	0.007	0.006	0.004	0.006	0.003	0.004	0.007	0	0	0	0.001	0.001	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.014	0.055	0.014	0.027	0	0.014	0	0.014	0	0.014	0.082	0.082	0.068	0.247	0.151	0.041	0.041	0.041	0.041	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
