Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	42-43	43-44	44-45	45-46	47-48	55-56
Unknown	0.016	0.008	0.028	0.027	0.04	0.044	0.049	0.052	0.054	0.055	0.055	0.054	0.053	0.052	0.051	0.048	0.047	0.046	0.043	0.038	0.033	0.028	0.022	0.018	0.013	0.01	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.008	0.004	0.017	0.021	0.031	0.042	0.049	0.054	0.056	0.053	0.054	0.052	0.052	0.053	0.053	0.052	0.051	0.049	0.045	0.04	0.037	0.029	0.024	0.02	0.015	0.01	0.008	0.005	0.004	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.006	0.004	0.015	0.018	0.027	0.032	0.036	0.04	0.046	0.046	0.047	0.049	0.05	0.053	0.046	0.048	0.045	0.042	0.04	0.038	0.034	0.033	0.032	0.029	0.026	0.025	0.019	0.018	0.014	0.014	0.01	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.001	0	0.0	0.002	0.001	0.002	0.005	0.01	0.012	0.011	0.023	0.025	0.037	0.034	0.049	0.06	0.066	0.057	0.071	0.059	0.068	0.064	0.054	0.052	0.052	0.042	0.03	0.03	0.024	0.017	0.011	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0	0	0	0.0	0	0.0
Simple_repeat	0.193	0.001	0.011	0.027	0.057	0.037	0.017	0.031	0.038	0.035	0.027	0.028	0.035	0.039	0.033	0.031	0.033	0.032	0.033	0.031	0.032	0.032	0.028	0.025	0.025	0.019	0.015	0.014	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.003	0.002	0.008	0.007	0.013	0.017	0.022	0.024	0.029	0.027	0.027	0.026	0.035	0.034	0.037	0.041	0.043	0.043	0.046	0.046	0.051	0.048	0.054	0.052	0.044	0.04	0.038	0.037	0.028	0.024	0.022	0.016	0.009	0.005	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.026	0.017	0.029	0.031	0.033	0.042	0.043	0.046	0.055	0.048	0.054	0.05	0.047	0.045	0.038	0.037	0.035	0.035	0.038	0.033	0.036	0.025	0.024	0.026	0.022	0.022	0.017	0.01	0.014	0.008	0.006	0.003	0.003	0	0.0	0.0	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.018	0.03	0.023	0.078	0.066	0.086	0.083	0.086	0.051	0.058	0.03	0.018	0.025	0.035	0.03	0.03	0.02	0.008	0.03	0.025	0.045	0.02	0.015	0.01	0.02	0.008	0.013	0.013	0.015	0.005	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.007	0.025	0.028	0.045	0.053	0.054	0.058	0.057	0.056	0.064	0.056	0.06	0.052	0.051	0.055	0.047	0.042	0.035	0.033	0.028	0.022	0.018	0.011	0.006	0.005	0.003	0.003	0.003	0.003	0.002	0.001	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.004	0.004	0.013	0.016	0.02	0.03	0.032	0.039	0.043	0.058	0.067	0.077	0.094	0.061	0.063	0.072	0.073	0.058	0.043	0.037	0.037	0.022	0.011	0.013	0.006	0.003	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0.026	0.02	0.072	0.072	0.072	0.039	0.039	0.02	0.026	0.033	0.013	0.02	0.013	0.007	0.007	0.026	0.026	0.026	0.053	0.026	0.013	0.046	0.026	0.059	0.066	0.039	0.02	0.046	0.026	0.013	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.036	0.024	0.075	0.159	0.163	0.218	0.123	0.071	0.036	0.032	0.016	0.012	0.004	0.008	0.004	0	0.012	0	0	0	0	0	0.004	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.012	0.012	0.099	0.086	0.086	0.111	0.062	0.123	0.074	0.049	0.025	0.012	0.025	0.025	0.012	0.025	0.012	0.025	0	0.025	0.037	0	0	0	0.012	0	0	0	0.012	0	0.012	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
