Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	46-47
Simple_repeat	0.23	0.001	0.011	0.021	0.049	0.044	0.014	0.025	0.036	0.039	0.026	0.026	0.035	0.045	0.032	0.029	0.031	0.029	0.031	0.029	0.029	0.03	0.027	0.023	0.023	0.018	0.015	0.013	0.01	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.01	0.009	0.011	0.017	0.024	0.033	0.031	0.043	0.06	0.066	0.06	0.07	0.064	0.065	0.064	0.056	0.053	0.053	0.04	0.034	0.028	0.025	0.02	0.014	0.012	0.01	0.006	0.005	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0
ClassI:SINE	0.011	0.008	0.025	0.032	0.041	0.049	0.055	0.058	0.058	0.052	0.05	0.049	0.044	0.049	0.049	0.043	0.048	0.043	0.042	0.042	0.037	0.023	0.019	0.02	0.015	0.011	0.009	0.006	0.004	0.005	0.002	0.001	0.001	0.0	0	0.001	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.022	0.006	0.03	0.023	0.029	0.045	0.042	0.045	0.045	0.041	0.043	0.039	0.045	0.052	0.049	0.049	0.047	0.046	0.043	0.042	0.041	0.032	0.03	0.025	0.022	0.017	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.017	0.01	0.015	0.014	0.018	0.018	0.02	0.023	0.026	0.027	0.035	0.035	0.037	0.036	0.039	0.039	0.038	0.042	0.041	0.041	0.041	0.046	0.046	0.046	0.046	0.045	0.037	0.029	0.028	0.024	0.017	0.011	0.007	0.006	0.001	0.001	0.0	0	0	0	0	0	0	0	0
Unknown	0.04	0.009	0.041	0.027	0.038	0.049	0.043	0.046	0.05	0.048	0.049	0.043	0.04	0.04	0.038	0.037	0.037	0.034	0.036	0.032	0.032	0.029	0.027	0.025	0.02	0.018	0.015	0.012	0.01	0.008	0.007	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.025	0.005	0.025	0.018	0.027	0.038	0.039	0.04	0.042	0.043	0.049	0.047	0.047	0.044	0.042	0.042	0.043	0.039	0.036	0.033	0.035	0.031	0.029	0.027	0.025	0.022	0.022	0.019	0.018	0.014	0.011	0.008	0.006	0.005	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
Satellite	0.017	0.002	0.021	0.012	0.026	0.055	0.043	0.047	0.069	0.109	0.069	0.052	0.069	0.052	0.088	0.026	0.036	0.021	0.021	0.012	0.017	0.019	0.026	0.014	0.033	0.017	0.005	0.002	0.005	0.002	0.005	0	0.005	0.002	0	0.002	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.02	0.003	0.029	0.021	0.036	0.045	0.049	0.051	0.053	0.051	0.045	0.043	0.046	0.05	0.046	0.057	0.048	0.048	0.042	0.03	0.03	0.026	0.021	0.018	0.016	0.015	0.012	0.012	0.01	0.009	0.004	0.005	0.004	0.003	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0
Retroposon/L1	0.011	0.015	0.011	0.004	0.004	0.015	0.011	0.004	0.011	0.008	0.026	0.034	0.03	0.034	0.053	0.056	0.056	0.064	0.056	0.09	0.053	0.045	0.056	0.064	0.06	0.034	0.026	0.015	0.023	0.015	0.011	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0	0	0.002	0	0	0	0	0.002	0.007	0.004	0.002	0.013	0.02	0.031	0.026	0.042	0.059	0.085	0.14	0.151	0.123	0.096	0.098	0.059	0.026	0.009	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.038	0	0.096	0.019	0.154	0.077	0.038	0.019	0.058	0.058	0.058	0.058	0.038	0.019	0	0.019	0	0.019	0.038	0.038	0.038	0.019	0.058	0	0	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0.036	0.071	0.036	0	0	0.071	0.071	0.107	0.036	0.036	0.036	0.036	0	0	0.036	0.036	0.179	0.036	0.107	0	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
