Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	49-50	50-51
ClassI:LTR	0.005	0.008	0.02	0.029	0.038	0.041	0.042	0.045	0.048	0.046	0.045	0.045	0.043	0.043	0.043	0.04	0.039	0.038	0.036	0.034	0.034	0.031	0.031	0.03	0.029	0.025	0.022	0.018	0.015	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.008	0.01	0.017	0.023	0.032	0.038	0.045	0.049	0.054	0.057	0.061	0.061	0.058	0.054	0.049	0.046	0.044	0.04	0.036	0.033	0.032	0.028	0.025	0.021	0.018	0.015	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.003	0.005	0.01	0.018	0.026	0.031	0.035	0.038	0.04	0.042	0.045	0.048	0.049	0.051	0.051	0.054	0.052	0.053	0.052	0.048	0.045	0.041	0.034	0.03	0.025	0.02	0.016	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.005	0.006	0.01	0.016	0.026	0.036	0.055	0.067	0.07	0.067	0.063	0.054	0.052	0.047	0.047	0.044	0.038	0.035	0.032	0.027	0.024	0.024	0.023	0.018	0.018	0.019	0.019	0.014	0.014	0.009	0.01	0.006	0.005	0.003	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.003	0.006	0.005	0.007	0.01	0.013	0.019	0.019	0.024	0.026	0.024	0.025	0.024	0.024	0.025	0.025	0.028	0.036	0.04	0.048	0.053	0.055	0.06	0.059	0.065	0.065	0.059	0.052	0.042	0.026	0.017	0.008	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.006	0.011	0.008	0.011	0.019	0.024	0.033	0.034	0.041	0.062	0.073	0.058	0.069	0.062	0.067	0.061	0.056	0.05	0.05	0.04	0.036	0.032	0.024	0.019	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Simple_repeat	0.214	0.003	0.014	0.027	0.05	0.043	0.021	0.027	0.036	0.036	0.025	0.025	0.035	0.041	0.032	0.028	0.031	0.029	0.032	0.029	0.031	0.029	0.027	0.023	0.023	0.018	0.015	0.014	0.011	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:SINE	0.003	0.003	0.008	0.01	0.015	0.018	0.018	0.024	0.026	0.028	0.037	0.039	0.039	0.05	0.053	0.064	0.062	0.057	0.053	0.059	0.048	0.056	0.044	0.039	0.034	0.023	0.02	0.024	0.015	0.012	0.008	0.005	0.004	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.002	0.004	0.001	0.006	0.009	0.02	0.028	0.036	0.032	0.053	0.055	0.07	0.07	0.076	0.058	0.047	0.063	0.048	0.054	0.067	0.029	0.029	0.017	0.026	0.02	0.011	0.012	0.008	0.008	0.011	0.009	0.011	0.004	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.002	0	0.002	0.004	0.01	0.014	0.016	0.024	0.047	0.067	0.083	0.098	0.081	0.114	0.079	0.073	0.112	0.061	0.033	0.028	0.01	0.008	0.008	0.002	0.002	0.008	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0.009	0.003	0	0	0	0.005	0.007	0.005	0.009	0.005	0.007	0.003	0.019	0.03	0.028	0.038	0.057	0.083	0.11	0.115	0.115	0.089	0.083	0.071	0.033	0.035	0.016	0.016	0.002	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.085	0.092	0.131	0.085	0.072	0.065	0.052	0.013	0.02	0.026	0.026	0.039	0.013	0.007	0.02	0.013	0.007	0.013	0.013	0	0.007	0.007	0	0	0	0.013	0	0.02	0.033	0.065	0.026	0.026	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
