Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	46-47
Simple_repeat	0.257	0.015	0.049	0.048	0.044	0.036	0.027	0.029	0.029	0.025	0.022	0.021	0.023	0.024	0.024	0.024	0.025	0.024	0.026	0.024	0.026	0.027	0.027	0.026	0.026	0.021	0.016	0.013	0.009	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.003	0.001	0.003	0.002	0.002	0.003	0.003	0.005	0.006	0.007	0.01	0.011	0.014	0.018	0.022	0.026	0.036	0.043	0.052	0.062	0.076	0.085	0.095	0.094	0.088	0.08	0.056	0.041	0.026	0.015	0.008	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.001	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.002	0.004	0.005	0.006	0.01	0.011	0.016	0.019	0.024	0.032	0.045	0.055	0.069	0.087	0.094	0.097	0.1	0.093	0.079	0.058	0.04	0.027	0.012	0.006	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0
Unknown	0.041	0.035	0.036	0.045	0.042	0.052	0.049	0.053	0.051	0.051	0.052	0.045	0.041	0.042	0.039	0.038	0.034	0.034	0.034	0.027	0.028	0.026	0.021	0.02	0.017	0.014	0.01	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.001	0	0.001	0.004	0.001	0.003	0.004	0.011	0.011	0.024	0.016	0.039	0.051	0.041	0.055	0.054	0.063	0.072	0.079	0.065	0.061	0.049	0.047	0.044	0.04	0.035	0.028	0.03	0.016	0.012	0.006	0.014	0.006	0.006	0.003	0.001	0.002	0	0	0	0.001	0	0	0
ClassII:TIR	0.005	0.003	0.005	0.005	0.006	0.005	0.008	0.008	0.012	0.012	0.022	0.019	0.023	0.026	0.026	0.035	0.039	0.042	0.048	0.056	0.063	0.058	0.072	0.065	0.076	0.065	0.045	0.042	0.031	0.032	0.019	0.01	0.009	0.006	0.003	0	0.001	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0.029	0	0.015	0	0.029	0.015	0.044	0.044	0.015	0.059	0.029	0.015	0.044	0.118	0.118	0.147	0	0.059	0.029	0.015	0.029	0.044	0.074	0	0	0.015	0.015	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0.045	0	0	0	0	0.136	0.045	0.136	0.136	0.136	0.045	0.136	0.045	0.045	0	0.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0	0.014	0.014	0	0.027	0.027	0.027	0.027	0.041	0.081	0.041	0.014	0.054	0.054	0.108	0.122	0.176	0.041	0.027	0.041	0.041	0	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.111	0.278	0.333	0.167	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0.043	0	0	0.043	0	0	0	0	0.087	0.13	0	0	0.087	0.043	0.087	0.13	0	0	0	0.13	0	0.043	0.087	0	0.043	0.043	0	0	0	0	0	0	0	0	0	0	0	0	0
