Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	48-49
Simple_repeat	0.19	0.002	0.012	0.023	0.049	0.043	0.015	0.025	0.036	0.04	0.028	0.026	0.036	0.047	0.034	0.032	0.033	0.03	0.034	0.031	0.032	0.031	0.027	0.025	0.026	0.019	0.016	0.014	0.011	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.005	0.005	0.012	0.019	0.028	0.034	0.039	0.037	0.037	0.039	0.044	0.045	0.05	0.049	0.046	0.045	0.043	0.042	0.045	0.043	0.045	0.04	0.037	0.033	0.026	0.028	0.021	0.016	0.013	0.01	0.006	0.005	0.004	0.002	0.001	0.001	0.0	0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.006	0.008	0.007	0.011	0.022	0.023	0.034	0.031	0.042	0.06	0.073	0.059	0.069	0.066	0.067	0.068	0.056	0.049	0.05	0.041	0.03	0.029	0.026	0.018	0.016	0.011	0.008	0.005	0.003	0.003	0.002	0.0	0.001	0.0	0.0	0.0	0	0.0	0
ClassI:LTR	0.005	0.003	0.014	0.019	0.026	0.03	0.031	0.03	0.034	0.035	0.03	0.037	0.034	0.034	0.036	0.035	0.035	0.037	0.037	0.039	0.04	0.037	0.039	0.036	0.036	0.035	0.037	0.033	0.033	0.027	0.023	0.018	0.012	0.008	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.007	0.005	0.011	0.016	0.022	0.025	0.025	0.03	0.029	0.031	0.031	0.031	0.036	0.039	0.044	0.049	0.058	0.058	0.059	0.058	0.056	0.051	0.044	0.04	0.031	0.028	0.023	0.017	0.014	0.011	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0	0.002	0.005	0.007	0.006	0.023	0.014	0.016	0.041	0.034	0.034	0.048	0.045	0.042	0.029	0.038	0.027	0.038	0.037	0.038	0.058	0.057	0.049	0.045	0.05	0.047	0.031	0.047	0.024	0.022	0.023	0.012	0.003	0.005	0	0.002	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.0	0.003	0.003	0.01	0.013	0.013	0.019	0.022	0.024	0.029	0.03	0.029	0.032	0.028	0.031	0.041	0.039	0.038	0.043	0.044	0.051	0.056	0.054	0.051	0.052	0.048	0.042	0.04	0.041	0.033	0.02	0.013	0.006	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.002	0.012	0.02	0.026	0.025	0.026	0.031	0.023	0.027	0.031	0.039	0.038	0.049	0.052	0.058	0.056	0.062	0.056	0.045	0.048	0.04	0.032	0.034	0.027	0.023	0.019	0.019	0.021	0.017	0.012	0.01	0.006	0.004	0.003	0.002	0.001	0	0	0	0	0	0	0	0
Retroposon/L1	0	0	0	0	0	0	0.003	0.003	0.013	0.006	0	0.019	0.01	0.01	0.023	0.023	0.029	0.045	0.055	0.09	0.081	0.084	0.106	0.065	0.094	0.071	0.068	0.032	0.032	0.023	0.01	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.023	0	0.035	0.006	0.023	0.006	0.029	0.023	0.081	0.052	0.04	0.058	0.081	0.064	0.029	0.087	0.029	0.035	0.017	0.017	0.035	0.04	0.012	0.046	0.012	0.017	0.035	0.017	0.006	0.023	0.017	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.008	0.008	0	0	0	0	0.016	0	0.008	0.008	0.016	0.032	0.04	0.024	0.065	0.073	0.065	0.048	0.105	0.089	0.073	0.081	0.048	0.048	0.089	0.024	0.024	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
