Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	49-50	51-52
ClassII:Rolling_Circle	0.003	0.004	0.015	0.025	0.031	0.031	0.031	0.034	0.048	0.055	0.061	0.069	0.067	0.074	0.06	0.056	0.053	0.042	0.035	0.03	0.028	0.023	0.018	0.018	0.014	0.012	0.01	0.009	0.01	0.008	0.008	0.006	0.004	0.004	0.002	0.0	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.225	0.003	0.014	0.026	0.044	0.038	0.013	0.026	0.033	0.035	0.026	0.026	0.033	0.041	0.031	0.032	0.033	0.028	0.035	0.031	0.031	0.031	0.027	0.025	0.024	0.019	0.016	0.014	0.011	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.003	0.002	0.008	0.01	0.018	0.022	0.028	0.035	0.044	0.049	0.05	0.052	0.05	0.048	0.046	0.042	0.041	0.037	0.035	0.033	0.032	0.031	0.03	0.028	0.026	0.027	0.026	0.028	0.028	0.025	0.019	0.016	0.011	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.007	0.009	0.011	0.014	0.016	0.019	0.022	0.025	0.03	0.033	0.038	0.043	0.043	0.051	0.053	0.056	0.057	0.062	0.064	0.055	0.051	0.045	0.042	0.034	0.027	0.024	0.02	0.017	0.012	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.005	0.01	0.01	0.013	0.02	0.026	0.034	0.033	0.044	0.062	0.066	0.062	0.067	0.062	0.065	0.065	0.057	0.05	0.048	0.045	0.035	0.029	0.025	0.018	0.014	0.011	0.006	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0	0
Unknown	0.002	0.002	0.007	0.009	0.017	0.02	0.028	0.03	0.034	0.037	0.036	0.04	0.041	0.041	0.044	0.046	0.044	0.045	0.052	0.048	0.05	0.05	0.046	0.042	0.034	0.03	0.025	0.02	0.02	0.016	0.015	0.01	0.009	0.005	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.0	0.001	0.002	0.002	0.004	0.005	0.007	0.012	0.013	0.016	0.018	0.023	0.024	0.027	0.03	0.031	0.036	0.038	0.044	0.049	0.05	0.052	0.05	0.051	0.052	0.053	0.053	0.062	0.045	0.049	0.041	0.029	0.017	0.008	0.002	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.01	0.006	0.02	0.013	0.016	0.009	0.009	0.013	0.013	0.009	0.013	0.02	0.033	0.031	0.025	0.033	0.045	0.055	0.076	0.074	0.061	0.064	0.048	0.051	0.049	0.048	0.032	0.022	0.028	0.025	0.015	0.015	0.006	0.003	0	0.009	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0	0	0	0	0	0	0	0.011	0.011	0	0	0	0.011	0.022	0.011	0.022	0.056	0.022	0.089	0.089	0.133	0.111	0.089	0.067	0.1	0.067	0.022	0.022	0.011	0.022	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0.009	0.009	0.028	0.046	0.065	0.093	0.176	0.074	0.083	0.102	0.065	0.046	0.019	0.019	0.019	0.009	0	0	0.009	0	0.019	0.009	0.019	0.019	0.019	0.009	0	0.009	0.009	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
