Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
ClassI:LTR	0.012	0.026	0.051	0.07	0.076	0.074	0.064	0.058	0.05	0.043	0.035	0.03	0.026	0.024	0.023	0.022	0.023	0.024	0.024	0.026	0.028	0.029	0.028	0.028	0.024	0.021	0.016	0.012	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.008	0.009	0.012	0.018	0.025	0.037	0.035	0.043	0.062	0.066	0.06	0.067	0.07	0.065	0.067	0.056	0.052	0.05	0.04	0.034	0.03	0.023	0.018	0.013	0.011	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassI:LINE	0.002	0.002	0.005	0.006	0.012	0.011	0.009	0.014	0.022	0.021	0.032	0.039	0.045	0.048	0.048	0.057	0.053	0.044	0.052	0.039	0.045	0.038	0.039	0.035	0.03	0.036	0.04	0.038	0.03	0.031	0.027	0.02	0.013	0.006	0.004	0.002	0.001	0	0	0	0	0	0	0	0
Simple_repeat	0.277	0.005	0.02	0.032	0.048	0.034	0.019	0.027	0.032	0.03	0.024	0.024	0.03	0.035	0.028	0.027	0.028	0.026	0.028	0.027	0.027	0.026	0.025	0.02	0.022	0.017	0.014	0.012	0.01	0.008	0.005	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ClassII:TIR	0.005	0.005	0.009	0.012	0.016	0.02	0.019	0.022	0.028	0.027	0.029	0.035	0.046	0.054	0.053	0.05	0.052	0.055	0.055	0.058	0.056	0.054	0.048	0.043	0.034	0.032	0.023	0.018	0.014	0.01	0.007	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.007	0.01	0.017	0.023	0.028	0.034	0.04	0.042	0.044	0.046	0.045	0.046	0.044	0.045	0.045	0.046	0.046	0.047	0.047	0.044	0.042	0.037	0.032	0.028	0.024	0.022	0.018	0.014	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:SINE	0.004	0.007	0.011	0.018	0.034	0.023	0.026	0.03	0.039	0.029	0.037	0.045	0.041	0.054	0.042	0.04	0.049	0.046	0.047	0.051	0.045	0.061	0.038	0.041	0.037	0.032	0.024	0.023	0.011	0.005	0.004	0.002	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.032	0.005	0.004	0	0.002	0.002	0.005	0.014	0.011	0.014	0.035	0.03	0.018	0.027	0.027	0.034	0.035	0.043	0.046	0.021	0.035	0.051	0.041	0.055	0.057	0.06	0.048	0.055	0.037	0.048	0.034	0.03	0.012	0.014	0.009	0.007	0	0.002	0	0	0	0	0	0	0
Pseudogene:RNA	0.293	0.131	0.069	0.051	0.029	0.029	0.024	0.035	0.011	0.029	0.029	0.027	0.029	0.003	0.016	0.016	0.029	0.011	0.024	0.011	0.035	0.013	0.013	0.024	0	0.003	0.005	0.003	0	0	0	0	0.003	0.003	0.003	0	0	0	0	0	0	0	0	0	0
Satellite	0.015	0.033	0.104	0.115	0.052	0.056	0.059	0.093	0.086	0.041	0.011	0.011	0.011	0.007	0.011	0.007	0.007	0.007	0.019	0.015	0.022	0.007	0.019	0.015	0.026	0.037	0.015	0.03	0.022	0.022	0.007	0.004	0.007	0.004	0	0	0	0	0	0	0	0	0	0	0
