Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	43-44	45-46	46-47
ClassI:LINE	0.004	0.003	0.002	0.003	0.003	0.007	0.006	0.007	0.011	0.011	0.017	0.018	0.024	0.027	0.034	0.036	0.045	0.048	0.053	0.056	0.062	0.064	0.062	0.064	0.063	0.065	0.056	0.046	0.035	0.028	0.018	0.011	0.006	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.004	0.004	0.005	0.006	0.007	0.01	0.012	0.015	0.021	0.025	0.03	0.037	0.046	0.052	0.06	0.066	0.071	0.072	0.078	0.074	0.068	0.06	0.048	0.04	0.029	0.021	0.014	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.006	0.008	0.016	0.02	0.017	0.021	0.02	0.025	0.027	0.032	0.039	0.041	0.045	0.048	0.05	0.051	0.051	0.05	0.05	0.049	0.049	0.045	0.042	0.038	0.032	0.029	0.023	0.021	0.017	0.012	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.286	0.003	0.013	0.03	0.06	0.044	0.017	0.029	0.04	0.041	0.031	0.028	0.035	0.045	0.031	0.025	0.028	0.023	0.024	0.021	0.023	0.021	0.018	0.016	0.016	0.011	0.009	0.008	0.007	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.002	0.003	0.005	0.005	0.007	0.009	0.008	0.012	0.016	0.019	0.025	0.028	0.034	0.041	0.044	0.052	0.057	0.062	0.063	0.068	0.067	0.064	0.06	0.056	0.048	0.041	0.032	0.025	0.018	0.012	0.007	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.005	0.01	0.01	0.014	0.022	0.027	0.038	0.033	0.044	0.072	0.085	0.065	0.072	0.072	0.067	0.063	0.056	0.046	0.041	0.032	0.028	0.023	0.019	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0
Pseudogene:RNA	0.009	0.008	0.021	0.021	0.021	0.02	0.035	0.036	0.04	0.04	0.041	0.051	0.055	0.055	0.051	0.061	0.058	0.061	0.056	0.037	0.05	0.041	0.039	0.019	0.015	0.014	0.017	0.011	0.008	0.004	0.003	0	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.011	0.015	0.009	0.018	0.024	0.03	0.029	0.024	0.025	0.029	0.037	0.029	0.037	0.043	0.049	0.051	0.049	0.055	0.052	0.048	0.048	0.033	0.03	0.044	0.044	0.03	0.024	0.016	0.019	0.016	0.006	0.01	0.009	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.001	0.001	0.001	0.002	0.004	0.007	0.007	0.008	0.01	0.019	0.021	0.024	0.026	0.038	0.049	0.068	0.064	0.07	0.068	0.079	0.075	0.081	0.066	0.063	0.051	0.031	0.027	0.012	0.013	0.003	0.004	0.003	0.004	0.001	0	0.001	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0.007	0	0.014	0.007	0	0.007	0.007	0.034	0.034	0.014	0.041	0.075	0.062	0.041	0.034	0.021	0.055	0.096	0.185	0.055	0.034	0.055	0.062	0.014	0.021	0.021	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
