Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	45-46
Unknown	0.011	0.0	0.004	0.018	0.005	0.012	0.02	0.018	0.025	0.03	0.038	0.044	0.05	0.056	0.061	0.065	0.065	0.066	0.064	0.059	0.058	0.051	0.044	0.037	0.028	0.024	0.016	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.004	0.0	0.002	0.007	0.003	0.007	0.012	0.011	0.017	0.021	0.027	0.031	0.035	0.042	0.045	0.049	0.051	0.054	0.061	0.06	0.064	0.062	0.06	0.055	0.049	0.044	0.036	0.027	0.022	0.016	0.011	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.156	0.0	0.005	0.027	0.032	0.02	0.017	0.026	0.029	0.032	0.03	0.031	0.04	0.043	0.04	0.039	0.04	0.039	0.043	0.037	0.04	0.041	0.036	0.029	0.03	0.024	0.019	0.017	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:SINE	0.004	0.001	0.003	0.014	0.005	0.013	0.017	0.017	0.032	0.034	0.041	0.057	0.06	0.061	0.067	0.071	0.069	0.068	0.063	0.058	0.059	0.049	0.034	0.031	0.022	0.018	0.014	0.007	0.006	0.003	0.002	0.002	0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.004	0.0	0.002	0.01	0.004	0.009	0.014	0.016	0.023	0.029	0.038	0.045	0.05	0.056	0.06	0.065	0.064	0.064	0.062	0.057	0.06	0.052	0.044	0.041	0.032	0.029	0.02	0.015	0.012	0.008	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0.0	0	0	0
ClassI:LINE	0.001	0.0	0.001	0.003	0.001	0.003	0.005	0.005	0.008	0.011	0.016	0.021	0.028	0.037	0.045	0.052	0.058	0.065	0.071	0.072	0.075	0.07	0.068	0.06	0.054	0.05	0.04	0.03	0.02	0.013	0.008	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0	0	0.001	0.003	0.0	0.002	0.005	0.008	0.008	0.012	0.022	0.027	0.036	0.031	0.045	0.059	0.063	0.059	0.072	0.066	0.067	0.067	0.058	0.052	0.055	0.04	0.033	0.03	0.022	0.019	0.012	0.009	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0
ClassII:Rolling_Circle	0.008	0	0.002	0.02	0.005	0.005	0.022	0.017	0.022	0.03	0.023	0.03	0.046	0.043	0.047	0.051	0.07	0.063	0.054	0.043	0.053	0.045	0.033	0.045	0.042	0.036	0.042	0.035	0.025	0.02	0.01	0.006	0.006	0.001	0.001	0.001	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0	0.026	0	0.077	0.077	0.026	0	0.051	0.154	0.103	0.026	0.051	0.051	0.077	0.026	0.077	0.077	0	0.026	0.026	0	0.026	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0.005	0	0	0.01	0.02	0.025	0.04	0.065	0.055	0.085	0.085	0.141	0.111	0.08	0.101	0.09	0.04	0.025	0.01	0.005	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.025	0	0	0	0	0	0.075	0.075	0.1	0.05	0.15	0.025	0.05	0.125	0.125	0	0.05	0.05	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
