Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Unknown	0.003	0.001	0.004	0.004	0.006	0.008	0.011	0.015	0.02	0.025	0.03	0.035	0.04	0.044	0.047	0.05	0.052	0.054	0.056	0.055	0.058	0.056	0.055	0.052	0.046	0.043	0.035	0.028	0.021	0.015	0.011	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.004	0.005	0.005	0.009	0.01	0.013	0.015	0.016	0.019	0.019	0.02	0.025	0.029	0.034	0.035	0.035	0.034	0.032	0.033	0.035	0.039	0.046	0.052	0.066	0.076	0.074	0.064	0.05	0.037	0.027	0.019	0.01	0.006	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.001	0.0	0.002	0.001	0.003	0.004	0.007	0.01	0.013	0.019	0.024	0.03	0.034	0.037	0.039	0.042	0.046	0.05	0.053	0.057	0.059	0.057	0.055	0.053	0.048	0.046	0.042	0.038	0.033	0.027	0.022	0.017	0.012	0.008	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0
ClassII:TIR	0.001	0.0	0.002	0.003	0.004	0.007	0.01	0.015	0.019	0.024	0.028	0.033	0.038	0.043	0.047	0.05	0.05	0.051	0.052	0.051	0.054	0.052	0.05	0.045	0.04	0.038	0.035	0.032	0.029	0.026	0.022	0.018	0.013	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.008	0.009	0.012	0.023	0.031	0.042	0.038	0.047	0.063	0.072	0.058	0.069	0.068	0.066	0.061	0.053	0.048	0.047	0.036	0.03	0.027	0.021	0.017	0.014	0.011	0.008	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0
Simple_repeat	0.227	0.006	0.029	0.036	0.046	0.043	0.024	0.032	0.037	0.04	0.03	0.027	0.033	0.039	0.031	0.027	0.028	0.025	0.028	0.026	0.026	0.026	0.021	0.02	0.02	0.015	0.012	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
ClassI:DIRS	0.001	0	0.001	0.001	0.0	0.002	0.003	0.003	0.004	0.01	0.009	0.016	0.024	0.031	0.041	0.056	0.08	0.092	0.092	0.068	0.064	0.061	0.063	0.065	0.052	0.044	0.034	0.026	0.02	0.015	0.009	0.005	0.004	0.002	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.001	0	0.002	0.003	0.008	0.016	0.035	0.077	0.098	0.103	0.117	0.084	0.066	0.07	0.056	0.053	0.049	0.048	0.034	0.025	0.024	0.015	0.011	0.005	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0.0	0.0	0.0	0.001	0.003	0.01	0.016	0.023	0.026	0.031	0.027	0.03	0.03	0.041	0.051	0.054	0.064	0.066	0.057	0.052	0.047	0.045	0.041	0.044	0.042	0.034	0.036	0.038	0.032	0.024	0.015	0.01	0.006	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.007	0.016	0.037	0.04	0.039	0.043	0.038	0.032	0.033	0.031	0.031	0.03	0.028	0.03	0.029	0.031	0.034	0.034	0.038	0.037	0.041	0.039	0.043	0.045	0.039	0.038	0.033	0.023	0.02	0.014	0.011	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
