Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	48-49
ClassI:LTR	0.0	0.0	0.001	0.001	0.002	0.005	0.007	0.011	0.014	0.018	0.023	0.027	0.03	0.034	0.037	0.041	0.044	0.046	0.048	0.05	0.055	0.057	0.058	0.057	0.054	0.053	0.047	0.042	0.037	0.031	0.025	0.017	0.012	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Unknown	0.005	0.001	0.005	0.004	0.006	0.01	0.012	0.016	0.021	0.025	0.03	0.034	0.038	0.043	0.049	0.052	0.056	0.057	0.057	0.057	0.058	0.056	0.054	0.051	0.045	0.04	0.032	0.025	0.019	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.002	0.002	0.004	0.005	0.007	0.009	0.012	0.014	0.017	0.02	0.026	0.031	0.035	0.04	0.045	0.05	0.05	0.054	0.053	0.055	0.058	0.06	0.062	0.058	0.055	0.053	0.044	0.03	0.021	0.013	0.007	0.004	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Simple_repeat	0.226	0.004	0.028	0.036	0.048	0.045	0.025	0.034	0.039	0.042	0.031	0.027	0.034	0.039	0.03	0.026	0.029	0.025	0.028	0.025	0.026	0.025	0.021	0.018	0.019	0.015	0.012	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.0	0.001	0.001	0.002	0.005	0.009	0.012	0.017	0.021	0.026	0.03	0.035	0.039	0.042	0.044	0.049	0.052	0.055	0.056	0.058	0.056	0.052	0.05	0.043	0.042	0.037	0.033	0.031	0.027	0.023	0.017	0.013	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.001	0.002	0.005	0.009	0.01	0.013	0.022	0.03	0.041	0.038	0.048	0.066	0.073	0.058	0.072	0.066	0.063	0.06	0.053	0.049	0.048	0.036	0.029	0.026	0.022	0.016	0.012	0.009	0.007	0.005	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0
ClassI:DIRS	0.003	0	0	0.001	0.007	0.006	0.023	0.007	0.027	0.014	0.041	0.066	0.072	0.088	0.103	0.081	0.079	0.04	0.034	0.023	0.016	0.01	0.01	0.004	0.013	0.008	0.016	0.02	0.027	0.023	0.025	0.016	0.014	0.032	0.016	0.018	0.011	0.004	0.001	0.003	0	0	0	0	0	0	0
Satellite	0.001	0	0.001	0.002	0.002	0.001	0.008	0.022	0.053	0.099	0.11	0.064	0.05	0.083	0.069	0.047	0.031	0.023	0.037	0.063	0.051	0.052	0.039	0.042	0.019	0.012	0.009	0.003	0.002	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0.0	0.0	0.001	0.001	0.002	0.004	0.01	0.022	0.033	0.024	0.025	0.022	0.025	0.032	0.036	0.04	0.045	0.054	0.054	0.056	0.062	0.06	0.06	0.055	0.06	0.054	0.042	0.032	0.027	0.019	0.014	0.013	0.01	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.003	0.005	0.007	0.014	0.018	0.024	0.029	0.038	0.042	0.043	0.047	0.039	0.038	0.041	0.039	0.036	0.042	0.035	0.041	0.034	0.036	0.036	0.039	0.037	0.039	0.046	0.037	0.037	0.028	0.021	0.014	0.008	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.001	0.002	0.016	0.022	0.058	0.058	0.039	0.022	0.027	0.026	0.034	0.04	0.051	0.054	0.052	0.056	0.058	0.061	0.057	0.046	0.049	0.043	0.04	0.035	0.024	0.014	0.009	0.004	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.007	0.007	0	0	0.007	0.014	0.034	0.061	0.034	0.068	0.068	0.068	0.054	0.054	0.041	0.088	0.034	0.034	0.034	0.02	0.048	0.007	0.02	0.034	0.014	0.027	0.027	0.027	0.02	0.014	0	0.007	0.02	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
