Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	50-51
Low_complexity	0.0	0	0.001	0.002	0.0	0.001	0.005	0.009	0.009	0.013	0.019	0.023	0.032	0.033	0.04	0.06	0.069	0.06	0.07	0.065	0.068	0.064	0.056	0.052	0.05	0.04	0.031	0.032	0.024	0.018	0.014	0.012	0.008	0.006	0.004	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Unknown	0.003	0.002	0.006	0.007	0.01	0.016	0.02	0.025	0.032	0.037	0.045	0.05	0.054	0.058	0.061	0.063	0.064	0.064	0.063	0.058	0.055	0.048	0.04	0.033	0.025	0.02	0.014	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0
Simple_repeat	0.139	0.007	0.016	0.026	0.042	0.034	0.017	0.027	0.034	0.036	0.028	0.03	0.039	0.045	0.037	0.036	0.038	0.035	0.039	0.036	0.036	0.035	0.031	0.027	0.027	0.021	0.017	0.016	0.012	0.009	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
ClassI:SINE	0.006	0.004	0.008	0.011	0.013	0.018	0.021	0.025	0.029	0.032	0.036	0.038	0.045	0.044	0.047	0.047	0.044	0.048	0.046	0.047	0.054	0.053	0.05	0.048	0.041	0.041	0.032	0.025	0.018	0.012	0.007	0.005	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.002	0.005	0.004	0.006	0.007	0.01	0.012	0.013	0.014	0.016	0.016	0.017	0.018	0.018	0.021	0.024	0.028	0.031	0.036	0.045	0.056	0.066	0.076	0.087	0.092	0.082	0.066	0.049	0.033	0.022	0.014	0.007	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.001	0.005	0.006	0.008	0.012	0.016	0.02	0.028	0.032	0.039	0.042	0.046	0.05	0.054	0.056	0.058	0.059	0.058	0.056	0.057	0.052	0.05	0.045	0.038	0.033	0.025	0.018	0.014	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.001	0.003	0.004	0.005	0.008	0.011	0.014	0.018	0.022	0.028	0.032	0.038	0.044	0.048	0.051	0.053	0.056	0.055	0.055	0.057	0.055	0.054	0.052	0.048	0.044	0.038	0.032	0.026	0.019	0.013	0.008	0.005	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.003	0.005	0.006	0.01	0.019	0.02	0.022	0.028	0.027	0.029	0.034	0.038	0.042	0.051	0.038	0.044	0.041	0.04	0.038	0.042	0.035	0.037	0.041	0.039	0.039	0.045	0.043	0.04	0.036	0.024	0.02	0.011	0.004	0.001	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0	0.001	0.001	0.002	0.005	0.009	0.012	0.018	0.023	0.029	0.046	0.058	0.072	0.078	0.099	0.098	0.098	0.092	0.084	0.064	0.039	0.024	0.014	0.012	0.007	0.005	0.004	0.002	0.001	0.001	0.001	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.005	0.009	0.012	0.03	0.041	0.024	0.046	0.027	0.035	0.035	0.03	0.039	0.036	0.03	0.062	0.044	0.075	0.064	0.05	0.055	0.059	0.046	0.021	0.019	0.023	0.019	0.019	0.008	0.018	0.009	0.005	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.011	0	0.004	0.014	0.004	0.033	0.062	0.047	0.076	0.094	0.141	0.109	0.098	0.065	0.058	0.051	0.022	0.018	0.043	0.004	0	0.004	0.004	0.004	0.004	0.004	0.014	0.004	0.007	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
