Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	49-50
ClassI:SINE	0.008	0.015	0.02	0.041	0.056	0.054	0.07	0.07	0.081	0.06	0.056	0.04	0.029	0.029	0.024	0.022	0.023	0.024	0.025	0.033	0.032	0.028	0.027	0.031	0.02	0.022	0.014	0.015	0.011	0.01	0.004	0.003	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.007	0.009	0.018	0.026	0.03	0.035	0.04	0.043	0.046	0.047	0.049	0.051	0.05	0.051	0.049	0.049	0.048	0.048	0.045	0.042	0.04	0.035	0.03	0.026	0.02	0.018	0.013	0.01	0.007	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.007	0.006	0.016	0.025	0.03	0.033	0.033	0.033	0.034	0.035	0.036	0.037	0.038	0.04	0.042	0.045	0.048	0.05	0.051	0.051	0.051	0.046	0.044	0.038	0.031	0.027	0.021	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.174	0.009	0.023	0.029	0.038	0.038	0.026	0.032	0.039	0.04	0.035	0.033	0.037	0.04	0.031	0.03	0.03	0.029	0.032	0.03	0.03	0.031	0.027	0.024	0.024	0.019	0.016	0.014	0.011	0.009	0.007	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
ClassI:LTR	0.005	0.006	0.014	0.022	0.03	0.035	0.04	0.042	0.043	0.041	0.042	0.042	0.043	0.043	0.042	0.039	0.038	0.037	0.036	0.034	0.034	0.032	0.034	0.032	0.031	0.031	0.029	0.027	0.022	0.019	0.013	0.009	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.006	0.001	0.006	0.009	0.008	0.009	0.01	0.01	0.012	0.013	0.016	0.016	0.018	0.021	0.023	0.025	0.028	0.033	0.036	0.04	0.053	0.061	0.071	0.075	0.078	0.073	0.068	0.056	0.044	0.034	0.021	0.013	0.008	0.004	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.001	0.003	0.006	0.013	0.007	0.014	0.033	0.023	0.058	0.046	0.033	0.037	0.036	0.048	0.073	0.065	0.044	0.057	0.05	0.03	0.04	0.028	0.044	0.044	0.04	0.04	0.03	0.018	0.018	0.007	0.006	0.004	0	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.006	0.009	0.01	0.013	0.022	0.028	0.034	0.034	0.039	0.058	0.062	0.057	0.067	0.064	0.066	0.064	0.056	0.049	0.051	0.042	0.033	0.032	0.024	0.019	0.016	0.011	0.007	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:PLE	0.0	0	0.001	0.004	0	0.003	0.002	0.001	0.001	0.006	0.007	0.009	0.014	0.018	0.039	0.052	0.079	0.116	0.128	0.134	0.12	0.095	0.07	0.045	0.022	0.016	0.01	0.005	0.002	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0	0.001	0.004	0.015	0.018	0.019	0.034	0.035	0.04	0.034	0.034	0.057	0.038	0.042	0.037	0.037	0.045	0.034	0.037	0.051	0.034	0.051	0.04	0.042	0.046	0.037	0.036	0.029	0.025	0.016	0.009	0.004	0.009	0.004	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.009	0.019	0.022	0.035	0.023	0.043	0.051	0.064	0.049	0.059	0.026	0.035	0.027	0.041	0.034	0.028	0.036	0.043	0.042	0.038	0.034	0.036	0.034	0.029	0.033	0.022	0.017	0.019	0.01	0.011	0.013	0.006	0.005	0.002	0.001	0.002	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.001	0.001	0	0	0	0.001	0.005	0.007	0.008	0.009	0.031	0.022	0.041	0.043	0.058	0.077	0.082	0.092	0.1	0.1	0.086	0.066	0.065	0.045	0.036	0.008	0.005	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0	0.003	0.005	0.003	0.009	0.027	0.044	0.046	0.048	0.043	0.054	0.056	0.051	0.044	0.058	0.033	0.044	0.057	0.057	0.056	0.049	0.046	0.044	0.034	0.027	0.032	0.008	0.01	0.004	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.017	0.008	0.058	0.042	0.058	0.025	0.075	0.133	0.067	0.142	0.067	0.075	0.017	0.008	0.025	0.033	0.058	0.042	0.008	0.033	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
