Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	48-49	51-52	52-53	60-61
ClassI:LTR	0.004	0.004	0.007	0.01	0.016	0.024	0.033	0.039	0.045	0.045	0.048	0.047	0.051	0.051	0.052	0.053	0.053	0.053	0.05	0.045	0.042	0.036	0.032	0.028	0.025	0.022	0.02	0.016	0.014	0.011	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.005	0.004	0.01	0.013	0.019	0.024	0.03	0.036	0.042	0.046	0.051	0.054	0.058	0.06	0.06	0.059	0.057	0.055	0.052	0.047	0.045	0.039	0.033	0.027	0.021	0.017	0.012	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.005	0.001	0.007	0.007	0.012	0.015	0.021	0.026	0.031	0.036	0.042	0.046	0.052	0.054	0.057	0.059	0.059	0.058	0.058	0.055	0.053	0.047	0.041	0.034	0.028	0.024	0.019	0.014	0.012	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.188	0.025	0.028	0.03	0.041	0.028	0.018	0.026	0.03	0.033	0.026	0.028	0.034	0.037	0.033	0.032	0.034	0.031	0.035	0.032	0.031	0.032	0.029	0.026	0.025	0.02	0.016	0.014	0.011	0.009	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0
ClassI:LINE	0.001	0.001	0.004	0.005	0.008	0.011	0.013	0.018	0.024	0.028	0.035	0.041	0.044	0.048	0.049	0.051	0.05	0.05	0.048	0.045	0.046	0.04	0.037	0.036	0.038	0.038	0.039	0.036	0.031	0.028	0.021	0.015	0.01	0.006	0.003	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.002	0.002	0.009	0.027	0.05	0.061	0.069	0.059	0.059	0.063	0.06	0.06	0.065	0.059	0.047	0.047	0.045	0.039	0.031	0.027	0.028	0.021	0.018	0.016	0.012	0.01	0.005	0.005	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.006	0.009	0.011	0.014	0.019	0.025	0.033	0.033	0.042	0.057	0.067	0.058	0.064	0.064	0.066	0.066	0.061	0.053	0.052	0.044	0.034	0.03	0.024	0.017	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0
ClassI:SINE	0.006	0.006	0.015	0.017	0.013	0.03	0.023	0.04	0.029	0.048	0.042	0.055	0.055	0.069	0.051	0.059	0.059	0.063	0.063	0.051	0.057	0.044	0.03	0.015	0.013	0.019	0.008	0.01	0.002	0.004	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.016	0.005	0.007	0.016	0.005	0.028	0.028	0.035	0.037	0.055	0.055	0.046	0.048	0.046	0.062	0.053	0.065	0.063	0.081	0.051	0.032	0.034	0.044	0.023	0.014	0.016	0.019	0.004	0.009	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0.006	0.002	0.013	0.011	0.024	0.032	0.063	0.047	0.057	0.051	0.046	0.044	0.039	0.041	0.052	0.047	0.039	0.043	0.066	0.044	0.036	0.033	0.049	0.032	0.022	0.022	0.013	0.006	0.008	0.008	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.003	0.003	0.007	0.024	0.031	0.063	0.119	0.077	0.038	0.056	0.094	0.063	0.084	0.07	0.049	0.042	0.045	0.049	0.024	0.003	0.014	0.007	0.014	0.007	0.003	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.001	0.003	0.004	0.007	0.013	0.021	0.025	0.033	0.05	0.067	0.085	0.087	0.097	0.091	0.081	0.07	0.056	0.043	0.038	0.032	0.026	0.019	0.013	0.009	0.008	0.005	0.004	0.003	0.002	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0.004	0.008	0.009	0.01	0.024	0.041	0.051	0.075	0.102	0.107	0.084	0.075	0.069	0.083	0.064	0.059	0.032	0.028	0.027	0.015	0.013	0.014	0.006	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
