Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Simple_repeat	0.249	0.008	0.018	0.028	0.044	0.035	0.02	0.029	0.036	0.038	0.027	0.027	0.034	0.041	0.03	0.026	0.029	0.026	0.029	0.027	0.028	0.026	0.024	0.022	0.02	0.017	0.013	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.002	0.004	0.007	0.008	0.011	0.016	0.021	0.029	0.029	0.036	0.063	0.077	0.062	0.072	0.068	0.07	0.063	0.059	0.053	0.051	0.039	0.033	0.029	0.026	0.019	0.014	0.012	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassI:LTR	0.004	0.005	0.011	0.015	0.019	0.031	0.041	0.048	0.053	0.053	0.052	0.052	0.053	0.051	0.049	0.049	0.046	0.043	0.04	0.038	0.035	0.031	0.029	0.025	0.022	0.02	0.017	0.014	0.013	0.013	0.011	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0.079	0.006	0.009	0.008	0.017	0.022	0.029	0.036	0.036	0.047	0.035	0.034	0.038	0.045	0.052	0.1	0.07	0.033	0.038	0.031	0.025	0.022	0.02	0.015	0.017	0.021	0.03	0.026	0.016	0.017	0.013	0.01	0.001	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.006	0.005	0.01	0.016	0.02	0.027	0.033	0.039	0.046	0.05	0.057	0.055	0.056	0.057	0.055	0.054	0.053	0.05	0.048	0.045	0.043	0.037	0.033	0.028	0.022	0.018	0.013	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.003	0.006	0.006	0.01	0.016	0.018	0.021	0.025	0.03	0.036	0.041	0.046	0.052	0.057	0.06	0.063	0.061	0.06	0.056	0.056	0.049	0.043	0.038	0.032	0.027	0.021	0.017	0.013	0.01	0.008	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.005	0.002	0.008	0.006	0.011	0.02	0.019	0.024	0.029	0.028	0.03	0.032	0.033	0.037	0.037	0.04	0.039	0.039	0.038	0.037	0.041	0.039	0.042	0.045	0.045	0.047	0.047	0.045	0.04	0.034	0.026	0.017	0.009	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0	0.005	0.016	0.025	0.043	0.03	0.03	0.036	0.039	0.079	0.091	0.111	0.107	0.077	0.084	0.057	0.041	0.033	0.021	0.021	0.015	0.013	0.011	0.006	0.005	0.002	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.014	0.001	0.005	0.002	0.007	0.005	0.009	0.007	0.011	0.009	0.011	0.013	0.017	0.026	0.038	0.056	0.068	0.081	0.084	0.083	0.094	0.079	0.069	0.057	0.049	0.032	0.026	0.019	0.011	0.006	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0.002	0	0.006	0.011	0.017	0.036	0.021	0.042	0.055	0.045	0.038	0.036	0.042	0.083	0.1	0.081	0.108	0.093	0.083	0.062	0.025	0.011	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.004	0.002	0.014	0.01	0.011	0.02	0.042	0.025	0.024	0.032	0.034	0.03	0.031	0.047	0.048	0.039	0.053	0.048	0.06	0.056	0.062	0.053	0.04	0.034	0.059	0.042	0.014	0.023	0.015	0.005	0.011	0.007	0.005	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.004	0	0	0	0	0.004	0.009	0.017	0.004	0.035	0.031	0.087	0.087	0.105	0.087	0.052	0.039	0.048	0.083	0.048	0.035	0.048	0.031	0.035	0.022	0.031	0.017	0.009	0.004	0.013	0	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
