Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47
ClassI:LTR	0.005	0.009	0.016	0.021	0.025	0.037	0.048	0.056	0.065	0.069	0.066	0.06	0.055	0.05	0.047	0.044	0.04	0.038	0.034	0.03	0.028	0.025	0.022	0.02	0.017	0.015	0.013	0.011	0.01	0.008	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.01	0.01	0.017	0.022	0.029	0.037	0.043	0.045	0.05	0.05	0.052	0.053	0.053	0.053	0.052	0.051	0.049	0.046	0.044	0.041	0.04	0.034	0.029	0.024	0.018	0.015	0.011	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.274	0.011	0.02	0.029	0.044	0.035	0.021	0.031	0.038	0.038	0.029	0.028	0.033	0.039	0.029	0.025	0.027	0.023	0.027	0.025	0.024	0.023	0.022	0.019	0.018	0.014	0.012	0.011	0.009	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:TIR	0.003	0.004	0.011	0.014	0.017	0.019	0.023	0.029	0.035	0.041	0.048	0.047	0.045	0.045	0.045	0.049	0.051	0.054	0.053	0.054	0.052	0.048	0.043	0.037	0.031	0.025	0.02	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0	0.015	0.029	0.02	0.031	0.037	0.037	0.06	0.055	0.044	0.034	0.038	0.023	0.024	0.028	0.035	0.031	0.031	0.049	0.059	0.063	0.084	0.059	0.054	0.031	0.018	0.005	0.001	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.0	0.001	0.003	0.003	0.006	0.009	0.013	0.02	0.017	0.023	0.025	0.032	0.037	0.04	0.053	0.068	0.072	0.072	0.076	0.065	0.063	0.059	0.053	0.042	0.04	0.029	0.026	0.02	0.014	0.009	0.005	0.004	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.003	0.009	0.011	0.016	0.019	0.026	0.028	0.029	0.028	0.033	0.031	0.031	0.035	0.036	0.037	0.04	0.04	0.042	0.038	0.041	0.04	0.044	0.042	0.043	0.044	0.046	0.041	0.037	0.031	0.023	0.013	0.008	0.004	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.001	0.004	0.006	0.008	0.01	0.016	0.02	0.03	0.03	0.035	0.065	0.078	0.067	0.071	0.065	0.066	0.066	0.061	0.054	0.049	0.04	0.032	0.03	0.025	0.02	0.014	0.011	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0.0	0
ClassII:DNA_Polymerase	0.003	0.001	0.005	0.006	0.005	0.007	0.013	0.018	0.024	0.033	0.043	0.047	0.06	0.069	0.067	0.086	0.088	0.089	0.074	0.067	0.063	0.044	0.034	0.02	0.015	0.009	0.006	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0	0.002	0.001	0.004	0.012	0.013	0.028	0.035	0.037	0.037	0.043	0.034	0.039	0.032	0.03	0.043	0.039	0.053	0.037	0.049	0.048	0.036	0.053	0.054	0.067	0.04	0.038	0.029	0.03	0.021	0.01	0	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.022	0.025	0.045	0.068	0.083	0.062	0.095	0.092	0.058	0.043	0.072	0.043	0.05	0.022	0.028	0.007	0.02	0.013	0.01	0.02	0.01	0.02	0.013	0.01	0.018	0.013	0.013	0.007	0.005	0.01	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.016	0.003	0.006	0.009	0.009	0.013	0.006	0.013	0.028	0.053	0.063	0.072	0.088	0.069	0.05	0.053	0.044	0.047	0.057	0.075	0.063	0.053	0.047	0.022	0.006	0.013	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.003	0.003	0.003	0.01	0.07	0.101	0.093	0.047	0.036	0.01	0.018	0.023	0.034	0.088	0.054	0.031	0.047	0.041	0.049	0.047	0.062	0.018	0.034	0.023	0.008	0.018	0.01	0.008	0.003	0	0.008	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0.002	0.013	0.027	0.044	0.096	0.069	0.143	0.107	0.124	0.067	0.082	0.08	0.031	0.029	0.027	0.017	0.015	0.008	0.006	0.006	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
