Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	47-48
Unknown	0.003	0.002	0.003	0.003	0.005	0.006	0.008	0.011	0.015	0.021	0.028	0.036	0.043	0.049	0.055	0.06	0.066	0.07	0.073	0.07	0.071	0.064	0.056	0.047	0.037	0.03	0.021	0.016	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.003	0.004	0.005	0.007	0.009	0.012	0.016	0.023	0.03	0.037	0.041	0.047	0.052	0.053	0.053	0.054	0.052	0.05	0.049	0.047	0.044	0.041	0.038	0.035	0.031	0.028	0.026	0.023	0.021	0.019	0.015	0.013	0.009	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0	0	0.0	0.002	0.001	0.002	0.004	0.007	0.009	0.012	0.019	0.025	0.033	0.032	0.042	0.065	0.075	0.063	0.071	0.068	0.068	0.062	0.06	0.054	0.048	0.039	0.03	0.026	0.022	0.018	0.013	0.01	0.007	0.005	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.174	0.001	0.007	0.02	0.042	0.035	0.014	0.025	0.034	0.039	0.029	0.03	0.039	0.05	0.038	0.035	0.037	0.034	0.038	0.034	0.034	0.035	0.03	0.024	0.027	0.021	0.016	0.014	0.011	0.008	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.001	0.001	0.004	0.003	0.002	0.006	0.008	0.013	0.018	0.023	0.029	0.034	0.026	0.033	0.031	0.031	0.03	0.027	0.032	0.033	0.036	0.043	0.043	0.047	0.054	0.055	0.061	0.057	0.055	0.058	0.045	0.03	0.017	0.007	0.005	0.002	0.001	0.0	0	0	0	0	0	0	0	0
Satellite	0.002	0.001	0.004	0.004	0.01	0.016	0.038	0.059	0.096	0.123	0.124	0.106	0.074	0.041	0.036	0.029	0.036	0.047	0.052	0.032	0.018	0.021	0.017	0.007	0.005	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.002	0.002	0.004	0.002	0.002	0.002	0.002	0.004	0.003	0.005	0.005	0.007	0.008	0.014	0.018	0.017	0.022	0.027	0.039	0.044	0.055	0.073	0.099	0.074	0.085	0.089	0.074	0.076	0.057	0.037	0.02	0.01	0.013	0.004	0.004	0.002	0	0.001	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.001	0.002	0.003	0.003	0.003	0.005	0.007	0.012	0.019	0.027	0.031	0.038	0.043	0.046	0.047	0.054	0.057	0.06	0.06	0.061	0.06	0.059	0.048	0.044	0.043	0.036	0.03	0.024	0.019	0.017	0.014	0.01	0.007	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.01	0.007	0.015	0.012	0.03	0.029	0.036	0.046	0.021	0.034	0.028	0.051	0.039	0.039	0.062	0.054	0.06	0.061	0.06	0.037	0.039	0.034	0.024	0.038	0.023	0.015	0.016	0.007	0.013	0.005	0.005	0.002	0.015	0.02	0.003	0.002	0.006	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.013	0.009	0.011	0.004	0.004	0.006	0.011	0.024	0.07	0.055	0.028	0.015	0.017	0.043	0.022	0.02	0.024	0.054	0.022	0.031	0.024	0.039	0.057	0.048	0.059	0.041	0.044	0.031	0.03	0.037	0.018	0.052	0.031	0.002	0.004	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.036	0.018	0.042	0.036	0.036	0.054	0.063	0.051	0.057	0.045	0.045	0.051	0.027	0.024	0.027	0.027	0.006	0.036	0.045	0.018	0.036	0.033	0.042	0.036	0.012	0.024	0.024	0.021	0.009	0.006	0.006	0	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0
