Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassI:LTR	0.002	0.002	0.005	0.008	0.014	0.024	0.035	0.047	0.053	0.053	0.052	0.052	0.053	0.051	0.049	0.048	0.047	0.047	0.047	0.045	0.042	0.039	0.034	0.029	0.025	0.02	0.017	0.014	0.012	0.01	0.007	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Unknown	0.002	0.002	0.007	0.013	0.019	0.028	0.034	0.036	0.04	0.042	0.045	0.047	0.049	0.052	0.053	0.055	0.055	0.056	0.055	0.052	0.05	0.043	0.038	0.032	0.026	0.022	0.016	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.002	0.003	0.004	0.006	0.007	0.007	0.009	0.011	0.013	0.015	0.02	0.025	0.027	0.032	0.035	0.039	0.043	0.05	0.057	0.063	0.071	0.076	0.077	0.073	0.068	0.057	0.042	0.03	0.018	0.01	0.005	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.184	0.008	0.021	0.027	0.034	0.025	0.015	0.024	0.028	0.029	0.025	0.025	0.034	0.04	0.035	0.036	0.038	0.036	0.038	0.036	0.039	0.038	0.032	0.028	0.029	0.023	0.018	0.015	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:Rolling_Circle	0.001	0.001	0.003	0.003	0.005	0.011	0.033	0.094	0.12	0.072	0.053	0.049	0.042	0.039	0.039	0.03	0.032	0.034	0.034	0.03	0.032	0.032	0.03	0.029	0.026	0.029	0.027	0.018	0.015	0.012	0.007	0.006	0.005	0.002	0.001	0.001	0.001	0	0.0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.007	0.014	0.019	0.025	0.028	0.032	0.035	0.04	0.043	0.045	0.045	0.045	0.043	0.043	0.043	0.044	0.045	0.045	0.046	0.041	0.039	0.035	0.031	0.029	0.025	0.023	0.021	0.018	0.015	0.012	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.005	0.011	0.01	0.015	0.021	0.026	0.037	0.034	0.047	0.058	0.063	0.056	0.07	0.063	0.063	0.066	0.058	0.055	0.052	0.043	0.033	0.031	0.024	0.018	0.013	0.008	0.006	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:Retroposon_nonLTR	0.007	0.017	0.059	0.172	0.128	0.074	0.055	0.056	0.048	0.048	0.044	0.044	0.023	0.033	0.036	0.029	0.018	0.015	0.017	0.013	0.017	0.016	0.007	0.004	0.004	0.005	0.001	0.002	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.0	0.002	0.004	0.01	0.021	0.04	0.048	0.046	0.043	0.042	0.038	0.032	0.042	0.045	0.044	0.048	0.053	0.057	0.055	0.055	0.052	0.057	0.042	0.027	0.026	0.014	0.009	0.009	0.008	0.008	0.01	0.006	0.004	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.009	0.002	0.013	0.023	0.062	0.092	0.102	0.091	0.083	0.07	0.071	0.058	0.052	0.046	0.041	0.037	0.029	0.027	0.018	0.018	0.021	0.008	0.011	0.006	0.005	0.003	0.001	0.0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.0	0.001	0.002	0.002	0.005	0.006	0.009	0.018	0.032	0.058	0.072	0.079	0.07	0.075	0.076	0.072	0.077	0.07	0.064	0.056	0.041	0.034	0.025	0.018	0.016	0.01	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.012	0.016	0.047	0.128	0.131	0.075	0.084	0.202	0.103	0.034	0.016	0.019	0.028	0.034	0.012	0.009	0.006	0.003	0.006	0.006	0.003	0.012	0	0.006	0.003	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.009	0	0.105	0.282	0.227	0.05	0.059	0.027	0.009	0.014	0.018	0.005	0.009	0.014	0.014	0.005	0.009	0.014	0.005	0.014	0.005	0.005	0.009	0.005	0.023	0.018	0.027	0.005	0.014	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
