Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Simple_repeat	0.313	0.022	0.023	0.024	0.032	0.022	0.012	0.02	0.024	0.027	0.021	0.021	0.028	0.033	0.028	0.027	0.031	0.028	0.031	0.029	0.03	0.03	0.026	0.023	0.022	0.017	0.014	0.012	0.009	0.007	0.005	0.003	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0
Unknown	0.003	0.005	0.011	0.015	0.018	0.024	0.029	0.034	0.037	0.041	0.045	0.048	0.052	0.054	0.056	0.055	0.057	0.056	0.054	0.052	0.05	0.043	0.039	0.034	0.026	0.02	0.014	0.01	0.007	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LTR	0.005	0.007	0.014	0.019	0.025	0.039	0.048	0.061	0.072	0.073	0.064	0.056	0.047	0.041	0.038	0.035	0.03	0.028	0.027	0.027	0.026	0.026	0.025	0.025	0.024	0.024	0.02	0.018	0.014	0.012	0.009	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.055	0.022	0.016	0.021	0.028	0.032	0.023	0.016	0.029	0.021	0.042	0.043	0.031	0.041	0.056	0.041	0.043	0.052	0.042	0.036	0.029	0.038	0.031	0.029	0.027	0.026	0.028	0.018	0.018	0.022	0.015	0.014	0.01	0.003	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.008	0.004	0.01	0.02	0.02	0.026	0.03	0.033	0.039	0.039	0.039	0.039	0.042	0.045	0.043	0.041	0.043	0.046	0.047	0.045	0.048	0.044	0.041	0.037	0.033	0.031	0.026	0.02	0.017	0.014	0.011	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.027	0.029	0.017	0.016	0.013	0.014	0.014	0.016	0.022	0.026	0.037	0.047	0.057	0.075	0.083	0.082	0.085	0.083	0.058	0.047	0.035	0.029	0.02	0.015	0.012	0.008	0.006	0.008	0.007	0.004	0.004	0.002	0.001	0.001	0.001	0	0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0.003	0	0	0	0	0	0.006	0	0.006	0.006	0.011	0.032	0.011	0.032	0.055	0.101	0.103	0.135	0.121	0.115	0.109	0.098	0.032	0.017	0.006	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.001	0.002	0.0	0.001	0.005	0.01	0.009	0.011	0.022	0.027	0.036	0.033	0.043	0.06	0.069	0.064	0.067	0.07	0.062	0.064	0.055	0.054	0.053	0.043	0.032	0.032	0.024	0.019	0.012	0.008	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0
ClassI:LINE	0.001	0.0	0.001	0.002	0.003	0.005	0.008	0.013	0.019	0.025	0.031	0.036	0.04	0.039	0.038	0.036	0.033	0.034	0.035	0.035	0.038	0.041	0.046	0.048	0.051	0.058	0.059	0.054	0.052	0.042	0.032	0.019	0.012	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.134	0.037	0.062	0.043	0.033	0.041	0.046	0.03	0.036	0.03	0.028	0.032	0.037	0.058	0.034	0.026	0.047	0.027	0.026	0.031	0.043	0.032	0.024	0.02	0.013	0.01	0.004	0.004	0.006	0.002	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.009	0.065	0.039	0.052	0.013	0.026	0.004	0.035	0.017	0.009	0.009	0.03	0.017	0.013	0.052	0.048	0.043	0.069	0.056	0.082	0.078	0.078	0.065	0.035	0.026	0.013	0.004	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
