Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	51-52
Unknown	0.001	0.001	0.002	0.004	0.006	0.009	0.012	0.016	0.02	0.023	0.028	0.032	0.037	0.044	0.051	0.057	0.064	0.068	0.071	0.07	0.071	0.064	0.056	0.048	0.038	0.033	0.024	0.018	0.013	0.008	0.005	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
Simple_repeat	0.327	0.001	0.017	0.033	0.049	0.03	0.017	0.026	0.031	0.031	0.024	0.023	0.03	0.036	0.028	0.025	0.027	0.024	0.026	0.025	0.024	0.023	0.021	0.018	0.018	0.014	0.012	0.01	0.008	0.006	0.004	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:SINE	0.0	0.0	0.001	0.001	0.001	0.003	0.004	0.005	0.009	0.012	0.018	0.024	0.029	0.037	0.044	0.051	0.052	0.058	0.058	0.054	0.061	0.058	0.056	0.064	0.057	0.059	0.047	0.04	0.03	0.024	0.016	0.011	0.007	0.004	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.001	0.004	0.007	0.011	0.018	0.021	0.023	0.025	0.027	0.031	0.033	0.038	0.041	0.045	0.048	0.053	0.056	0.058	0.057	0.058	0.055	0.051	0.047	0.042	0.038	0.031	0.025	0.019	0.013	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.006	0.011	0.011	0.015	0.022	0.03	0.041	0.037	0.048	0.064	0.071	0.061	0.072	0.065	0.064	0.065	0.054	0.049	0.045	0.036	0.029	0.024	0.02	0.014	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0	0	0
ClassI:LTR	0.002	0.003	0.005	0.007	0.008	0.01	0.014	0.019	0.025	0.03	0.038	0.045	0.051	0.057	0.061	0.062	0.06	0.057	0.056	0.051	0.049	0.046	0.043	0.036	0.034	0.03	0.024	0.02	0.016	0.013	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0
ClassI:LINE	0.002	0.001	0.002	0.001	0.003	0.005	0.006	0.01	0.013	0.016	0.021	0.027	0.032	0.037	0.036	0.042	0.042	0.045	0.051	0.054	0.058	0.057	0.059	0.059	0.054	0.052	0.049	0.045	0.037	0.03	0.02	0.015	0.01	0.005	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassI:DIRS	0.002	0	0.046	0.006	0.006	0.033	0.008	0.029	0.033	0.031	0.029	0.029	0.037	0.05	0.035	0.048	0.042	0.077	0.071	0.075	0.058	0.05	0.054	0.035	0.027	0.033	0.013	0.015	0.006	0.013	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.0	0.0	0.002	0.005	0.011	0.019	0.023	0.03	0.032	0.012	0.021	0.02	0.024	0.03	0.048	0.046	0.056	0.072	0.09	0.069	0.073	0.081	0.068	0.046	0.036	0.027	0.016	0.011	0.007	0.005	0.007	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0	0	0	0	0.002	0.007	0.007	0.016	0.023	0.047	0.03	0.049	0.096	0.11	0.082	0.075	0.077	0.056	0.075	0.04	0.061	0.044	0.026	0.026	0.009	0.019	0.016	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.009	0.005	0.005	0.021	0.012	0.025	0.028	0.021	0.051	0.042	0.065	0.072	0.065	0.065	0.056	0.097	0.074	0.042	0.058	0.044	0.035	0.016	0.035	0.021	0.016	0.016	0.005	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0	0	0	0	0.006	0.009	0.009	0.009	0.012	0.009	0.021	0.033	0.049	0.03	0.067	0.061	0.082	0.088	0.058	0.122	0.076	0.067	0.085	0.043	0.024	0.012	0.018	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0.005	0.01	0.015	0.02	0.024	0.063	0.054	0.054	0.049	0.049	0.127	0.054	0.078	0.054	0.078	0.054	0.059	0.044	0.024	0.034	0.02	0.015	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0	0.011	0.009	0.009	0.009	0.023	0.043	0.02	0.037	0.052	0.063	0.043	0.063	0.063	0.046	0.08	0.052	0.04	0.057	0.037	0.063	0.04	0.04	0.029	0.029	0.014	0.011	0.006	0	0	0.003	0	0.003	0	0	0	0	0.003	0	0	0	0	0	0	0	0
