Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	49-50
Unknown	0.001	0.001	0.003	0.004	0.005	0.008	0.01	0.014	0.017	0.02	0.025	0.032	0.039	0.049	0.059	0.069	0.075	0.076	0.074	0.07	0.067	0.058	0.051	0.042	0.034	0.028	0.021	0.015	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassI:LTR	0.002	0.003	0.007	0.011	0.014	0.017	0.019	0.021	0.021	0.022	0.024	0.025	0.029	0.032	0.035	0.038	0.04	0.043	0.045	0.047	0.051	0.054	0.052	0.051	0.048	0.047	0.043	0.039	0.033	0.028	0.021	0.014	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.263	0.001	0.013	0.032	0.06	0.042	0.016	0.029	0.038	0.04	0.027	0.027	0.035	0.044	0.031	0.026	0.028	0.025	0.027	0.025	0.025	0.024	0.021	0.019	0.018	0.014	0.011	0.01	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LINE	0.002	0.003	0.011	0.014	0.016	0.014	0.016	0.021	0.027	0.03	0.032	0.031	0.032	0.03	0.028	0.03	0.033	0.035	0.037	0.038	0.042	0.042	0.048	0.049	0.049	0.052	0.051	0.046	0.044	0.037	0.026	0.017	0.01	0.005	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.003	0.005	0.006	0.01	0.011	0.011	0.014	0.017	0.018	0.021	0.025	0.028	0.034	0.039	0.043	0.046	0.052	0.057	0.061	0.064	0.061	0.059	0.053	0.047	0.043	0.037	0.032	0.027	0.022	0.019	0.014	0.009	0.005	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.004	0.007	0.008	0.011	0.016	0.021	0.029	0.029	0.037	0.07	0.078	0.065	0.075	0.07	0.069	0.067	0.059	0.053	0.047	0.038	0.03	0.027	0.022	0.019	0.013	0.011	0.007	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
ClassI:SINE	0.001	0.003	0.006	0.008	0.008	0.008	0.014	0.019	0.017	0.022	0.024	0.023	0.023	0.023	0.02	0.028	0.024	0.03	0.031	0.037	0.043	0.047	0.048	0.051	0.057	0.062	0.061	0.057	0.049	0.042	0.035	0.028	0.02	0.014	0.008	0.004	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.0	0.004	0.01	0.022	0.019	0.031	0.034	0.034	0.03	0.03	0.031	0.03	0.031	0.037	0.04	0.047	0.06	0.05	0.049	0.055	0.053	0.05	0.048	0.034	0.042	0.034	0.021	0.02	0.015	0.011	0.01	0.006	0.005	0.004	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.001	0	0.003	0.001	0.003	0.005	0.006	0.016	0.052	0.131	0.26	0.23	0.085	0.038	0.03	0.021	0.021	0.014	0.009	0.014	0.01	0.01	0.011	0.007	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.099	0.051	0.09	0.021	0.035	0.044	0.036	0.045	0.03	0.036	0.026	0.027	0.031	0.032	0.03	0.031	0.026	0.032	0.034	0.017	0.023	0.025	0.02	0.03	0.022	0.018	0.027	0.016	0.016	0.012	0.008	0.008	0.003	0.001	0	0.001	0	0	0.002	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.003	0.001	0.001	0.002	0.001	0.006	0.01	0.019	0.035	0.064	0.097	0.107	0.096	0.081	0.08	0.068	0.057	0.041	0.038	0.027	0.029	0.03	0.024	0.017	0.022	0.013	0.01	0.011	0.004	0.002	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.006	0.012	0.033	0.017	0.005	0.004	0.002	0.001	0.003	0.002	0.002	0.005	0.01	0.016	0.017	0.024	0.033	0.059	0.066	0.064	0.071	0.074	0.078	0.08	0.054	0.035	0.029	0.018	0.025	0.025	0.02	0.027	0.025	0.018	0.014	0.01	0.01	0.003	0.002	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0.003	0.017	0.024	0	0.003	0.003	0.017	0.038	0.045	0.049	0.094	0.059	0.091	0.073	0.07	0.073	0.066	0.052	0.042	0.045	0.024	0.017	0.014	0.021	0.007	0.024	0	0.014	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
