Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	52-53
ClassI:LINE	0.016	0.007	0.014	0.013	0.026	0.03	0.046	0.034	0.022	0.033	0.024	0.026	0.016	0.017	0.023	0.024	0.021	0.02	0.026	0.032	0.043	0.038	0.038	0.037	0.043	0.056	0.045	0.041	0.045	0.041	0.029	0.022	0.019	0.016	0.004	0.007	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0
Simple_repeat	0.211	0.002	0.013	0.034	0.056	0.033	0.019	0.032	0.039	0.036	0.03	0.03	0.037	0.042	0.034	0.03	0.033	0.03	0.031	0.029	0.029	0.028	0.026	0.023	0.022	0.017	0.014	0.011	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
Unknown	0.002	0.002	0.004	0.006	0.01	0.015	0.018	0.022	0.028	0.034	0.041	0.049	0.058	0.066	0.072	0.075	0.077	0.074	0.068	0.059	0.051	0.041	0.032	0.025	0.019	0.015	0.011	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.003	0.003	0.006	0.01	0.018	0.025	0.029	0.028	0.033	0.034	0.036	0.039	0.041	0.039	0.04	0.043	0.043	0.043	0.042	0.042	0.041	0.039	0.038	0.037	0.034	0.033	0.03	0.03	0.027	0.024	0.021	0.018	0.013	0.009	0.006	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0
ClassI:SINE	0.004	0.001	0.003	0.004	0.004	0.006	0.01	0.015	0.021	0.026	0.029	0.04	0.047	0.047	0.051	0.058	0.062	0.068	0.069	0.065	0.065	0.054	0.05	0.047	0.034	0.033	0.022	0.018	0.015	0.01	0.009	0.004	0.005	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.003	0.003	0.006	0.009	0.014	0.015	0.022	0.031	0.039	0.045	0.046	0.046	0.048	0.052	0.056	0.055	0.056	0.054	0.053	0.048	0.049	0.043	0.037	0.034	0.027	0.024	0.018	0.016	0.012	0.012	0.009	0.007	0.004	0.003	0.002	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.005	0.007	0.008	0.012	0.018	0.023	0.033	0.033	0.041	0.06	0.073	0.062	0.069	0.071	0.068	0.064	0.06	0.056	0.048	0.04	0.033	0.032	0.024	0.018	0.012	0.008	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0
ClassII:Rolling_Circle	0.013	0.006	0.011	0.013	0.02	0.027	0.015	0.038	0.029	0.043	0.051	0.041	0.046	0.053	0.051	0.025	0.036	0.024	0.018	0.022	0.033	0.016	0.018	0.02	0.029	0.027	0.038	0.042	0.041	0.055	0.051	0.024	0.015	0.004	0.003	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.111	0.018	0.033	0.033	0.027	0.038	0.038	0.033	0.047	0.056	0.038	0.042	0.038	0.029	0.027	0.049	0.062	0.013	0.031	0.011	0.016	0.027	0.018	0.029	0.033	0.009	0.024	0.029	0.016	0.018	0.007	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.007	0.005	0.011	0.02	0.02	0.019	0.008	0.017	0.02	0.033	0.021	0.033	0.047	0.062	0.05	0.062	0.084	0.08	0.083	0.068	0.058	0.055	0.03	0.039	0.02	0.021	0.018	0.007	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0.004	0.006	0.009	0.032	0.056	0.088	0.043	0.019	0.037	0.026	0.026	0.013	0.013	0.013	0.022	0.043	0.037	0.043	0.047	0.052	0.047	0.045	0.041	0.052	0.054	0.054	0.032	0.019	0.011	0.002	0.009	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
