Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	50-51
Unknown	0.005	0.011	0.018	0.023	0.028	0.032	0.034	0.036	0.04	0.042	0.044	0.043	0.045	0.046	0.045	0.047	0.048	0.048	0.05	0.048	0.048	0.044	0.039	0.034	0.027	0.022	0.017	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.314	0.004	0.019	0.03	0.041	0.031	0.015	0.024	0.029	0.028	0.022	0.023	0.028	0.034	0.029	0.026	0.028	0.026	0.029	0.026	0.027	0.026	0.024	0.02	0.021	0.016	0.013	0.012	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0
ClassII:Rolling_Circle	0.006	0.016	0.027	0.03	0.064	0.06	0.064	0.063	0.052	0.039	0.041	0.041	0.04	0.041	0.039	0.034	0.034	0.033	0.029	0.029	0.028	0.029	0.027	0.019	0.017	0.019	0.014	0.012	0.011	0.012	0.008	0.005	0.005	0.005	0.005	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.005	0.012	0.027	0.033	0.029	0.029	0.028	0.03	0.037	0.04	0.043	0.046	0.044	0.044	0.046	0.047	0.046	0.046	0.046	0.041	0.042	0.039	0.037	0.033	0.028	0.024	0.02	0.019	0.015	0.01	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.002	0.005	0.009	0.01	0.011	0.019	0.026	0.037	0.032	0.043	0.061	0.07	0.057	0.068	0.064	0.066	0.066	0.057	0.05	0.051	0.041	0.031	0.031	0.024	0.018	0.014	0.01	0.008	0.006	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0
ClassI:LTR	0.002	0.005	0.009	0.019	0.027	0.033	0.039	0.045	0.046	0.045	0.048	0.051	0.05	0.047	0.042	0.04	0.037	0.037	0.037	0.036	0.037	0.039	0.036	0.035	0.032	0.027	0.022	0.02	0.016	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.004	0.003	0.009	0.016	0.023	0.02	0.022	0.051	0.056	0.048	0.032	0.034	0.03	0.031	0.024	0.032	0.036	0.049	0.057	0.05	0.054	0.057	0.045	0.035	0.029	0.031	0.024	0.025	0.021	0.017	0.012	0.008	0.005	0.005	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.003	0.011	0.1	0.124	0.078	0.053	0.028	0.027	0.014	0.024	0.023	0.019	0.028	0.041	0.054	0.055	0.052	0.052	0.049	0.035	0.031	0.022	0.023	0.018	0.015	0.008	0.004	0.004	0.002	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.007	0.01	0.01	0	0.02	0.01	0.01	0	0.007	0	0.003	0.01	0.007	0.01	0.003	0.024	0.017	0.024	0.037	0.061	0.112	0.112	0.105	0.075	0.075	0.058	0.051	0.031	0.027	0.01	0.014	0.02	0.01	0.014	0.003	0.007	0	0.003	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.027	0.005	0.06	0.169	0.087	0.131	0.137	0.093	0.033	0.055	0.016	0.038	0.049	0	0.005	0.005	0.005	0.005	0.011	0	0.005	0.016	0.033	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0.011	0.011	0.011	0.022	0.156	0.133	0.211	0.067	0.1	0.122	0.033	0.011	0.033	0.033	0.011	0.022	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.013	0	0.09	0.09	0.064	0.103	0.077	0.026	0.026	0.064	0.064	0.167	0.051	0.051	0	0	0.026	0.038	0.013	0	0	0.013	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
