Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassI:LTR	0.004	0.008	0.016	0.024	0.035	0.04	0.039	0.039	0.043	0.047	0.046	0.046	0.044	0.041	0.039	0.037	0.037	0.04	0.04	0.04	0.042	0.041	0.038	0.034	0.028	0.024	0.02	0.016	0.014	0.011	0.008	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.004	0.004	0.009	0.016	0.024	0.032	0.038	0.043	0.045	0.046	0.046	0.048	0.047	0.046	0.046	0.047	0.047	0.049	0.05	0.048	0.048	0.043	0.039	0.033	0.025	0.021	0.016	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0
Unknown	0.006	0.009	0.014	0.02	0.023	0.027	0.03	0.034	0.039	0.04	0.044	0.047	0.05	0.052	0.054	0.055	0.054	0.054	0.051	0.049	0.047	0.043	0.037	0.031	0.024	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.228	0.007	0.019	0.027	0.037	0.028	0.017	0.024	0.028	0.031	0.025	0.025	0.032	0.034	0.033	0.032	0.034	0.033	0.036	0.032	0.033	0.033	0.029	0.026	0.026	0.02	0.016	0.015	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Satellite	0	0.0	0.001	0.002	0.001	0.009	0.012	0.009	0.009	0.025	0.045	0.037	0.042	0.054	0.062	0.061	0.063	0.068	0.072	0.065	0.066	0.062	0.056	0.052	0.028	0.032	0.024	0.018	0.009	0.006	0.006	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.002	0.014	0.011	0.029	0.043	0.043	0.035	0.035	0.043	0.04	0.035	0.04	0.051	0.047	0.052	0.052	0.06	0.052	0.045	0.045	0.04	0.037	0.037	0.028	0.022	0.018	0.014	0.008	0.006	0.005	0.002	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.001	0.002	0.005	0.01	0.01	0.014	0.023	0.026	0.038	0.036	0.048	0.058	0.065	0.058	0.069	0.062	0.063	0.068	0.06	0.052	0.051	0.04	0.03	0.029	0.023	0.017	0.012	0.01	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0
ClassI:LINE	0.001	0.002	0.005	0.006	0.011	0.019	0.021	0.017	0.022	0.024	0.025	0.03	0.035	0.04	0.04	0.034	0.038	0.051	0.053	0.051	0.047	0.048	0.048	0.043	0.037	0.038	0.031	0.031	0.027	0.026	0.026	0.028	0.021	0.011	0.008	0.003	0.002	0.001	0	0.0	0	0	0	0	0	0
ClassI:SINE	0.007	0.011	0.023	0.037	0.078	0.043	0.054	0.049	0.035	0.047	0.036	0.028	0.058	0.038	0.034	0.027	0.026	0.037	0.028	0.034	0.038	0.036	0.035	0.035	0.033	0.026	0.017	0.015	0.013	0.007	0.009	0.002	0.002	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.03	0	0.015	0	0	0	0	0.015	0.008	0	0.068	0.045	0.008	0.038	0.015	0.023	0.053	0.015	0.038	0.053	0.045	0.105	0.06	0.068	0.098	0.075	0.023	0.015	0.045	0.015	0.023	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.048	0.046	0.027	0.02	0.021	0.041	0.042	0.057	0.052	0.068	0.087	0.056	0.057	0.037	0.04	0.041	0.024	0.025	0.027	0.019	0.022	0.019	0.011	0.023	0.011	0.009	0.02	0.019	0.016	0.004	0.008	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.033	0.132	0.066	0.02	0.06	0.013	0.06	0.073	0.06	0.066	0.066	0.033	0.06	0.046	0.033	0.046	0.04	0.013	0.026	0.007	0.013	0	0.02	0.007	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.011	0.011	0.017	0.04	0.287	0.04	0.006	0	0	0	0	0.011	0.011	0.017	0.115	0.034	0.149	0.063	0.023	0.023	0.029	0.063	0.034	0.006	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
