Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Unknown	0.043	0.043	0.064	0.032	0.028	0.033	0.029	0.035	0.032	0.026	0.031	0.027	0.023	0.025	0.029	0.018	0.032	0.018	0.022	0.025	0.027	0.025	0.027	0.028	0.016	0.027	0.025	0.034	0.038	0.024	0.027	0.022	0.016	0.015	0.01	0.009	0.007	0.004	0.004	0.001	0	0.0	0.001	0	0
Simple_repeat	0.121	0.003	0.009	0.024	0.036	0.028	0.02	0.038	0.038	0.04	0.036	0.039	0.043	0.044	0.047	0.037	0.042	0.036	0.043	0.029	0.035	0.027	0.026	0.026	0.029	0.025	0.016	0.017	0.013	0.009	0.01	0.004	0.001	0.004	0.002	0.001	0.0	0.001	0.0	0.0	0.0	0	0	0.0	0.0
Low_complexity	0	0	0	0.011	0.005	0	0.008	0.017	0.016	0.005	0.024	0.033	0.031	0.064	0.05	0.047	0.052	0.06	0.041	0.063	0.053	0.061	0.049	0.052	0.067	0.024	0.034	0.03	0.02	0.017	0.024	0.008	0.008	0.009	0.005	0.005	0.003	0	0.003	0	0.002	0	0	0	0.002
ClassI:LTR	0.07	0.058	0.061	0.038	0.037	0.048	0.04	0.032	0.023	0.025	0.022	0.025	0.026	0.019	0.024	0.024	0.021	0.018	0.019	0.023	0.022	0.03	0.029	0.035	0.039	0.035	0.025	0.017	0.017	0.015	0.025	0.013	0.014	0.005	0.007	0.006	0.003	0.002	0.001	0.001	0	0	0	0	0
ClassII:TIR	0.096	0.053	0.053	0.046	0.026	0.029	0.044	0.022	0.025	0.046	0.013	0.029	0.035	0.028	0.025	0.022	0.023	0.016	0.023	0.01	0.016	0.016	0.02	0.031	0.036	0.028	0.017	0.026	0.023	0.029	0.022	0.008	0.008	0.01	0.012	0.005	0.005	0.008	0.005	0.012	0.002	0.001	0	0	0
ClassI:LINE	0.068	0.026	0.042	0.005	0.031	0	0.01	0.062	0.042	0.047	0.016	0.016	0.036	0.031	0.016	0.036	0.016	0.031	0.068	0.052	0.047	0.068	0.042	0.078	0.021	0.005	0.005	0	0.005	0.026	0.016	0.01	0.01	0.005	0	0.01	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.017	0.102	0.017	0.153	0.034	0.136	0.051	0.034	0.034	0.068	0.051	0.017	0.017	0.051	0	0.017	0	0	0.017	0	0.034	0.034	0.017	0	0	0	0.017	0	0.034	0	0	0	0	0	0	0.017	0	0	0.017	0.017	0	0	0	0
Pseudogene:RNA	0.16	0.04	0	0	0.1	0	0.16	0	0.04	0	0.14	0.06	0	0	0.04	0	0	0.04	0.06	0.04	0.02	0	0	0	0	0.02	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0.138	0	0	0	0	0	0	0.103	0	0	0.069	0.172	0	0	0	0	0	0	0	0	0.138	0.034	0.103	0.103	0.034	0	0	0.034	0.034	0	0	0	0	0.034	0	0	0	0	0	0	0	0
ClassI:DIRS	0.083	0.042	0.25	0.208	0.083	0.125	0	0.042	0	0.083	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.154	0	0	0	0.231	0	0.077	0	0	0.154	0.077	0	0.077	0.077	0	0.077	0	0	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
