Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40
Unknown	0.01	0.004	0.011	0.013	0.016	0.024	0.031	0.04	0.05	0.057	0.065	0.068	0.074	0.074	0.076	0.072	0.062	0.055	0.049	0.039	0.03	0.023	0.018	0.012	0.008	0.007	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0
ClassII:TIR	0.005	0.004	0.013	0.015	0.022	0.041	0.047	0.058	0.062	0.06	0.058	0.061	0.056	0.058	0.054	0.05	0.048	0.042	0.04	0.034	0.03	0.028	0.028	0.022	0.012	0.016	0.011	0.008	0.004	0.005	0.004	0.002	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.296	0.001	0.009	0.031	0.069	0.053	0.016	0.029	0.041	0.044	0.025	0.024	0.035	0.044	0.028	0.022	0.024	0.023	0.024	0.021	0.021	0.019	0.018	0.015	0.015	0.012	0.008	0.008	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.001	0.004	0.0	0.002	0.003	0.009	0.006	0.01	0.016	0.021	0.033	0.027	0.039	0.071	0.074	0.062	0.091	0.07	0.069	0.064	0.053	0.048	0.047	0.039	0.037	0.025	0.024	0.016	0.013	0.008	0.006	0.005	0.003	0.003	0.001	0.001	0.0	0
ClassI:LTR	0.026	0.016	0.022	0.051	0.03	0.043	0.05	0.051	0.047	0.05	0.043	0.034	0.04	0.04	0.039	0.037	0.034	0.039	0.051	0.028	0.026	0.026	0.031	0.033	0.025	0.025	0.022	0.012	0.005	0.014	0.002	0.005	0.002	0	0.002	0	0	0	0	0
ClassI:SINE	0	0	0	0.158	0.211	0.158	0.053	0	0	0	0	0	0.053	0	0	0	0.158	0	0	0.053	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.005	0	0.008	0.013	0.013	0.021	0.016	0.011	0.026	0.032	0.024	0.034	0.032	0.042	0.047	0.029	0.024	0.042	0.034	0.05	0.045	0.05	0.069	0.074	0.053	0.053	0.024	0.029	0.013	0.042	0.016	0.016	0	0.008	0.005	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0.018	0	0.018	0.009	0.035	0.053	0.035	0.035	0.07	0.061	0.018	0.053	0.018	0.061	0.088	0.009	0.018	0.026	0.044	0.018	0.079	0.044	0.044	0.044	0.061	0.035	0	0	0	0	0	0.009	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0	0	0.083	0	0.042	0.083	0.083	0.083	0.125	0.042	0.042	0.042	0.042	0.042	0.083	0.042	0.083	0.042	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
