Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	45-46
Simple_repeat	0.181	0.002	0.008	0.024	0.056	0.044	0.014	0.028	0.038	0.042	0.024	0.028	0.038	0.044	0.035	0.031	0.036	0.03	0.036	0.032	0.034	0.034	0.029	0.025	0.024	0.02	0.015	0.013	0.011	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0.0
Low_complexity	0	0	0	0.002	0.0	0.001	0.003	0.006	0.007	0.014	0.022	0.027	0.038	0.037	0.045	0.062	0.076	0.057	0.068	0.07	0.065	0.065	0.059	0.049	0.052	0.038	0.034	0.028	0.02	0.018	0.01	0.008	0.006	0.005	0.003	0.001	0.0	0.001	0	0	0.0	0.0	0.0	0
Unknown	0.016	0.008	0.012	0.025	0.009	0.013	0.02	0.022	0.021	0.023	0.028	0.029	0.035	0.04	0.044	0.046	0.049	0.058	0.064	0.065	0.054	0.054	0.045	0.04	0.034	0.035	0.032	0.022	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0
ClassI:LTR	0.005	0.005	0.01	0.011	0.01	0.011	0.015	0.022	0.021	0.018	0.018	0.015	0.014	0.015	0.016	0.015	0.014	0.017	0.017	0.019	0.019	0.02	0.021	0.024	0.067	0.084	0.161	0.168	0.046	0.024	0.021	0.019	0.015	0.01	0.007	0.004	0.002	0.001	0.0	0.0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0	0.058	0	0.014	0.029	0.014	0.036	0.022	0.036	0.058	0.022	0.036	0.087	0.058	0.043	0.08	0.116	0.036	0.014	0.051	0.014	0.051	0.036	0.029	0.022	0.014	0.022	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.236	0.219	0.097	0.056	0.046	0.014	0.012	0.012	0.006	0.008	0.01	0.014	0.01	0.012	0.012	0.006	0.021	0.012	0.012	0.012	0.019	0.01	0.012	0.012	0.021	0.014	0.014	0.023	0.006	0.014	0.008	0.002	0	0.002	0.002	0	0.002	0.004	0	0	0	0	0	0
ClassII:TIR	0.006	0.004	0.008	0.012	0.023	0.025	0.028	0.029	0.037	0.032	0.029	0.03	0.027	0.036	0.034	0.032	0.031	0.028	0.029	0.027	0.037	0.036	0.038	0.041	0.048	0.046	0.046	0.039	0.04	0.034	0.033	0.021	0.014	0.009	0.006	0.003	0.001	0.0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0.022	0.044	0.044	0.044	0.022	0.133	0.089	0.156	0.089	0.089	0.111	0.067	0.022	0	0	0.022	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.007	0.004	0	0	0	0	0.007	0.007	0.004	0.014	0.007	0.014	0	0.021	0.025	0.028	0.046	0.025	0.053	0.039	0.032	0.06	0.028	0.064	0.057	0.039	0.032	0.057	0.043	0.064	0.078	0.021	0.046	0.039	0.018	0.011	0.004	0	0	0	0	0	0
ClassI:PLE	0	0.047	0	0	0	0	0	0.023	0	0	0	0.023	0	0.023	0.023	0	0.07	0.023	0	0.023	0.047	0.047	0.023	0.023	0.047	0.023	0.116	0.14	0.07	0.07	0.023	0.023	0.047	0	0	0.047	0	0	0	0	0	0	0	0
