Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	50-51
Simple_repeat	0.213	0.009	0.026	0.033	0.047	0.038	0.018	0.028	0.035	0.037	0.026	0.028	0.037	0.044	0.032	0.03	0.031	0.029	0.032	0.028	0.029	0.028	0.025	0.022	0.02	0.017	0.013	0.012	0.009	0.007	0.004	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
Unknown	0.003	0.006	0.015	0.019	0.023	0.027	0.032	0.037	0.041	0.042	0.045	0.045	0.046	0.049	0.053	0.053	0.053	0.052	0.051	0.048	0.047	0.042	0.037	0.032	0.026	0.021	0.016	0.012	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LINE	0.013	0.024	0.028	0.031	0.031	0.021	0.015	0.014	0.015	0.012	0.011	0.013	0.013	0.014	0.016	0.017	0.023	0.021	0.023	0.026	0.032	0.036	0.041	0.049	0.053	0.056	0.062	0.063	0.066	0.062	0.046	0.029	0.012	0.007	0.003	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.008	0.013	0.017	0.019	0.022	0.028	0.03	0.031	0.034	0.036	0.039	0.042	0.042	0.043	0.042	0.042	0.042	0.045	0.046	0.043	0.044	0.042	0.038	0.034	0.031	0.028	0.022	0.019	0.017	0.014	0.013	0.01	0.008	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.003	0.006	0.013	0.019	0.029	0.028	0.025	0.028	0.028	0.03	0.031	0.035	0.037	0.041	0.045	0.05	0.052	0.055	0.055	0.056	0.055	0.048	0.047	0.039	0.032	0.028	0.021	0.017	0.013	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.001	0.0	0.001	0.004	0.007	0.009	0.01	0.019	0.025	0.034	0.028	0.04	0.069	0.079	0.069	0.075	0.068	0.07	0.064	0.061	0.052	0.048	0.038	0.028	0.025	0.02	0.015	0.012	0.009	0.006	0.004	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0.0	0
ClassII:Rolling_Circle	0.002	0.001	0.007	0.008	0.011	0.017	0.023	0.039	0.036	0.031	0.03	0.036	0.045	0.052	0.051	0.049	0.051	0.055	0.055	0.052	0.055	0.049	0.057	0.046	0.038	0.027	0.017	0.014	0.011	0.007	0.008	0.009	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.006	0.014	0.05	0.028	0.044	0.063	0.057	0.094	0.057	0.033	0.047	0.041	0.03	0.055	0.05	0.046	0.038	0.03	0.046	0.025	0.035	0.038	0.02	0.028	0.013	0.002	0.006	0.005	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.004	0	0	0	0.004	0.007	0.011	0.007	0.021	0.035	0.053	0.035	0.032	0.025	0.032	0.053	0.046	0.064	0.088	0.042	0.078	0.06	0.064	0.035	0.042	0.032	0.035	0.049	0.018	0.014	0.011	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.392	0.203	0.088	0.027	0.007	0.007	0.014	0.014	0.014	0	0.014	0	0.014	0.007	0.007	0.014	0.014	0	0.027	0.007	0.02	0.014	0.007	0	0.007	0.007	0.027	0.014	0.007	0.007	0.014	0.007	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0.004	0.004	0.009	0.022	0.022	0.026	0.039	0.1	0.091	0.074	0.087	0.082	0.082	0.087	0.078	0.069	0.03	0.039	0.017	0.013	0.009	0.013	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
