Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	49-50	50-51
Simple_repeat	0.197	0.002	0.012	0.03	0.052	0.039	0.017	0.03	0.038	0.039	0.029	0.027	0.036	0.042	0.033	0.032	0.033	0.03	0.033	0.031	0.032	0.031	0.027	0.024	0.023	0.018	0.015	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Low_complexity	0.0	0	0.0	0.002	0.001	0.001	0.004	0.008	0.008	0.014	0.021	0.025	0.038	0.034	0.045	0.065	0.072	0.06	0.073	0.064	0.067	0.071	0.058	0.052	0.047	0.037	0.029	0.028	0.023	0.014	0.011	0.009	0.006	0.004	0.004	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0	0	0	0.0	0
Unknown	0.002	0.003	0.006	0.008	0.011	0.014	0.016	0.018	0.021	0.023	0.027	0.031	0.034	0.04	0.043	0.049	0.055	0.058	0.063	0.064	0.067	0.063	0.058	0.05	0.043	0.037	0.028	0.022	0.016	0.011	0.008	0.006	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0
ClassII:TIR	0.001	0.002	0.005	0.007	0.011	0.013	0.016	0.024	0.032	0.039	0.042	0.045	0.047	0.051	0.055	0.058	0.056	0.06	0.056	0.055	0.054	0.049	0.043	0.037	0.031	0.027	0.023	0.018	0.013	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.012	0.028	0.066	0.038	0.033	0.026	0.021	0.023	0.016	0.023	0.012	0.022	0.025	0.018	0.02	0.032	0.028	0.027	0.038	0.042	0.062	0.076	0.049	0.06	0.037	0.033	0.023	0.026	0.011	0.019	0.02	0.012	0.008	0.002	0.005	0.003	0.001	0.003	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.042	0.024	0.044	0.022	0.042	0.036	0.024	0.026	0.12	0.076	0.04	0.018	0.034	0.036	0.018	0.016	0.012	0.05	0.014	0.1	0.03	0.042	0.026	0.022	0.008	0.02	0.014	0.018	0.018	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.003	0.005	0.007	0.009	0.011	0.019	0.021	0.026	0.029	0.033	0.038	0.041	0.047	0.048	0.047	0.041	0.042	0.044	0.045	0.045	0.045	0.046	0.045	0.047	0.045	0.04	0.033	0.026	0.021	0.017	0.012	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Pseudogene:RNA	0.057	0.07	0.079	0.083	0.084	0.056	0.055	0.052	0.047	0.045	0.02	0.032	0.031	0.031	0.021	0.017	0.017	0.019	0.015	0.013	0.016	0.016	0.015	0.014	0.015	0.009	0.015	0.015	0.012	0.006	0.007	0.004	0.003	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.002	0.003	0.005	0.01	0.015	0.029	0.048	0.063	0.079	0.076	0.068	0.048	0.042	0.04	0.044	0.038	0.038	0.036	0.029	0.028	0.029	0.029	0.026	0.023	0.019	0.019	0.017	0.019	0.019	0.017	0.017	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:PLE	0.006	0	0.026	0.002	0.021	0.016	0.015	0.027	0.03	0.051	0.047	0.034	0.032	0.035	0.034	0.034	0.045	0.044	0.039	0.052	0.086	0.094	0.086	0.061	0.025	0.019	0.02	0.01	0.002	0.001	0.004	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.011	0.011	0.014	0.019	0.008	0.01	0.013	0.014	0.016	0.014	0.021	0.032	0.038	0.029	0.035	0.053	0.061	0.077	0.087	0.05	0.067	0.059	0.04	0.046	0.034	0.037	0.026	0.026	0.018	0.003	0.01	0.013	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
