Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45
Simple_repeat	0.287	0.009	0.016	0.027	0.046	0.035	0.015	0.025	0.033	0.034	0.025	0.025	0.032	0.039	0.029	0.027	0.03	0.027	0.028	0.027	0.026	0.026	0.023	0.021	0.02	0.016	0.012	0.011	0.009	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.006	0.009	0.017	0.025	0.028	0.036	0.038	0.041	0.044	0.044	0.047	0.046	0.047	0.048	0.048	0.049	0.049	0.048	0.047	0.043	0.042	0.038	0.035	0.029	0.025	0.021	0.016	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.005	0.008	0.017	0.023	0.023	0.028	0.029	0.03	0.034	0.034	0.035	0.037	0.039	0.043	0.047	0.051	0.053	0.055	0.055	0.053	0.052	0.045	0.04	0.035	0.03	0.025	0.02	0.016	0.012	0.009	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.004	0.0	0.002	0.005	0.009	0.009	0.011	0.02	0.024	0.033	0.031	0.041	0.06	0.073	0.064	0.07	0.065	0.068	0.066	0.062	0.053	0.05	0.039	0.029	0.03	0.024	0.016	0.015	0.009	0.006	0.005	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0
ClassI:LTR	0.004	0.01	0.02	0.029	0.041	0.051	0.052	0.05	0.048	0.045	0.045	0.042	0.041	0.039	0.037	0.037	0.034	0.035	0.033	0.034	0.036	0.037	0.036	0.032	0.028	0.024	0.019	0.015	0.013	0.01	0.008	0.006	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.022	0.011	0.014	0.024	0.025	0.027	0.027	0.02	0.02	0.024	0.023	0.022	0.03	0.031	0.029	0.031	0.033	0.037	0.032	0.036	0.052	0.052	0.035	0.043	0.041	0.04	0.043	0.043	0.042	0.034	0.025	0.015	0.008	0.005	0.001	0.001	0	0	0.0	0	0	0	0	0	0
Satellite	0.009	0.004	0.014	0.02	0.025	0.038	0.048	0.074	0.086	0.1	0.094	0.059	0.049	0.046	0.038	0.027	0.035	0.02	0.017	0.014	0.022	0.017	0.019	0.012	0.019	0.015	0.013	0.009	0.016	0.025	0.012	0.005	0	0	0	0	0.001	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.001	0.003	0.013	0.028	0.035	0.033	0.034	0.033	0.031	0.029	0.034	0.029	0.029	0.028	0.03	0.034	0.039	0.037	0.038	0.038	0.041	0.043	0.041	0.045	0.046	0.049	0.043	0.034	0.026	0.021	0.012	0.008	0.005	0.003	0.002	0.002	0.0	0.0	0	0.0	0	0	0	0
ClassI:PLE	0	0.0	0.001	0.002	0.001	0.006	0.008	0.019	0.018	0.013	0.018	0.017	0.019	0.034	0.056	0.075	0.09	0.092	0.091	0.078	0.063	0.062	0.056	0.054	0.048	0.042	0.021	0.011	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.002	0.01	0.022	0.022	0.024	0.028	0.035	0.038	0.028	0.028	0.03	0.032	0.039	0.036	0.05	0.051	0.056	0.052	0.05	0.053	0.051	0.053	0.045	0.038	0.044	0.026	0.018	0.013	0.008	0.006	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.152	0.039	0.05	0.05	0.034	0.045	0.035	0.036	0.029	0.02	0.026	0.029	0.037	0.023	0.034	0.021	0.028	0.048	0.05	0.041	0.035	0.025	0.018	0.009	0.015	0.015	0.008	0.013	0.011	0.016	0.005	0.001	0.001	0.0	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.007	0.029	0.043	0.072	0.116	0.145	0.123	0.094	0.101	0.058	0.058	0.036	0.029	0	0.029	0	0	0.007	0	0.007	0	0	0	0.022	0.007	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
