Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44
ClassI:LTR	0.152	0.132	0.111	0.081	0.059	0.061	0.051	0.04	0.038	0.029	0.041	0.026	0.023	0.019	0.016	0.012	0.017	0.013	0.01	0.009	0.01	0.007	0.007	0.005	0.006	0.004	0.004	0.004	0.003	0.002	0.002	0.002	0.001	0.002	0.001	0.001	0.001	0.0	0	0	0	0	0	0
Unknown	0.037	0.033	0.043	0.039	0.042	0.048	0.048	0.043	0.041	0.043	0.044	0.044	0.041	0.04	0.039	0.04	0.038	0.038	0.035	0.031	0.031	0.03	0.024	0.023	0.018	0.015	0.013	0.011	0.007	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0
ClassI:LINE	0.076	0.112	0.111	0.087	0.082	0.063	0.056	0.046	0.031	0.033	0.027	0.02	0.02	0.019	0.015	0.016	0.016	0.015	0.015	0.013	0.014	0.014	0.013	0.016	0.013	0.013	0.01	0.009	0.008	0.006	0.003	0.003	0.002	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
Simple_repeat	0.134	0.009	0.014	0.029	0.036	0.027	0.027	0.031	0.039	0.035	0.032	0.032	0.036	0.04	0.037	0.04	0.037	0.035	0.038	0.036	0.034	0.031	0.029	0.025	0.027	0.023	0.019	0.015	0.014	0.012	0.008	0.006	0.004	0.003	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:PLE	0.06	0.065	0.196	0.173	0.131	0.095	0.05	0.048	0.038	0.018	0.025	0.008	0.008	0.015	0.008	0.005	0.008	0.003	0	0.003	0.005	0.01	0.015	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0	0	0	0.003	0.001	0.003	0.008	0.01	0.007	0.014	0.025	0.031	0.031	0.033	0.058	0.063	0.054	0.05	0.071	0.055	0.062	0.054	0.047	0.047	0.049	0.045	0.024	0.03	0.024	0.018	0.028	0.018	0.016	0.004	0.007	0.004	0.005	0	0.001	0	0	0	0	0.001
ClassII:TIR	0.045	0.032	0.023	0.023	0.019	0.015	0.022	0.024	0.027	0.034	0.029	0.023	0.025	0.042	0.029	0.034	0.032	0.033	0.042	0.039	0.066	0.046	0.076	0.056	0.045	0.034	0.031	0.015	0.006	0.014	0.008	0.005	0	0	0	0.004	0	0	0	0	0.001	0	0	0
ClassII:Rolling_Circle	0.06	0.033	0.14	0.173	0.08	0.06	0.047	0.02	0.02	0.007	0.013	0.007	0	0.007	0.027	0.007	0.007	0.027	0.033	0.02	0.02	0.04	0.04	0	0.013	0.027	0.013	0.013	0	0.013	0.02	0	0.007	0.007	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.026	0.132	0.158	0.132	0	0.053	0.053	0.079	0.079	0.079	0.026	0.053	0.026	0	0	0.026	0.026	0	0	0	0	0.026	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.074	0.16	0.074	0.106	0.106	0.117	0.074	0.032	0.011	0.021	0.011	0.043	0	0.011	0	0	0.011	0	0	0.011	0	0.021	0.043	0.011	0	0.011	0	0.011	0	0.032	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0
