Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	47-48
ClassI:LTR	0.005	0.011	0.017	0.025	0.037	0.044	0.046	0.048	0.048	0.044	0.041	0.041	0.038	0.041	0.038	0.038	0.038	0.04	0.039	0.038	0.038	0.035	0.034	0.029	0.026	0.025	0.021	0.017	0.015	0.012	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0
Unknown	0.004	0.006	0.011	0.017	0.021	0.027	0.029	0.031	0.032	0.034	0.038	0.041	0.044	0.048	0.051	0.054	0.056	0.058	0.058	0.055	0.055	0.049	0.043	0.035	0.028	0.023	0.017	0.011	0.008	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0	0	0.0	0.002	0.0	0.002	0.005	0.008	0.009	0.01	0.023	0.028	0.036	0.034	0.044	0.062	0.067	0.061	0.069	0.061	0.064	0.063	0.059	0.058	0.051	0.039	0.032	0.031	0.02	0.018	0.013	0.01	0.006	0.006	0.004	0.004	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0
ClassII:TIR	0.002	0.004	0.01	0.017	0.025	0.029	0.029	0.031	0.03	0.031	0.035	0.039	0.042	0.045	0.048	0.049	0.053	0.054	0.056	0.056	0.054	0.05	0.046	0.041	0.032	0.028	0.02	0.014	0.01	0.007	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.315	0.017	0.028	0.032	0.051	0.039	0.023	0.029	0.034	0.032	0.023	0.021	0.026	0.031	0.024	0.022	0.023	0.022	0.024	0.021	0.023	0.022	0.018	0.018	0.016	0.014	0.011	0.009	0.008	0.006	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ClassII:Rolling_Circle	0.002	0.001	0.003	0.007	0.006	0.012	0.014	0.016	0.024	0.031	0.038	0.033	0.044	0.059	0.06	0.055	0.059	0.052	0.054	0.054	0.046	0.047	0.051	0.047	0.037	0.032	0.026	0.021	0.016	0.015	0.012	0.008	0.006	0.004	0.004	0.003	0.001	0.0	0	0	0	0	0	0	0	0
ClassI:LINE	0.005	0.011	0.012	0.01	0.01	0.013	0.016	0.021	0.025	0.026	0.032	0.034	0.036	0.04	0.044	0.049	0.051	0.053	0.053	0.054	0.053	0.048	0.045	0.043	0.039	0.038	0.034	0.029	0.024	0.019	0.013	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.007	0.009	0.007	0.015	0.004	0.006	0.016	0.013	0.018	0.007	0.03	0.036	0.03	0.046	0.054	0.086	0.058	0.085	0.073	0.077	0.083	0.042	0.064	0.049	0.04	0.015	0.016	0.004	0.003	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.174	0.041	0.069	0.027	0.027	0.04	0.024	0.027	0.026	0.021	0.034	0.041	0.029	0.035	0.027	0.043	0.031	0.044	0.041	0.031	0.034	0.035	0.024	0.02	0.017	0.018	0.008	0.002	0.002	0	0.003	0.003	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.002	0.001	0.006	0.003	0.006	0.019	0.031	0.056	0.081	0.067	0.068	0.053	0.075	0.067	0.08	0.07	0.043	0.042	0.035	0.047	0.034	0.032	0.024	0.018	0.007	0.018	0.006	0.003	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.011	0.003	0.003	0.006	0.006	0.023	0.02	0.023	0.075	0.098	0.052	0.037	0.037	0.046	0.017	0.023	0.037	0.026	0.052	0.055	0.052	0.063	0.089	0.055	0.04	0.02	0.009	0.017	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.002	0.002	0.002	0.051	0.096	0.124	0.094	0.053	0.045	0.029	0.033	0.067	0.059	0.045	0.014	0.029	0.02	0.039	0.043	0.033	0.02	0.012	0.029	0.018	0.01	0.008	0.008	0.002	0.004	0.002	0	0.002	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
