Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	48-49	51-52
Unknown	0.006	0.009	0.017	0.023	0.028	0.033	0.036	0.038	0.042	0.043	0.045	0.045	0.046	0.048	0.049	0.049	0.05	0.049	0.047	0.045	0.044	0.04	0.035	0.031	0.025	0.022	0.016	0.013	0.009	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:SINE	0.002	0.004	0.005	0.007	0.009	0.01	0.013	0.013	0.014	0.014	0.016	0.02	0.019	0.022	0.025	0.028	0.032	0.038	0.041	0.045	0.055	0.056	0.06	0.066	0.066	0.07	0.059	0.051	0.042	0.032	0.024	0.017	0.012	0.007	0.004	0.003	0.001	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.364	0.015	0.021	0.027	0.045	0.032	0.015	0.024	0.029	0.03	0.022	0.022	0.029	0.034	0.026	0.023	0.024	0.022	0.023	0.021	0.022	0.021	0.019	0.017	0.016	0.013	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0
ClassII:TIR	0.003	0.008	0.012	0.016	0.024	0.027	0.031	0.033	0.036	0.038	0.04	0.044	0.046	0.047	0.049	0.051	0.052	0.052	0.049	0.046	0.048	0.043	0.038	0.035	0.029	0.027	0.021	0.017	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.004	0.007	0.014	0.024	0.027	0.029	0.035	0.037	0.042	0.042	0.04	0.037	0.037	0.038	0.04	0.04	0.042	0.045	0.046	0.044	0.044	0.041	0.038	0.035	0.031	0.029	0.025	0.022	0.018	0.014	0.011	0.007	0.005	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.002	0.0	0.001	0.004	0.008	0.008	0.012	0.017	0.023	0.032	0.03	0.041	0.07	0.08	0.064	0.072	0.069	0.07	0.067	0.059	0.049	0.048	0.039	0.03	0.027	0.021	0.016	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0
ClassI:LINE	0.005	0.007	0.015	0.022	0.02	0.024	0.021	0.016	0.019	0.02	0.021	0.02	0.022	0.02	0.02	0.02	0.027	0.031	0.036	0.036	0.038	0.041	0.041	0.045	0.048	0.054	0.06	0.064	0.06	0.049	0.034	0.023	0.013	0.007	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.003	0.005	0.008	0.013	0.02	0.02	0.026	0.026	0.024	0.031	0.033	0.032	0.033	0.042	0.047	0.052	0.053	0.053	0.056	0.049	0.05	0.05	0.05	0.042	0.034	0.036	0.03	0.025	0.019	0.013	0.01	0.007	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.143	0.097	0.059	0.068	0.064	0.043	0.026	0.025	0.031	0.017	0.025	0.034	0.068	0.023	0.04	0.029	0.026	0.014	0.024	0.026	0.035	0.016	0.013	0.012	0.016	0.006	0.006	0.008	0	0.003	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.003	0	0.006	0.016	0.003	0.01	0.019	0.035	0.032	0.045	0.038	0.032	0.019	0.01	0.026	0.026	0.048	0.035	0.042	0.07	0.086	0.096	0.086	0.061	0.054	0.061	0.019	0.01	0.006	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0.003	0.022	0.008	0.008	0.031	0.017	0.042	0.044	0.075	0.042	0.089	0.053	0.053	0.075	0.031	0.058	0.036	0.039	0.061	0.061	0.05	0.028	0.028	0.025	0.008	0.003	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.178	0.118	0.063	0.048	0.026	0.021	0.021	0.025	0.025	0.028	0.022	0.038	0.035	0.03	0.039	0.039	0.032	0.029	0.024	0.025	0.032	0.018	0.013	0.013	0.011	0.008	0.007	0.012	0.007	0.003	0.007	0.002	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
