Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45	45-46	46-47	49-50
Simple_repeat	0.36	0.01	0.022	0.027	0.045	0.032	0.017	0.024	0.03	0.032	0.023	0.023	0.029	0.034	0.026	0.023	0.024	0.022	0.024	0.021	0.021	0.022	0.019	0.017	0.016	0.012	0.01	0.009	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
Unknown	0.006	0.008	0.015	0.02	0.025	0.031	0.035	0.037	0.038	0.041	0.044	0.046	0.048	0.051	0.05	0.051	0.05	0.051	0.049	0.046	0.045	0.041	0.036	0.031	0.026	0.022	0.017	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.003	0.004	0.01	0.015	0.023	0.029	0.033	0.037	0.041	0.039	0.043	0.043	0.045	0.048	0.05	0.052	0.053	0.053	0.052	0.049	0.047	0.043	0.038	0.034	0.028	0.024	0.019	0.014	0.01	0.007	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.006	0.007	0.012	0.021	0.019	0.018	0.016	0.016	0.014	0.016	0.015	0.014	0.014	0.017	0.018	0.021	0.024	0.026	0.028	0.035	0.04	0.044	0.048	0.053	0.057	0.058	0.06	0.061	0.057	0.051	0.043	0.033	0.018	0.012	0.005	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.005	0.009	0.008	0.013	0.019	0.023	0.032	0.03	0.04	0.072	0.082	0.064	0.071	0.069	0.068	0.062	0.056	0.051	0.047	0.036	0.032	0.026	0.022	0.015	0.013	0.011	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0.0	0
ClassI:LTR	0.016	0.018	0.026	0.03	0.03	0.031	0.035	0.038	0.042	0.041	0.039	0.037	0.036	0.037	0.037	0.038	0.037	0.038	0.039	0.038	0.038	0.036	0.034	0.031	0.03	0.028	0.023	0.021	0.019	0.017	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.002	0.004	0.006	0.008	0.008	0.009	0.009	0.009	0.014	0.013	0.015	0.016	0.018	0.023	0.024	0.029	0.033	0.036	0.04	0.044	0.05	0.053	0.059	0.064	0.066	0.069	0.062	0.057	0.049	0.037	0.027	0.019	0.012	0.007	0.004	0.002	0.001	0.001	0.0	0.0	0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.008	0.007	0.01	0.013	0.02	0.027	0.028	0.039	0.034	0.028	0.032	0.035	0.033	0.028	0.025	0.023	0.029	0.028	0.029	0.032	0.035	0.047	0.047	0.05	0.046	0.047	0.039	0.032	0.03	0.032	0.02	0.017	0.016	0.014	0.009	0.005	0.002	0.001	0.0	0.001	0.0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0	0	0	0.002	0.002	0.028	0.034	0.039	0.045	0.054	0.067	0.047	0.046	0.045	0.082	0.064	0.071	0.068	0.058	0.068	0.045	0.041	0.035	0.032	0.012	0.006	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.011	0.027	0.086	0.088	0.11	0.071	0.058	0.035	0.033	0.029	0.036	0.06	0.042	0.038	0.056	0.04	0.017	0.021	0.022	0.015	0.006	0.019	0.009	0.01	0.016	0.01	0.011	0.007	0.004	0.004	0.005	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.002	0.001	0.004	0.003	0.003	0.005	0.007	0.011	0.02	0.028	0.03	0.037	0.029	0.04	0.045	0.06	0.064	0.076	0.071	0.067	0.076	0.057	0.06	0.048	0.029	0.029	0.022	0.025	0.011	0.011	0.008	0.01	0.006	0.003	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.013	0.038	0.064	0.064	0.026	0.013	0.013	0.077	0.038	0	0.09	0.077	0.103	0.077	0.038	0.051	0.026	0.013	0.09	0.026	0.026	0.013	0.013	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.322	0.039	0.025	0.034	0.021	0.021	0.031	0.012	0.017	0.019	0.026	0.019	0.022	0.028	0.038	0.034	0.025	0.018	0.026	0.025	0.035	0.015	0.014	0.014	0.02	0.013	0.006	0.022	0.018	0.012	0.008	0.006	0.007	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.006	0	0	0	0.025	0.056	0.081	0.075	0.056	0.019	0.025	0.05	0.019	0.043	0.056	0.05	0.019	0.043	0.087	0.05	0.118	0.025	0.043	0.019	0.006	0.012	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
