Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	44-45
Simple_repeat	0.178	0.007	0.019	0.03	0.038	0.024	0.015	0.025	0.028	0.027	0.026	0.026	0.033	0.036	0.032	0.034	0.034	0.034	0.038	0.035	0.037	0.033	0.028	0.03	0.03	0.024	0.021	0.019	0.016	0.012	0.008	0.006	0.005	0.004	0.002	0.002	0.001	0.0	0.0	0.0	0.0	0.0
Unknown	0.021	0.026	0.032	0.032	0.035	0.037	0.037	0.038	0.041	0.038	0.042	0.041	0.04	0.039	0.036	0.035	0.034	0.034	0.033	0.035	0.036	0.033	0.033	0.03	0.028	0.028	0.023	0.023	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0
ClassI:LINE	0.047	0.073	0.076	0.053	0.044	0.05	0.038	0.026	0.03	0.033	0.035	0.032	0.044	0.035	0.047	0.043	0.032	0.023	0.024	0.036	0.027	0.025	0.025	0.016	0.014	0.019	0.013	0.007	0.006	0.005	0.009	0.003	0.003	0.003	0.001	0.001	0.001	0	0	0	0	0
ClassI:LTR	0.039	0.056	0.036	0.059	0.079	0.057	0.051	0.051	0.051	0.047	0.036	0.033	0.03	0.025	0.03	0.031	0.019	0.021	0.023	0.016	0.018	0.02	0.02	0.021	0.015	0.019	0.011	0.013	0.011	0.012	0.009	0.009	0.008	0.007	0.007	0.005	0.003	0.001	0	0	0	0
ClassII:TIR	0.012	0.007	0.01	0.011	0.017	0.011	0.012	0.016	0.023	0.02	0.029	0.029	0.033	0.04	0.048	0.062	0.053	0.061	0.062	0.057	0.059	0.053	0.056	0.047	0.041	0.038	0.026	0.02	0.014	0.012	0.01	0.003	0.003	0.003	0.001	0.001	0	0.001	0	0	0	0
Low_complexity	0	0	0.002	0.001	0.001	0	0.006	0.006	0.005	0.01	0.021	0.023	0.026	0.02	0.048	0.074	0.059	0.052	0.068	0.066	0.074	0.089	0.037	0.04	0.051	0.028	0.024	0.032	0.039	0.018	0.016	0.017	0.018	0.009	0.003	0.005	0.007	0.002	0.002	0	0	0
ClassII:Rolling_Circle	0	0	0	0.062	0	0.021	0.113	0.072	0.01	0	0	0	0	0.021	0.021	0.01	0.062	0.021	0.062	0.031	0.01	0.01	0.021	0	0.021	0	0.031	0.082	0.021	0.031	0.072	0.031	0.041	0.052	0.052	0.021	0	0	0	0	0	0
ClassI:SINE	0.222	0.103	0.094	0.034	0.043	0.009	0.009	0.06	0	0.009	0.009	0	0	0.034	0	0	0.034	0	0.009	0.06	0.034	0.026	0.026	0.017	0	0.009	0.017	0.009	0.043	0.017	0.026	0.034	0	0.009	0	0.009	0	0	0	0	0	0
ClassI:DIRS	0.105	0.035	0.088	0.175	0.07	0.088	0.018	0.053	0.018	0.035	0.018	0.035	0	0.035	0.018	0.053	0	0	0	0	0.018	0.018	0.035	0.035	0	0	0	0	0	0.018	0	0.018	0	0.018	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.389	0.06	0.024	0.052	0.004	0.008	0.004	0	0.032	0.04	0	0.004	0.004	0.004	0.004	0.02	0.02	0.028	0.024	0.012	0.048	0.016	0.052	0.028	0.028	0.024	0.008	0	0.016	0	0.028	0.004	0	0.004	0.016	0	0	0	0	0	0	0
ClassI:PLE	0.026	0	0	0.026	0.128	0.128	0.077	0.077	0.128	0.077	0.026	0.051	0	0	0	0	0	0.026	0	0	0.103	0	0	0	0	0	0.026	0.026	0.026	0.026	0	0	0.026	0	0	0	0	0	0	0	0	0
Satellite	0.711	0.132	0	0	0.053	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0.026	0.026	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0
