Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	51-52
Low_complexity	0.0	0.0	0.0	0.002	0.001	0.002	0.004	0.007	0.008	0.013	0.018	0.024	0.032	0.031	0.043	0.052	0.061	0.055	0.067	0.065	0.068	0.067	0.059	0.055	0.053	0.044	0.035	0.033	0.025	0.021	0.015	0.012	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
Simple_repeat	0.197	0.007	0.026	0.031	0.038	0.033	0.019	0.026	0.03	0.031	0.024	0.024	0.03	0.035	0.031	0.031	0.033	0.031	0.034	0.033	0.033	0.033	0.031	0.027	0.028	0.022	0.018	0.016	0.012	0.01	0.007	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.004	0.001	0.001	0.002	0.005	0.008	0.008	0.009	0.012	0.015	0.017	0.02	0.023	0.027	0.033	0.037	0.044	0.053	0.06	0.067	0.075	0.077	0.074	0.067	0.056	0.047	0.037	0.03	0.023	0.018	0.015	0.012	0.009	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Pseudogene:RNA	0.025	0.035	0.036	0.038	0.03	0.02	0.017	0.02	0.025	0.035	0.039	0.035	0.031	0.035	0.04	0.046	0.049	0.043	0.041	0.046	0.039	0.042	0.031	0.026	0.023	0.022	0.019	0.02	0.025	0.022	0.016	0.011	0.006	0.006	0.003	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.001	0.0	0.002	0.003	0.006	0.012	0.017	0.024	0.03	0.033	0.039	0.044	0.05	0.055	0.056	0.059	0.059	0.059	0.059	0.055	0.055	0.05	0.045	0.039	0.033	0.029	0.022	0.017	0.013	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.003	0.004	0.007	0.009	0.011	0.012	0.015	0.018	0.023	0.027	0.03	0.033	0.036	0.037	0.039	0.04	0.041	0.045	0.045	0.044	0.046	0.043	0.041	0.039	0.037	0.039	0.037	0.04	0.04	0.037	0.03	0.021	0.013	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.002	0.001	0.003	0.005	0.008	0.012	0.016	0.02	0.023	0.027	0.031	0.037	0.041	0.047	0.05	0.051	0.052	0.053	0.053	0.052	0.054	0.05	0.048	0.045	0.041	0.036	0.031	0.027	0.022	0.019	0.015	0.01	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.0	0.002	0.004	0.007	0.012	0.015	0.019	0.026	0.031	0.038	0.045	0.046	0.053	0.053	0.056	0.057	0.057	0.055	0.052	0.054	0.049	0.044	0.043	0.035	0.032	0.025	0.022	0.018	0.014	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.0	0	0.0	0.001	0.001	0.002	0.002	0.004	0.009	0.015	0.019	0.026	0.036	0.05	0.069	0.088	0.093	0.087	0.084	0.065	0.061	0.043	0.039	0.036	0.025	0.023	0.016	0.017	0.015	0.017	0.018	0.012	0.012	0.008	0.005	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.002	0.002	0.005	0.008	0.024	0.05	0.076	0.101	0.105	0.105	0.086	0.069	0.061	0.056	0.046	0.035	0.033	0.026	0.028	0.024	0.02	0.013	0.011	0.008	0.004	0.002	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0.002	0.005	0.013	0.013	0.028	0.023	0.035	0.058	0.08	0.083	0.1	0.088	0.077	0.07	0.062	0.082	0.048	0.033	0.027	0.033	0.017	0.015	0.003	0.002	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
