Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	51-52
Simple_repeat	0.218	0.007	0.019	0.024	0.035	0.025	0.016	0.024	0.028	0.028	0.023	0.025	0.031	0.036	0.032	0.031	0.035	0.035	0.036	0.033	0.036	0.036	0.032	0.029	0.028	0.022	0.018	0.016	0.012	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.002	0.005	0.008	0.009	0.012	0.018	0.024	0.034	0.03	0.042	0.054	0.064	0.056	0.066	0.065	0.064	0.066	0.059	0.053	0.056	0.046	0.038	0.034	0.026	0.018	0.014	0.01	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.001	0.005	0.01	0.011	0.015	0.018	0.021	0.029	0.033	0.039	0.042	0.045	0.048	0.05	0.053	0.055	0.056	0.056	0.053	0.056	0.05	0.045	0.038	0.033	0.032	0.027	0.022	0.018	0.014	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.002	0.002	0.006	0.01	0.012	0.016	0.021	0.023	0.025	0.028	0.03	0.034	0.036	0.039	0.044	0.048	0.051	0.055	0.057	0.057	0.057	0.054	0.051	0.046	0.039	0.034	0.027	0.022	0.018	0.014	0.012	0.009	0.006	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Unknown	0.002	0.002	0.007	0.012	0.019	0.025	0.029	0.034	0.036	0.041	0.043	0.045	0.05	0.053	0.054	0.055	0.056	0.053	0.052	0.048	0.047	0.043	0.039	0.034	0.027	0.024	0.017	0.014	0.011	0.008	0.006	0.004	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.001	0.001	0.002	0.003	0.007	0.011	0.012	0.013	0.017	0.021	0.024	0.026	0.031	0.038	0.043	0.053	0.053	0.055	0.057	0.056	0.065	0.059	0.062	0.057	0.043	0.043	0.037	0.03	0.022	0.018	0.014	0.011	0.007	0.003	0.004	0.002	0.002	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.012	0.008	0.019	0.033	0.039	0.048	0.041	0.041	0.038	0.038	0.039	0.051	0.044	0.027	0.027	0.04	0.054	0.041	0.039	0.028	0.04	0.029	0.04	0.03	0.03	0.027	0.022	0.024	0.02	0.007	0.013	0.007	0.002	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.0	0.0	0.001	0.001	0.001	0.003	0.005	0.006	0.008	0.012	0.015	0.018	0.021	0.028	0.033	0.038	0.047	0.056	0.056	0.055	0.064	0.063	0.061	0.063	0.058	0.057	0.052	0.047	0.039	0.032	0.025	0.016	0.01	0.005	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:Retroposon_nonLTR	0.0	0.0	0.002	0.006	0.012	0.017	0.022	0.023	0.029	0.039	0.047	0.055	0.061	0.068	0.06	0.055	0.05	0.045	0.041	0.043	0.048	0.045	0.044	0.037	0.028	0.026	0.021	0.021	0.02	0.013	0.01	0.007	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.003	0.011	0.008	0.004	0.007	0.008	0.007	0.004	0.01	0.013	0.013	0.02	0.031	0.029	0.041	0.032	0.035	0.028	0.025	0.042	0.025	0.029	0.032	0.024	0.041	0.04	0.051	0.047	0.052	0.066	0.068	0.064	0.041	0.029	0.012	0.004	0.003	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.019	0.037	0.056	0.074	0.037	0.093	0.093	0	0.13	0.074	0.111	0.019	0.093	0.056	0.019	0.037	0	0	0.019	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
