Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	47-48	51-52
Simple_repeat	0.22	0.002	0.015	0.027	0.055	0.044	0.015	0.028	0.037	0.04	0.028	0.027	0.037	0.046	0.034	0.03	0.034	0.028	0.031	0.029	0.028	0.028	0.025	0.021	0.021	0.016	0.013	0.011	0.009	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Unknown	0.001	0.001	0.003	0.005	0.008	0.01	0.014	0.017	0.022	0.029	0.036	0.043	0.049	0.055	0.059	0.062	0.063	0.063	0.061	0.058	0.057	0.053	0.046	0.041	0.033	0.029	0.022	0.018	0.013	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.001	0.003	0.003	0.004	0.007	0.009	0.014	0.02	0.032	0.041	0.044	0.046	0.047	0.05	0.051	0.058	0.064	0.061	0.055	0.051	0.048	0.048	0.042	0.038	0.035	0.027	0.021	0.017	0.015	0.014	0.011	0.008	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
ClassI:LTR	0.001	0.001	0.002	0.004	0.006	0.009	0.013	0.02	0.032	0.045	0.054	0.057	0.055	0.053	0.054	0.051	0.047	0.045	0.045	0.043	0.046	0.045	0.043	0.041	0.036	0.033	0.028	0.023	0.018	0.014	0.011	0.009	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Low_complexity	0	0	0.0	0.002	0.0	0.002	0.005	0.011	0.01	0.012	0.021	0.025	0.035	0.033	0.045	0.069	0.075	0.062	0.071	0.066	0.07	0.068	0.053	0.044	0.046	0.037	0.028	0.028	0.022	0.016	0.013	0.01	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0
Pseudogene:RNA	0.019	0.013	0.037	0.026	0.032	0.047	0.047	0.06	0.053	0.042	0.042	0.032	0.044	0.04	0.045	0.028	0.026	0.036	0.026	0.029	0.04	0.026	0.024	0.023	0.032	0.024	0.01	0.026	0.021	0.011	0.01	0.006	0.006	0.008	0	0.002	0	0	0.002	0.002	0	0.002	0	0	0	0	0	0
ClassI:SINE	0.006	0.021	0.029	0.05	0.012	0.021	0.019	0.025	0.027	0.019	0.019	0.01	0.027	0.023	0.023	0.027	0.025	0.035	0.023	0.064	0.043	0.058	0.039	0.048	0.05	0.052	0.045	0.056	0.031	0.029	0.019	0.008	0.002	0.006	0.006	0.004	0	0.002	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.001	0.001	0.004	0.004	0.004	0.005	0.007	0.007	0.014	0.019	0.03	0.028	0.031	0.036	0.035	0.043	0.039	0.036	0.04	0.038	0.04	0.034	0.038	0.035	0.034	0.043	0.041	0.052	0.061	0.053	0.046	0.038	0.028	0.018	0.011	0.003	0.002	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.001	0.008	0.015	0.014	0.014	0.019	0.012	0.018	0.018	0.033	0.044	0.075	0.064	0.039	0.036	0.028	0.031	0.027	0.024	0.022	0.028	0.024	0.028	0.041	0.038	0.041	0.032	0.034	0.027	0.032	0.028	0.02	0.032	0.023	0.017	0.013	0.003	0.002	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0.004	0.004	0.006	0.026	0.042	0.118	0.184	0.204	0.108	0.098	0.056	0.04	0.032	0.016	0.008	0.004	0.004	0.008	0.002	0.004	0.006	0.008	0.008	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0	0.018	0	0.071	0.089	0.089	0.214	0.161	0.089	0.054	0	0.018	0.071	0.018	0.036	0.018	0.036	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
