Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46	46-47	51-52
Unknown	0.003	0.003	0.006	0.009	0.012	0.018	0.022	0.026	0.032	0.038	0.044	0.048	0.053	0.057	0.059	0.06	0.061	0.06	0.057	0.054	0.052	0.046	0.041	0.035	0.028	0.023	0.017	0.013	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.244	0.01	0.028	0.031	0.04	0.029	0.023	0.027	0.03	0.031	0.024	0.024	0.03	0.035	0.029	0.028	0.03	0.029	0.032	0.03	0.03	0.029	0.026	0.023	0.023	0.019	0.015	0.013	0.011	0.008	0.006	0.005	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.002	0.005	0.01	0.014	0.019	0.024	0.029	0.033	0.036	0.042	0.047	0.051	0.053	0.054	0.055	0.054	0.053	0.051	0.049	0.051	0.047	0.042	0.038	0.031	0.027	0.021	0.017	0.013	0.01	0.008	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.001	0.002	0.005	0.008	0.01	0.012	0.017	0.022	0.034	0.031	0.04	0.057	0.07	0.059	0.071	0.07	0.069	0.067	0.059	0.054	0.052	0.044	0.032	0.029	0.025	0.017	0.013	0.011	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0
ClassI:LINE	0.001	0.001	0.004	0.009	0.013	0.023	0.029	0.032	0.037	0.039	0.04	0.042	0.044	0.047	0.051	0.057	0.06	0.055	0.054	0.051	0.051	0.044	0.04	0.035	0.03	0.026	0.022	0.017	0.014	0.012	0.009	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0
ClassI:LTR	0.001	0.001	0.003	0.004	0.007	0.012	0.017	0.025	0.034	0.041	0.049	0.053	0.055	0.055	0.056	0.057	0.057	0.057	0.053	0.048	0.045	0.041	0.038	0.035	0.029	0.026	0.022	0.018	0.015	0.013	0.012	0.009	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:SINE	0.002	0.001	0.005	0.006	0.011	0.016	0.018	0.028	0.029	0.032	0.034	0.038	0.043	0.041	0.04	0.039	0.04	0.038	0.04	0.044	0.048	0.058	0.061	0.065	0.051	0.055	0.037	0.023	0.019	0.014	0.011	0.007	0.004	0.002	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0.0	0.001	0.002	0.006	0.007	0.007	0.011	0.015	0.018	0.022	0.026	0.03	0.04	0.054	0.053	0.071	0.079	0.084	0.08	0.076	0.066	0.053	0.041	0.032	0.027	0.021	0.021	0.019	0.014	0.01	0.006	0.005	0.003	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.001	0.002	0.003	0.006	0.027	0.044	0.026	0.024	0.034	0.037	0.043	0.048	0.053	0.057	0.065	0.053	0.052	0.047	0.046	0.047	0.048	0.042	0.041	0.039	0.032	0.03	0.017	0.013	0.01	0.006	0.004	0.001	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0.001	0.0	0.0	0.001	0.001	0.001	0.006	0.01	0.022	0.041	0.063	0.08	0.104	0.117	0.106	0.092	0.07	0.063	0.043	0.035	0.032	0.03	0.027	0.014	0.014	0.01	0.007	0.002	0.005	0.001	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.0	0.0	0.002	0.003	0.01	0.017	0.016	0.018	0.021	0.036	0.037	0.051	0.045	0.058	0.06	0.067	0.073	0.069	0.057	0.059	0.068	0.046	0.048	0.029	0.029	0.021	0.023	0.016	0.008	0.007	0.003	0.002	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.146	0.058	0.074	0.076	0.062	0.056	0.067	0.044	0.037	0.039	0.035	0.023	0.023	0.03	0.025	0.016	0.014	0.023	0.035	0.014	0.012	0.002	0.009	0.009	0.005	0.007	0.002	0.012	0.028	0.007	0	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0.005	0.141	0.086	0.042	0.015	0.023	0.039	0.034	0.03	0.051	0.029	0.026	0.043	0.048	0.041	0.044	0.042	0.023	0.02	0.028	0.032	0.02	0.018	0.026	0.033	0.028	0.019	0.009	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
