Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46
ClassI:LTR	0.012	0.056	0.056	0.045	0.039	0.037	0.03	0.028	0.031	0.034	0.033	0.039	0.036	0.033	0.032	0.031	0.031	0.035	0.031	0.031	0.032	0.025	0.021	0.026	0.019	0.019	0.021	0.018	0.017	0.016	0.017	0.019	0.012	0.012	0.009	0.007	0.004	0.003	0.001	0.0	0.0	0	0	0	0	0
Unknown	0.014	0.024	0.034	0.038	0.031	0.026	0.026	0.024	0.028	0.026	0.023	0.025	0.028	0.029	0.029	0.032	0.034	0.034	0.04	0.04	0.045	0.042	0.045	0.04	0.043	0.039	0.036	0.031	0.024	0.021	0.014	0.013	0.01	0.005	0.004	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0	0
Simple_repeat	0.195	0.007	0.018	0.03	0.037	0.033	0.02	0.026	0.029	0.031	0.029	0.025	0.03	0.035	0.032	0.029	0.033	0.03	0.033	0.031	0.03	0.031	0.026	0.025	0.027	0.02	0.019	0.017	0.017	0.012	0.009	0.01	0.008	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.006	0.007	0.005	0.004	0.004	0.005	0.005	0.005	0.006	0.007	0.009	0.01	0.008	0.007	0.008	0.01	0.013	0.015	0.017	0.019	0.024	0.029	0.028	0.035	0.037	0.041	0.047	0.056	0.058	0.066	0.069	0.066	0.062	0.061	0.044	0.037	0.029	0.019	0.01	0.006	0.003	0.002	0.001	0.0	0.0	0.0
Low_complexity	0	0	0	0.001	0.001	0.002	0.002	0.008	0.006	0.01	0.02	0.023	0.022	0.027	0.043	0.06	0.054	0.059	0.068	0.067	0.064	0.06	0.049	0.052	0.059	0.036	0.037	0.042	0.031	0.027	0.017	0.016	0.012	0.01	0.007	0.006	0.001	0.001	0	0	0.001	0.001	0	0	0	0
Satellite	0	0.006	0	0	0	0.017	0.006	0.017	0.033	0.039	0.061	0.077	0.055	0.066	0.077	0.11	0.05	0.044	0.017	0.066	0.039	0.033	0.061	0.017	0.017	0.028	0.017	0.011	0.006	0	0.011	0.006	0	0.011	0.006	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.009	0.011	0.009	0.004	0.005	0.006	0.011	0.012	0.021	0.02	0.016	0.015	0.025	0.03	0.028	0.03	0.041	0.041	0.037	0.036	0.049	0.043	0.032	0.039	0.047	0.046	0.041	0.047	0.042	0.044	0.039	0.037	0.029	0.022	0.019	0.009	0.006	0.003	0.001	0.001	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0.005	0.028	0	0.023	0	0	0.009	0.005	0.005	0.023	0.014	0.009	0.009	0.014	0.018	0.032	0.041	0	0.023	0.037	0.041	0.06	0.028	0.065	0.078	0.037	0.055	0.083	0.041	0.046	0.037	0.041	0.028	0.023	0.005	0.023	0.014	0	0	0	0	0	0	0	0
ClassI:SINE	0	0.008	0	0.008	0.008	0.008	0.017	0.042	0.093	0.017	0.042	0.059	0.076	0.025	0.076	0.085	0.042	0.068	0.042	0.085	0.051	0.017	0.076	0.017	0.008	0	0	0.008	0	0.008	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.015	0.03	0.024	0.027	0.035	0.029	0.039	0.027	0.023	0.027	0.022	0.025	0.022	0.027	0.022	0.025	0.011	0.011	0.016	0.021	0.025	0.027	0.027	0.017	0.039	0.034	0.039	0.037	0.041	0.038	0.032	0.033	0.048	0.02	0.026	0.02	0.008	0.009	0.004	0.001	0.001	0	0	0	0	0
