Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	50-51	51-52	54-55
Low_complexity	0.0	0.0	0.0	0.001	0.0	0.001	0.004	0.006	0.008	0.011	0.018	0.02	0.032	0.033	0.04	0.064	0.068	0.061	0.066	0.06	0.06	0.058	0.052	0.051	0.051	0.041	0.033	0.031	0.029	0.021	0.02	0.016	0.011	0.009	0.007	0.006	0.003	0.003	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassI:LTR	0.022	0.053	0.073	0.079	0.061	0.055	0.051	0.051	0.04	0.031	0.029	0.024	0.024	0.022	0.021	0.026	0.023	0.024	0.024	0.024	0.025	0.025	0.022	0.022	0.021	0.02	0.017	0.016	0.015	0.014	0.011	0.008	0.008	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.158	0.008	0.027	0.036	0.039	0.036	0.026	0.03	0.034	0.035	0.031	0.027	0.033	0.037	0.033	0.029	0.032	0.03	0.032	0.029	0.03	0.029	0.027	0.023	0.024	0.021	0.018	0.016	0.014	0.012	0.01	0.009	0.006	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.001	0.003	0.004	0.005	0.006	0.006	0.005	0.006	0.008	0.007	0.006	0.007	0.009	0.007	0.009	0.01	0.013	0.015	0.02	0.023	0.031	0.035	0.043	0.051	0.058	0.075	0.073	0.081	0.077	0.071	0.066	0.055	0.037	0.031	0.019	0.013	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Unknown	0.014	0.035	0.052	0.055	0.054	0.048	0.037	0.043	0.037	0.035	0.035	0.029	0.027	0.029	0.028	0.029	0.03	0.03	0.03	0.031	0.033	0.033	0.033	0.033	0.03	0.025	0.024	0.021	0.017	0.015	0.01	0.008	0.005	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.003	0.01	0.02	0.025	0.025	0.021	0.022	0.02	0.018	0.016	0.022	0.022	0.035	0.035	0.038	0.038	0.041	0.039	0.048	0.052	0.058	0.044	0.051	0.051	0.047	0.045	0.037	0.029	0.025	0.02	0.018	0.015	0.002	0.003	0.002	0.001	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.095	0.095	0.071	0	0.048	0.048	0.024	0.024	0.071	0.024	0	0.024	0	0	0.024	0	0.024	0.024	0	0	0	0.048	0	0.024	0	0.048	0.024	0.095	0.095	0	0	0.048	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0.002	0	0.005	0	0	0.002	0.014	0.005	0.002	0.01	0.026	0.014	0.017	0.012	0.05	0.041	0.038	0.046	0.079	0.079	0.07	0.077	0.072	0.084	0.055	0.062	0.058	0.041	0.014	0.017	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.008	0.026	0.077	0.054	0.035	0.024	0.017	0.02	0.02	0.016	0.008	0.017	0.018	0.029	0.024	0.03	0.032	0.026	0.033	0.033	0.037	0.048	0.033	0.035	0.036	0.023	0.026	0.026	0.024	0.018	0.015	0.015	0.019	0.025	0.018	0.018	0.013	0.011	0.003	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0	0	0	0	0	0	0	0	0.025	0.008	0.016	0.016	0.033	0.033	0.016	0.066	0.066	0.033	0.066	0.074	0.041	0.082	0.033	0.041	0.049	0.041	0.066	0.025	0.041	0.049	0.025	0.008	0	0.033	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.008	0.008	0.024	0	0.008	0.024	0.032	0.04	0.008	0.016	0.016	0.024	0.016	0.016	0.065	0.048	0.048	0.016	0.089	0.056	0.04	0.04	0.065	0.048	0.04	0.073	0.032	0.04	0.016	0.008	0.024	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0	0	0	0	0	0	0.2	0.1	0	0.033	0	0	0.067	0	0.033	0.167	0.1	0.067	0.1	0	0.033	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
