Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	44-45
Unknown	0.005	0.009	0.015	0.024	0.022	0.024	0.027	0.029	0.033	0.035	0.041	0.044	0.045	0.046	0.047	0.046	0.047	0.046	0.047	0.043	0.045	0.042	0.038	0.037	0.034	0.029	0.024	0.021	0.016	0.013	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0
ClassI:LTR	0.008	0.018	0.023	0.023	0.024	0.023	0.026	0.025	0.025	0.023	0.022	0.023	0.023	0.024	0.026	0.027	0.029	0.031	0.032	0.036	0.04	0.041	0.043	0.047	0.045	0.048	0.047	0.043	0.038	0.032	0.027	0.021	0.013	0.01	0.006	0.004	0.002	0.001	0.0	0.0	0.0	0	0	0
ClassI:LINE	0.006	0.008	0.01	0.018	0.034	0.062	0.063	0.049	0.047	0.044	0.035	0.041	0.043	0.044	0.043	0.047	0.045	0.034	0.029	0.029	0.031	0.032	0.032	0.03	0.028	0.02	0.021	0.018	0.012	0.01	0.009	0.007	0.005	0.003	0.006	0.003	0.001	0.0	0	0	0	0	0	0
Simple_repeat	0.173	0.001	0.009	0.037	0.051	0.027	0.023	0.036	0.04	0.04	0.035	0.034	0.041	0.044	0.04	0.036	0.037	0.034	0.034	0.03	0.03	0.03	0.025	0.022	0.022	0.017	0.013	0.011	0.009	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassII:TIR	0.002	0.008	0.011	0.012	0.012	0.015	0.016	0.02	0.025	0.035	0.034	0.04	0.041	0.048	0.048	0.042	0.045	0.049	0.049	0.05	0.051	0.044	0.044	0.036	0.034	0.035	0.031	0.025	0.022	0.02	0.015	0.013	0.011	0.009	0.005	0.001	0.001	0.001	0.0	0	0	0	0	0
Low_complexity	0	0	0.001	0.001	0.001	0.002	0.005	0.013	0.011	0.015	0.024	0.03	0.042	0.043	0.049	0.07	0.067	0.06	0.07	0.063	0.06	0.061	0.051	0.045	0.046	0.042	0.031	0.031	0.021	0.015	0.007	0.009	0.004	0.005	0.002	0.001	0.001	0.0	0.0	0	0	0	0	0
ClassII:Rolling_Circle	0.006	0.003	0.005	0.019	0.017	0.021	0.037	0.027	0.046	0.043	0.041	0.035	0.04	0.048	0.034	0.037	0.049	0.059	0.07	0.064	0.06	0.045	0.042	0.036	0.03	0.023	0.021	0.018	0.008	0.005	0.005	0.001	0.004	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.15	0.104	0.11	0.063	0.058	0.066	0.055	0.081	0.061	0.035	0.04	0.04	0.029	0.012	0.029	0.017	0.009	0.003	0.017	0.009	0.006	0.003	0	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.012	0.053	0.053	0.03	0.03	0.009	0.032	0.035	0.019	0.042	0.03	0.042	0.025	0.069	0.065	0.044	0.065	0.037	0.014	0.053	0.072	0.025	0.019	0.039	0.016	0.039	0.007	0.005	0.005	0.012	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0	0	0.013	0.026	0.071	0.09	0.019	0.026	0.013	0.019	0.006	0.006	0.039	0.006	0.019	0.006	0.052	0.039	0.052	0.039	0.071	0.077	0.058	0.032	0.065	0.026	0.052	0.013	0.032	0.019	0.006	0	0.006	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0	0	0	0	0	0	0	0.021	0.007	0.021	0.014	0.034	0.021	0.069	0.007	0.028	0.041	0.034	0.076	0.021	0.076	0.062	0.069	0.034	0.055	0.083	0.055	0.069	0.021	0.034	0.021	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.01	0.034	0.02	0.049	0.063	0.107	0.112	0.161	0.049	0.024	0.024	0.024	0.024	0.039	0.054	0.029	0.02	0.029	0.02	0.024	0.024	0.005	0.005	0.015	0.005	0.01	0	0.01	0	0	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
