Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	45-46
Unknown	0.034	0.026	0.041	0.056	0.058	0.066	0.063	0.062	0.06	0.054	0.05	0.045	0.042	0.038	0.036	0.031	0.029	0.026	0.024	0.02	0.021	0.018	0.015	0.013	0.012	0.012	0.01	0.009	0.007	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0
ClassI:LTR	0.015	0.016	0.028	0.046	0.052	0.055	0.049	0.046	0.044	0.04	0.038	0.033	0.031	0.028	0.028	0.024	0.024	0.024	0.024	0.024	0.024	0.023	0.025	0.023	0.026	0.027	0.026	0.029	0.026	0.027	0.023	0.019	0.013	0.009	0.006	0.003	0.002	0.0	0.0	0.0	0	0	0	0	0
Simple_repeat	0.097	0.002	0.01	0.025	0.042	0.035	0.023	0.031	0.042	0.042	0.039	0.035	0.042	0.046	0.044	0.039	0.04	0.036	0.04	0.034	0.034	0.034	0.029	0.025	0.026	0.021	0.018	0.016	0.013	0.011	0.008	0.006	0.004	0.004	0.002	0.002	0.001	0.001	0.001	0.0	0	0.0	0.0	0.0	0.0
ClassI:LINE	0.012	0.01	0.019	0.031	0.038	0.049	0.044	0.042	0.036	0.035	0.033	0.032	0.03	0.028	0.025	0.024	0.025	0.025	0.028	0.029	0.031	0.033	0.038	0.034	0.036	0.035	0.032	0.034	0.027	0.027	0.026	0.02	0.013	0.009	0.005	0.003	0.001	0.0	0.0	0.0	0	0	0	0	0
ClassI:SINE	0.067	0.048	0.083	0.099	0.096	0.09	0.068	0.075	0.06	0.058	0.041	0.035	0.023	0.026	0.027	0.025	0.017	0.016	0.01	0.012	0.007	0.006	0.001	0.004	0.001	0.003	0.001	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.015	0.014	0.023	0.038	0.041	0.041	0.033	0.031	0.028	0.029	0.034	0.031	0.033	0.028	0.031	0.029	0.03	0.03	0.028	0.026	0.029	0.026	0.025	0.027	0.036	0.035	0.034	0.037	0.044	0.04	0.036	0.017	0.009	0.008	0.004	0.001	0.001	0	0	0	0	0	0	0	0
Low_complexity	0	0	0.001	0.002	0.001	0.007	0.012	0.017	0.017	0.023	0.036	0.041	0.054	0.048	0.055	0.078	0.073	0.07	0.058	0.065	0.055	0.051	0.04	0.034	0.043	0.029	0.019	0.018	0.012	0.009	0.007	0.006	0.004	0.006	0.004	0.001	0.001	0.001	0.001	0	0.0	0	0	0	0
ClassII:Rolling_Circle	0.024	0.022	0.023	0.044	0.06	0.058	0.066	0.076	0.068	0.063	0.043	0.054	0.028	0.031	0.031	0.028	0.02	0.021	0.02	0.024	0.017	0.023	0.021	0.013	0.01	0.011	0.014	0.013	0.01	0.008	0.008	0.008	0.012	0.013	0.007	0.002	0.002	0.001	0	0	0	0	0	0	0
Pseudogene:RNA	0.076	0.052	0.076	0.1	0.107	0.09	0.066	0.069	0.05	0.045	0.043	0.026	0.031	0.033	0.021	0.021	0.022	0.01	0.028	0.005	0.005	0.007	0.005	0.003	0.003	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.077	0.008	0.008	0.01	0.005	0.018	0.028	0.033	0.031	0.01	0.015	0.033	0.026	0.049	0.054	0.054	0.038	0.031	0.023	0.038	0.033	0.023	0.031	0.008	0.008	0.01	0.02	0.018	0.02	0.02	0.031	0.049	0.036	0.026	0.026	0.036	0.013	0.005	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.037	0	0.025	0.075	0.062	0.1	0.188	0.138	0.037	0.062	0.075	0.025	0.05	0.05	0.013	0	0	0.037	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.091	0.061	0	0.061	0.03	0.03	0.061	0.03	0.061	0	0.061	0.03	0	0.03	0	0.061	0.061	0.061	0.03	0	0	0	0.03	0.03	0.03	0.061	0.03	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0
