Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	46-47
Simple_repeat	0.332	0.006	0.021	0.025	0.033	0.027	0.015	0.02	0.024	0.022	0.021	0.02	0.024	0.027	0.026	0.025	0.028	0.027	0.029	0.028	0.029	0.028	0.025	0.024	0.024	0.019	0.016	0.014	0.011	0.009	0.006	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unknown	0.02	0.02	0.023	0.028	0.029	0.03	0.031	0.033	0.036	0.037	0.039	0.039	0.04	0.04	0.041	0.042	0.042	0.043	0.043	0.041	0.04	0.038	0.033	0.028	0.024	0.023	0.021	0.018	0.018	0.016	0.014	0.011	0.007	0.005	0.002	0.002	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0
Low_complexity	0.0	0.0	0.0	0.001	0.0	0.001	0.004	0.007	0.009	0.016	0.021	0.025	0.038	0.037	0.049	0.058	0.058	0.058	0.067	0.062	0.071	0.068	0.06	0.059	0.057	0.046	0.034	0.028	0.024	0.014	0.01	0.008	0.003	0.003	0.002	0.001	0.001	0.0	0	0	0	0.0	0	0	0	0
ClassII:TIR	0.01	0.011	0.019	0.015	0.017	0.017	0.018	0.021	0.023	0.025	0.03	0.032	0.037	0.04	0.045	0.049	0.051	0.054	0.056	0.053	0.06	0.055	0.052	0.048	0.039	0.035	0.026	0.021	0.014	0.01	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.042	0.035	0.029	0.014	0.015	0.017	0.02	0.024	0.025	0.024	0.031	0.032	0.035	0.039	0.04	0.041	0.046	0.047	0.046	0.043	0.046	0.044	0.043	0.039	0.033	0.033	0.025	0.021	0.018	0.013	0.011	0.009	0.007	0.005	0.003	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0
ClassI:LTR	0.015	0.023	0.033	0.037	0.037	0.034	0.035	0.037	0.04	0.041	0.042	0.041	0.04	0.038	0.038	0.038	0.037	0.036	0.033	0.032	0.032	0.03	0.028	0.026	0.024	0.023	0.022	0.02	0.018	0.016	0.014	0.011	0.009	0.008	0.006	0.003	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0
ClassI:SINE	0.019	0.013	0.025	0.027	0.025	0.031	0.038	0.038	0.046	0.048	0.043	0.046	0.05	0.045	0.049	0.054	0.054	0.052	0.056	0.047	0.046	0.033	0.028	0.031	0.019	0.017	0.01	0.005	0.003	0.002	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.022	0.039	0.03	0.017	0.027	0.02	0.041	0.027	0.032	0.026	0.031	0.043	0.039	0.038	0.045	0.036	0.045	0.055	0.05	0.056	0.043	0.041	0.041	0.037	0.02	0.022	0.031	0.015	0.01	0.006	0.005	0.002	0.005	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.039	0.027	0.035	0.022	0.015	0.021	0.026	0.038	0.028	0.026	0.041	0.044	0.044	0.059	0.044	0.058	0.047	0.054	0.065	0.04	0.04	0.041	0.033	0.024	0.019	0.017	0.013	0.007	0.009	0.008	0.003	0.002	0.003	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.034	0.014	0.037	0.023	0.026	0.009	0.031	0.023	0.051	0.034	0.043	0.048	0.043	0.071	0.026	0.04	0.068	0.057	0.04	0.06	0.051	0.023	0.068	0.028	0.006	0.02	0.006	0.003	0	0.011	0.003	0	0	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.033	0.038	0.01	0.02	0.013	0.033	0.021	0.015	0.023	0.016	0.031	0.038	0.036	0.069	0.043	0.047	0.053	0.043	0.052	0.033	0.059	0.039	0.043	0.051	0.053	0.03	0.023	0.016	0.01	0.007	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.01	0.014	0.016	0.036	0.025	0.026	0.046	0.029	0.036	0.032	0.035	0.021	0.035	0.039	0.032	0.057	0.042	0.05	0.04	0.044	0.043	0.037	0.04	0.044	0.032	0.026	0.03	0.017	0.011	0.014	0.01	0.007	0.006	0.009	0.004	0.004	0	0	0	0	0	0	0	0	0	0
Satellite	0.067	0.02	0.04	0.04	0.029	0.034	0.029	0.025	0.022	0.025	0.031	0.04	0.027	0.034	0.04	0.045	0.043	0.027	0.049	0.022	0.056	0.036	0.045	0.031	0.02	0.043	0.034	0.018	0.009	0.009	0.009	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.059	0.047	0.047	0.054	0.056	0.04	0.035	0.037	0.033	0.019	0.028	0.043	0.039	0.046	0.046	0.039	0.033	0.03	0.024	0.042	0.043	0.035	0.031	0.031	0.011	0.016	0.013	0.005	0.008	0.005	0.001	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0
