Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50
Pseudogene:RNA	0.35	0.038	0.056	0.028	0.015	0.064	0.048	0.022	0.02	0.023	0.037	0.025	0.033	0.018	0.018	0.015	0.025	0.017	0.016	0.018	0.02	0.016	0.017	0.01	0.012	0.009	0.009	0.007	0.005	0.004	0.002	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	0.016	0.011	0.019	0.027	0.037	0.043	0.043	0.042	0.041	0.04	0.041	0.044	0.045	0.046	0.045	0.043	0.042	0.041	0.039	0.038	0.037	0.034	0.031	0.028	0.025	0.022	0.019	0.016	0.012	0.009	0.008	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.081	0.024	0.022	0.017	0.018	0.023	0.032	0.031	0.035	0.041	0.038	0.038	0.03	0.035	0.035	0.041	0.041	0.044	0.048	0.035	0.042	0.041	0.052	0.028	0.036	0.037	0.015	0.017	0.008	0.006	0.004	0.002	0.0	0.001	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.431	0.023	0.041	0.044	0.048	0.033	0.022	0.024	0.027	0.026	0.022	0.017	0.019	0.022	0.018	0.016	0.016	0.015	0.015	0.014	0.014	0.014	0.013	0.011	0.011	0.009	0.007	0.006	0.006	0.004	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.001	0.0	0.001	0.003	0.002	0.003	0.006	0.01	0.012	0.019	0.023	0.029	0.04	0.039	0.047	0.064	0.068	0.061	0.066	0.056	0.059	0.058	0.05	0.047	0.045	0.035	0.033	0.027	0.023	0.02	0.015	0.011	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.013	0.015	0.033	0.03	0.04	0.042	0.049	0.045	0.041	0.039	0.041	0.038	0.039	0.042	0.042	0.038	0.035	0.036	0.039	0.04	0.042	0.035	0.033	0.029	0.025	0.025	0.02	0.016	0.012	0.009	0.007	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.007	0.007	0.02	0.023	0.031	0.038	0.037	0.034	0.036	0.036	0.038	0.037	0.038	0.037	0.039	0.04	0.039	0.042	0.041	0.041	0.042	0.039	0.037	0.036	0.032	0.034	0.029	0.024	0.019	0.015	0.01	0.008	0.006	0.004	0.003	0.002	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.174	0.025	0.029	0.034	0.036	0.035	0.025	0.028	0.025	0.04	0.041	0.021	0.034	0.02	0.033	0.021	0.022	0.042	0.02	0.029	0.024	0.031	0.025	0.019	0.019	0.028	0.039	0.035	0.017	0.011	0.009	0.001	0.003	0.003	0.003	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0
ClassI:LTR	0.009	0.012	0.023	0.035	0.047	0.06	0.059	0.056	0.053	0.049	0.048	0.043	0.04	0.039	0.035	0.031	0.03	0.029	0.027	0.028	0.028	0.027	0.026	0.024	0.022	0.02	0.018	0.016	0.014	0.013	0.011	0.008	0.006	0.004	0.003	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
Satellite	0.028	0.085	0.034	0.017	0.017	0.02	0.02	0.025	0.046	0.053	0.049	0.043	0.046	0.056	0.041	0.046	0.043	0.055	0.037	0.037	0.036	0.033	0.019	0.024	0.018	0.024	0.015	0.006	0.006	0.018	0.002	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.012	0.006	0.012	0.032	0.018	0.041	0.053	0.072	0.073	0.071	0.073	0.047	0.049	0.044	0.035	0.035	0.037	0.025	0.019	0.021	0.028	0.018	0.066	0.037	0.01	0.024	0.012	0.007	0.006	0.006	0.004	0.002	0.003	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0	0	0	0.005	0.006	0.028	0.009	0.025	0.022	0.047	0.052	0.033	0.069	0.088	0.081	0.085	0.083	0.062	0.058	0.068	0.046	0.026	0.025	0.019	0.035	0.007	0.008	0.005	0.006	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
