Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	49-50
Simple_repeat	0.286	0.003	0.011	0.027	0.055	0.038	0.014	0.025	0.034	0.034	0.024	0.026	0.032	0.036	0.029	0.028	0.028	0.026	0.026	0.024	0.025	0.025	0.022	0.018	0.021	0.015	0.013	0.012	0.011	0.008	0.006	0.005	0.004	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.013	0.007	0.013	0.015	0.025	0.029	0.033	0.034	0.037	0.041	0.047	0.049	0.045	0.044	0.042	0.041	0.039	0.038	0.037	0.039	0.038	0.041	0.042	0.037	0.035	0.03	0.023	0.017	0.015	0.015	0.012	0.011	0.007	0.005	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
Unknown	0.028	0.011	0.024	0.025	0.025	0.031	0.035	0.038	0.041	0.042	0.046	0.046	0.048	0.048	0.05	0.049	0.048	0.047	0.046	0.04	0.039	0.033	0.029	0.025	0.021	0.018	0.014	0.011	0.01	0.009	0.008	0.006	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0
ClassII:TIR	0.025	0.011	0.014	0.017	0.021	0.023	0.021	0.028	0.024	0.024	0.029	0.03	0.034	0.038	0.043	0.046	0.044	0.042	0.041	0.043	0.045	0.046	0.045	0.044	0.039	0.035	0.025	0.021	0.018	0.017	0.019	0.015	0.013	0.01	0.004	0.002	0.001	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.008	0.008	0.027	0.026	0.031	0.036	0.038	0.041	0.039	0.036	0.038	0.04	0.039	0.037	0.034	0.035	0.032	0.032	0.029	0.029	0.033	0.032	0.03	0.031	0.032	0.037	0.036	0.032	0.029	0.023	0.018	0.012	0.009	0.005	0.003	0.001	0.001	0.0	0.0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.003	0.0	0.003	0.007	0.012	0.011	0.015	0.024	0.031	0.035	0.032	0.044	0.064	0.064	0.055	0.078	0.057	0.065	0.059	0.058	0.043	0.046	0.04	0.033	0.027	0.023	0.018	0.014	0.013	0.006	0.006	0.005	0.002	0.001	0.001	0.0	0	0	0	0	0.0	0
ClassII:Rolling_Circle	0.012	0.004	0.006	0.005	0.009	0.009	0.016	0.022	0.031	0.035	0.049	0.051	0.069	0.06	0.07	0.069	0.066	0.057	0.071	0.056	0.051	0.043	0.038	0.025	0.021	0.019	0.013	0.007	0.006	0.007	0.002	0.0	0.001	0	0.0	0	0.0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.204	0.031	0.046	0.029	0.049	0.03	0.025	0.043	0.043	0.046	0.036	0.038	0.036	0.033	0.031	0.03	0.032	0.03	0.03	0.025	0.022	0.024	0.017	0.021	0.011	0.01	0.01	0.005	0.004	0.004	0.001	0.002	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.065	0.018	0.025	0.022	0.02	0.015	0.02	0.021	0.038	0.051	0.079	0.09	0.082	0.062	0.052	0.047	0.04	0.035	0.034	0.032	0.033	0.035	0.027	0.026	0.011	0.006	0.004	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0.134	0.02	0.023	0.021	0.025	0.025	0.025	0.021	0.035	0.062	0.077	0.049	0.039	0.049	0.042	0.048	0.045	0.041	0.038	0.017	0.042	0.027	0.017	0.018	0.023	0.02	0.007	0.004	0.003	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.362	0.064	0.085	0.106	0.064	0.085	0.021	0.021	0	0.021	0.043	0.021	0	0	0	0	0.021	0	0.021	0.043	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
