Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48
Unknown	0.005	0.005	0.009	0.011	0.011	0.01	0.012	0.013	0.016	0.016	0.02	0.023	0.026	0.03	0.035	0.041	0.044	0.051	0.053	0.057	0.062	0.062	0.061	0.059	0.053	0.05	0.042	0.035	0.028	0.02	0.014	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
Simple_repeat	0.397	0.01	0.027	0.035	0.05	0.041	0.015	0.023	0.029	0.031	0.021	0.019	0.025	0.031	0.023	0.019	0.021	0.017	0.02	0.018	0.018	0.017	0.015	0.013	0.013	0.01	0.009	0.007	0.007	0.005	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ClassI:LTR	0.007	0.007	0.012	0.013	0.013	0.014	0.014	0.018	0.022	0.026	0.026	0.034	0.033	0.035	0.035	0.038	0.039	0.039	0.038	0.039	0.041	0.04	0.041	0.041	0.04	0.042	0.04	0.038	0.039	0.036	0.031	0.024	0.018	0.013	0.008	0.004	0.002	0.001	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ClassII:TIR	0.007	0.003	0.008	0.01	0.013	0.013	0.016	0.018	0.02	0.023	0.027	0.031	0.036	0.041	0.046	0.048	0.051	0.056	0.057	0.057	0.058	0.056	0.055	0.05	0.043	0.04	0.032	0.025	0.019	0.014	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.006	0.016	0.024	0.031	0.023	0.021	0.02	0.026	0.025	0.028	0.028	0.029	0.034	0.032	0.037	0.043	0.047	0.051	0.049	0.051	0.049	0.046	0.04	0.035	0.036	0.03	0.028	0.024	0.017	0.016	0.016	0.012	0.011	0.007	0.005	0.003	0.002	0.0	0.0	0.0	0.0	0	0	0	0	0	0
Pseudogene:RNA	0.286	0.034	0.022	0.017	0.012	0.011	0.013	0.016	0.021	0.024	0.023	0.024	0.029	0.025	0.021	0.021	0.021	0.026	0.023	0.021	0.027	0.023	0.018	0.025	0.04	0.028	0.031	0.046	0.032	0.017	0.008	0.007	0.005	0.002	0.001	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0
Low_complexity	0.0	0	0.0	0.002	0.0	0.001	0.005	0.008	0.009	0.012	0.02	0.027	0.039	0.035	0.046	0.071	0.072	0.066	0.069	0.064	0.062	0.062	0.055	0.046	0.048	0.035	0.027	0.029	0.023	0.017	0.013	0.011	0.007	0.005	0.004	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0	0	0	0.0	0
ClassII:Rolling_Circle	0.021	0.005	0.018	0.019	0.017	0.029	0.029	0.035	0.042	0.033	0.025	0.027	0.036	0.047	0.039	0.041	0.039	0.032	0.037	0.043	0.05	0.046	0.037	0.036	0.032	0.028	0.022	0.023	0.019	0.019	0.021	0.018	0.013	0.011	0.005	0.004	0.001	0.0	0	0	0	0	0	0	0	0	0	0
Satellite	0	0	0.004	0.006	0.186	0.019	0.032	0.026	0.03	0.026	0.024	0.035	0.03	0.032	0.03	0.026	0.035	0.035	0.035	0.028	0.043	0.037	0.045	0.056	0.037	0.041	0.035	0.022	0.019	0.013	0.004	0.002	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:PLE	0.004	0.007	0.025	0.018	0.029	0.021	0.029	0.033	0.055	0.051	0.05	0.065	0.057	0.048	0.049	0.041	0.032	0.025	0.029	0.035	0.031	0.033	0.04	0.039	0.03	0.029	0.024	0.017	0.014	0.01	0.01	0.006	0.003	0.005	0.002	0.001	0	0.0	0	0.0	0	0	0	0	0	0	0	0
ClassI:DIRS	0.001	0.004	0.021	0.081	0.054	0.039	0.027	0.043	0.039	0.022	0.039	0.043	0.043	0.044	0.049	0.064	0.047	0.048	0.05	0.035	0.03	0.035	0.028	0.031	0.026	0.022	0.017	0.013	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.002	0.002	0.007	0.007	0	0.021	0.03	0.033	0.044	0.028	0.009	0.023	0.03	0.037	0.033	0.026	0.04	0.04	0.044	0.047	0.066	0.068	0.063	0.068	0.091	0.042	0.033	0.035	0.016	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.094	0.013	0.062	0.069	0.013	0.044	0.087	0.075	0.119	0.062	0.05	0.106	0.019	0.037	0	0.019	0.019	0.013	0.013	0.019	0	0.006	0.019	0.006	0.013	0.006	0	0	0.006	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0	0.009	0.017	0.069	0.095	0.069	0.017	0.017	0	0.009	0.026	0	0.009	0	0.009	0.009	0.017	0.034	0.034	0.052	0.009	0.069	0.052	0.034	0.043	0.043	0.009	0.017	0.06	0.069	0.06	0.034	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
