Order	0-1	1-2	2-3	3-4	4-5	5-6	6-7	7-8	8-9	9-10	10-11	11-12	12-13	13-14	14-15	15-16	16-17	17-18	18-19	19-20	20-21	21-22	22-23	23-24	24-25	25-26	26-27	27-28	28-29	29-30	30-31	31-32	32-33	33-34	34-35	35-36	36-37	37-38	38-39	39-40	40-41	41-42	42-43	43-44	44-45	45-46	46-47	47-48	48-49	49-50	54-55
ClassI:LTR	0.004	0.009	0.019	0.021	0.022	0.028	0.029	0.03	0.032	0.034	0.034	0.033	0.032	0.034	0.037	0.039	0.04	0.044	0.045	0.045	0.047	0.047	0.044	0.04	0.037	0.035	0.032	0.027	0.023	0.019	0.014	0.01	0.006	0.004	0.002	0.001	0.001	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
Simple_repeat	0.369	0.002	0.017	0.034	0.056	0.04	0.017	0.027	0.035	0.035	0.025	0.024	0.031	0.036	0.026	0.021	0.022	0.019	0.02	0.019	0.018	0.017	0.016	0.013	0.013	0.01	0.008	0.007	0.006	0.004	0.003	0.003	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Low_complexity	0.0	0	0.0	0.001	0.001	0.002	0.005	0.008	0.009	0.011	0.019	0.025	0.033	0.03	0.038	0.074	0.079	0.067	0.072	0.068	0.068	0.062	0.055	0.046	0.045	0.035	0.029	0.026	0.023	0.018	0.013	0.01	0.009	0.005	0.005	0.003	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
Unknown	0.002	0.003	0.006	0.008	0.013	0.018	0.02	0.024	0.028	0.031	0.034	0.037	0.039	0.042	0.044	0.047	0.05	0.053	0.055	0.054	0.057	0.055	0.051	0.048	0.042	0.038	0.029	0.024	0.018	0.012	0.008	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassII:TIR	0.002	0.002	0.006	0.008	0.014	0.018	0.022	0.026	0.03	0.033	0.036	0.038	0.04	0.042	0.044	0.046	0.048	0.05	0.049	0.049	0.051	0.052	0.051	0.049	0.041	0.038	0.031	0.025	0.019	0.014	0.01	0.007	0.004	0.003	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
ClassI:LINE	0.002	0.001	0.004	0.006	0.008	0.011	0.012	0.016	0.019	0.02	0.026	0.028	0.032	0.036	0.042	0.046	0.05	0.05	0.051	0.052	0.054	0.052	0.054	0.051	0.05	0.048	0.042	0.039	0.033	0.025	0.018	0.011	0.006	0.003	0.002	0.001	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:SINE	0.0	0.0	0.001	0.002	0.004	0.006	0.014	0.021	0.036	0.044	0.053	0.06	0.061	0.065	0.069	0.065	0.067	0.064	0.058	0.052	0.053	0.042	0.035	0.029	0.022	0.022	0.016	0.011	0.009	0.006	0.004	0.002	0.002	0.001	0.001	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
Satellite	0.001	0.003	0.002	0.007	0.015	0.014	0.015	0.019	0.02	0.028	0.024	0.031	0.026	0.034	0.04	0.046	0.057	0.051	0.058	0.054	0.059	0.064	0.065	0.051	0.044	0.045	0.038	0.033	0.014	0.017	0.007	0.006	0.004	0.004	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Rolling_Circle	0.002	0.005	0.015	0.024	0.025	0.023	0.025	0.028	0.029	0.03	0.023	0.028	0.024	0.024	0.022	0.028	0.034	0.04	0.042	0.036	0.042	0.039	0.038	0.04	0.04	0.046	0.045	0.043	0.035	0.03	0.029	0.023	0.019	0.01	0.007	0.003	0.001	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassI:DIRS	0	0	0	0.008	0	0	0	0	0	0.012	0.012	0.023	0.039	0.051	0.051	0.035	0.047	0.019	0.016	0.023	0.019	0.019	0.012	0.016	0.012	0.012	0.027	0.054	0.062	0.078	0.039	0.043	0.074	0.101	0.047	0.039	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudogene:RNA	0.03	0.008	0.014	0.025	0.008	0.025	0.044	0.045	0.047	0.034	0.044	0.04	0.051	0.045	0.044	0.028	0.034	0.047	0.034	0.042	0.048	0.037	0.03	0.033	0.028	0.022	0.02	0.028	0.014	0.016	0.023	0.005	0.005	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:Circular_dsDNA	0.001	0	0.012	0.006	0.04	0.015	0.029	0.046	0.019	0.059	0.047	0.037	0.042	0.031	0.044	0.033	0.033	0.036	0.029	0.027	0.047	0.047	0.044	0.041	0.059	0.024	0.038	0.027	0.017	0.02	0.02	0.014	0.005	0.005	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClassII:DNA_Polymerase	0.048	0.03	0.024	0.024	0.054	0.042	0.012	0.018	0.018	0.018	0.018	0.042	0.072	0.06	0.078	0.048	0.048	0.042	0.036	0.042	0.048	0.042	0.036	0.018	0.03	0.012	0.018	0.018	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
